frame,t,rz,pgz,lv_norm,av_norm,top_cf_name,top_cf_val,apparent_force_norm,tau_tensor_norm,tau_tensor_max,tau_tensor_nz,wrote_actuation,control_mode
0,0.0,0.38999998569488525,1.0,0.0,0.0,pelvis,0.0,0.0,0.0,0.0,0,True,noPD_zero_write
1,0.02,0.6150923371315002,0.9760255474766271,11.134122,13.224521,pelvis,0.0,9098.778,0.0,0.0,0,True,noPD_zero_write
2,0.04,0.8349652886390686,0.899512116836918,10.929276,12.530446,pelvis,0.0,184.68796,0.0,0.0,0,True,noPD_zero_write
3,0.06,1.0512999296188354,0.7938000444262876,10.635925,11.363321,pelvis,0.0,240.57552,0.0,0.0,0,True,noPD_zero_write
4,0.08,1.2613201141357422,0.6858584809990411,10.267882,10.196137,pelvis,0.0,312.22223,0.0,0.0,0,True,noPD_zero_write
5,0.1,1.4636638164520264,0.5945068151094559,9.957764,8.93106,pelvis,0.0,293.85266,0.0,0.0,0,True,noPD_zero_write
6,0.12,1.6600931882858276,0.49125776344966665,9.6251335,10.378871,pelvis,0.0,327.92743,0.0,0.0,0,True,noPD_zero_write
7,0.14,1.853792667388916,0.34121786127841913,9.573142,10.362203,pelvis,0.0,245.24315,0.0,0.0,0,True,noPD_zero_write
8,0.16,2.047473192214966,0.16761959412148997,9.596708,10.654046,pelvis,0.0,152.4377,0.0,0.0,0,True,noPD_zero_write
9,0.18,2.242382049560547,-0.03582530099197356,9.61429,11.248578,pelvis,0.0,51.227394,0.0,0.0,0,True,noPD_zero_write
10,0.2,2.43856143951416,-0.2628641380990775,9.628882,12.0956955,pelvis,0.0,56.485546,0.0,0.0,0,True,noPD_zero_write
11,0.22,2.6359193325042725,-0.489979570764977,9.700867,12.424027,pelvis,0.0,159.74245,0.0,0.0,0,True,noPD_zero_write
12,0.24,2.8338892459869385,-0.659664781663297,9.924464,7.665097,pelvis,0.0,313.45026,0.0,0.0,0,True,noPD_zero_write
13,0.26,3.031374931335449,-0.762523518678702,9.883047,7.147346,pelvis,0.0,334.2471,0.0,0.0,0,True,noPD_zero_write
14,0.28,3.225884199142456,-0.8498087264178569,9.592332,8.557544,pelvis,0.0,339.29062,0.0,0.0,0,True,noPD_zero_write
15,0.3,3.4134652614593506,-0.928475724916412,9.170492,9.499992,pelvis,0.0,399.01227,0.0,0.0,0,True,noPD_zero_write
16,0.32,3.5902657508850098,-0.9811559958039044,8.621806,9.908903,pelvis,0.0,468.8122,0.0,0.0,0,True,noPD_zero_write
17,0.34,3.753493309020996,-0.9970286621526743,8.014598,10.09469,pelvis,0.0,507.43314,0.0,0.0,0,True,noPD_zero_write
18,0.36,3.902543067932129,-0.9753366871978102,7.392521,9.537086,pelvis,0.0,517.3635,0.0,0.0,0,True,noPD_zero_write
19,0.38,4.037011623382568,-0.9280752286060778,6.919047,12.131956,pelvis,0.0,484.7772,0.0,0.0,0,True,noPD_zero_write
20,0.4,4.16194486618042,-0.8318884080297662,6.606944,10.080591,pelvis,0.0,417.84433,0.0,0.0,0,True,noPD_zero_write
21,0.42,4.280876159667969,-0.7136764311391599,6.435717,9.014696,pelvis,0.0,276.5843,0.0,0.0,0,True,noPD_zero_write
22,0.44,4.396492004394531,-0.5912549768936461,6.3648624,7.881576,pelvis,0.0,227.68004,0.0,0.0,0,True,noPD_zero_write
23,0.46,4.510876178741455,-0.47208750284267076,6.3677464,7.28605,pelvis,0.0,167.32433,0.0,0.0,0,True,noPD_zero_write
24,0.48,4.625258445739746,-0.3557371174598103,6.3767195,6.821108,pelvis,0.0,106.75556,0.0,0.0,0,True,noPD_zero_write
25,0.5,4.739742755889893,-0.23615131748605478,6.444908,7.358118,pelvis,0.0,57.3636,0.0,0.0,0,True,noPD_zero_write
26,0.52,4.854296684265137,-0.09619481089273485,6.4707603,8.561982,pelvis,0.0,73.49478,0.0,0.0,0,True,noPD_zero_write
27,0.54,4.967796802520752,0.06801532098131524,6.4273486,10.153423,pelvis,0.0,143.7904,0.0,0.0,0,True,noPD_zero_write
28,0.56,5.0789794921875,0.25219561760232345,6.313776,11.549691,pelvis,0.0,214.26886,0.0,0.0,0,True,noPD_zero_write
29,0.58,5.186816215515137,0.44895314684438503,6.1345525,11.960004,pelvis,0.0,218.10135,0.0,0.0,0,True,noPD_zero_write
30,0.6,5.291527271270752,0.6221103372137318,5.895501,11.425881,pelvis,0.0,260.7953,0.0,0.0,0,True,noPD_zero_write
31,0.62,5.393124103546143,0.7088206022379708,5.525369,7.21811,pelvis,0.0,322.14523,0.0,0.0,0,True,noPD_zero_write
32,0.64,5.487955093383789,0.7885259165260461,5.200779,8.066181,pelvis,0.0,331.41708,0.0,0.0,0,True,noPD_zero_write
33,0.66,5.5746965408325195,0.8701165884226949,4.8864026,9.587876,pelvis,0.0,316.41162,0.0,0.0,0,True,noPD_zero_write
34,0.68,5.654739856719971,0.9407560016534897,4.6366253,10.066654,pelvis,0.0,335.5176,0.0,0.0,0,True,noPD_zero_write
35,0.7000000000000001,5.730118751525879,0.9819631038080722,4.526716,10.679717,pelvis,0.0,272.55408,0.0,0.0,0,True,noPD_zero_write
36,0.72,5.8040289878845215,0.9851025769659503,4.4984584,10.994261,pelvis,0.0,209.22768,0.0,0.0,0,True,noPD_zero_write
37,0.74,5.878623008728027,0.9419660592054013,4.491693,10.9244,pelvis,0.0,156.3255,0.0,0.0,0,True,noPD_zero_write
