frame,t,rz,pgz,lv_norm,av_norm,top_cf_name,top_cf_val,apparent_force_norm,tau_tensor_norm,tau_tensor_max,tau_tensor_nz,wrote_actuation,control_mode
0,0.0,0.38999998569488525,1.0,0.0,0.0,pelvis,0.0,0.0,0.0,0.0,0,True,PD
1,0.02,0.6150923371315002,0.9760255474766271,11.134122,13.224521,pelvis,0.0,9098.778,0.0,0.0,0,True,PD
2,0.04,0.8318284749984741,0.9142768212232424,10.615828,8.386549,pelvis,0.0,514.6004,28.715518951416016,18.957862854003906,22,True,PD
3,0.06,1.0490868091583252,0.8001091345181996,10.729253,26.383999,pelvis,0.0,682.8147,61.84186935424805,36.0,22,True,PD
4,0.08,1.2525897026062012,0.6609877125383363,9.620844,13.0555525,pelvis,0.0,1370.6376,100.66127014160156,36.0,22,True,PD
5,0.1,1.4602327346801758,0.5581920246262921,10.258342,12.658814,pelvis,0.0,1673.369,112.55262756347656,36.0,22,True,PD
6,0.12,1.6634094715118408,0.22595769601385562,9.304399,28.987263,pelvis,0.0,2110.2583,123.3847885131836,36.0,22,True,PD
7,0.14,1.8629690408706665,0.16399718021408205,10.1406,19.484243,pelvis,0.0,1931.2656,125.47999572753906,36.0,22,True,PD
8,0.16,2.055675745010376,0.012232546460472449,9.2384815,26.217018,pelvis,0.0,1709.9126,126.2197036743164,36.0,22,True,PD
9,0.18,2.252734899520874,-0.08334350787246514,10.050641,13.853564,pelvis,0.0,1378.3037,122.09127044677734,36.0,22,True,PD
10,0.2,2.4482626914978027,-0.38074720894309877,8.950548,31.5081,pelvis,0.0,1484.2186,126.99882507324219,36.0,22,True,PD
11,0.22,2.639263153076172,-0.49877983931074255,9.695499,19.782423,pelvis,0.0,1143.4705,121.91364288330078,36.0,22,True,PD
12,0.24,2.8262977600097656,-0.6690909990480236,8.894274,29.159935,pelvis,0.0,1090.8972,119.1852035522461,36.0,22,True,PD
13,0.26,3.009428024291992,-0.7489030040800491,9.368102,19.651625,pelvis,0.0,973.5196,118.91064453125,36.0,22,True,PD
14,0.28,3.1881728172302246,-0.8955112734173838,8.676298,31.348505,pelvis,0.0,1023.9193,119.88597869873047,36.0,22,True,PD
15,0.3,3.362485647201538,-0.9480685374437403,8.9128475,21.972952,pelvis,0.0,1062.4828,118.4226303100586,36.0,22,True,PD
16,0.32,3.5294666290283203,-0.9898775536181006,8.550965,33.34255,pelvis,0.0,1014.045,118.86477661132812,36.0,22,True,PD
17,0.34,3.6908538341522217,-0.9970883735358993,8.21442,14.941116,pelvis,0.0,962.9371,110.95156860351562,36.0,22,True,PD
18,0.36,3.844642400741577,-0.9207458465618448,8.108403,31.953337,pelvis,0.0,1212.8779,124.66204071044922,36.0,22,True,PD
19,0.38,3.9896113872528076,-0.8764349230125075,7.3475327,14.661385,pelvis,0.0,1959.8584,121.47209930419922,36.0,22,True,PD
20,0.4,4.129443645477295,-0.7486483266461406,7.7133703,26.818918,pelvis,0.0,1405.7919,114.35284423828125,36.0,22,True,PD
21,0.42,4.262051582336426,-0.703384967201544,6.526512,18.636642,pelvis,0.0,1463.0138,120.5011215209961,36.0,22,True,PD
22,0.44,4.394015312194824,-0.5728726209647235,7.7128186,28.997858,pelvis,0.0,1427.756,117.40984344482422,36.0,22,True,PD
23,0.46,4.519334316253662,-0.5132184397719795,6.073136,21.78339,pelvis,0.0,1435.2268,125.5257339477539,36.0,22,True,PD
24,0.48,4.646732330322266,-0.3001100896775899,7.6540556,31.163006,pelvis,0.0,1346.4109,122.47186279296875,36.0,22,True,PD
25,0.5,4.7712788581848145,-0.21892436667241144,5.980118,16.217125,pelvis,0.0,1382.0686,124.98428344726562,36.0,22,True,PD
26,0.52,4.897863388061523,-0.08533659423461337,7.3925967,29.66073,pelvis,0.0,1242.6873,119.49359130859375,36.0,22,True,PD
27,0.54,5.014693260192871,-0.056312444288594055,5.416592,15.284985,pelvis,0.0,1765.7999,118.92349243164062,36.0,22,True,PD
28,0.56,5.122345924377441,0.22517146854750747,5.8356805,15.648146,pelvis,0.0,763.0526,120.793212890625,36.0,22,True,PD
29,0.58,5.217169284820557,0.38604374495208615,5.4146323,10.729433,pelvis,0.0,691.1887,112.49346923828125,36.0,22,True,PD
30,0.6,5.310667037963867,0.6206425193563905,5.0674973,20.949038,pelvis,0.0,955.7658,117.13800811767578,36.0,22,True,PD
31,0.62,5.403817176818848,0.6310110566830054,5.2195053,11.900722,pelvis,0.0,807.8945,112.64984130859375,36.0,22,True,PD
32,0.64,5.490976333618164,0.8368305619928602,4.68129,28.758701,pelvis,0.0,1201.3081,125.23991394042969,36.0,22,True,PD
33,0.66,5.582849025726318,0.905244614178661,5.225996,11.284758,pelvis,0.0,1208.4193,121.07693481445312,36.0,22,True,PD
34,0.68,5.667956352233887,0.9909712048628601,3.9056458,29.291521,pelvis,0.0,1644.8656,123.2177505493164,36.0,22,True,PD
35,0.7000000000000001,5.755976676940918,0.9982040877058322,5.0251317,12.882754,pelvis,0.0,1438.0836,125.4244155883789,36.0,22,True,PD
36,0.72,5.838302135467529,0.9562833398872147,3.4010127,26.475107,pelvis,0.0,1539.7455,118.92001342773438,36.0,22,True,PD
37,0.74,5.9243998527526855,0.8692365186314301,4.770406,16.846094,pelvis,0.0,1277.4138,125.61759185791016,36.0,22,True,PD
38,0.76,6.002091407775879,0.7136270776014992,2.9843512,25.841312,pelvis,0.0,1551.5795,120.64585876464844,36.0,22,True,PD
39,0.78,6.083981037139893,0.5330802148897895,4.426285,18.170706,pelvis,0.0,1251.6167,126.44772338867188,36.0,22,True,PD
40,0.8,6.157894134521484,0.2983660203759335,2.9845302,25.47876,pelvis,0.0,1465.4594,120.83003234863281,36.0,22,True,PD
41,0.8200000000000001,6.235241889953613,0.07458923479758539,4.084212,20.627316,pelvis,0.0,1266.7793,125.90743255615234,36.0,22,True,PD
42,0.84,6.302525520324707,-0.14828318093189274,3.048038,24.104937,pelvis,0.0,1522.0292,121.1908187866211,36.0,22,True,PD
