frame,t,rz,pgz,lv_norm,av_norm,top_cf_name,top_cf_val,apparent_force_norm,tau_tensor_norm,tau_tensor_max,tau_tensor_nz,wrote_actuation,control_mode
0,0.0,0.38999998569488525,1.0,0.0,0.0,pelvis,0.0,0.0,0.0,0.0,0,True,noPD_zero_write
1,0.02,0.3877927362918854,1.0,0.19619997,4.346425e-08,pelvis,0.0,160.33415,0.0,0.0,0,True,noPD_zero_write
2,0.04,0.38166162371635437,1.0,0.3923999,7.568191e-08,pelvis,0.0,160.33412,0.0,0.0,0,True,noPD_zero_write
3,0.06,0.3716062605381012,1.0,0.5885998,1.0873828e-07,pelvis,0.0,160.33409,0.0,0.0,0,True,noPD_zero_write
4,0.08,0.3576270043849945,1.0,0.7847997,1.611478e-07,pelvis,0.0,160.33409,0.0,0.0,0,True,noPD_zero_write
5,0.1,0.33972373604774475,1.0,0.9809996,2.0524479e-07,pelvis,0.0,160.33409,0.0,0.0,0,True,noPD_zero_write
6,0.12,0.3178965449333191,1.0,1.1772,2.5498534e-07,pelvis,0.0,160.33449,0.0,0.0,0,True,noPD_zero_write
7,0.14,0.292145311832428,1.0,1.3734003,3.130858e-07,pelvis,0.0,160.33449,0.0,0.0,0,True,noPD_zero_write
8,0.16,0.2624701261520386,1.0,1.5696007,3.3436393e-07,pelvis,0.0,160.33449,0.0,0.0,0,True,noPD_zero_write
9,0.18,0.22887086868286133,1.0,1.7658011,3.3873874e-07,pelvis,0.0,160.33449,0.0,0.0,0,True,noPD_zero_write
10,0.2,0.1913476288318634,1.0,1.9620014,3.7574367e-07,pelvis,0.0,160.33449,0.0,0.0,0,True,noPD_zero_write
11,0.22,0.14990031719207764,1.0,2.158201,4.407187e-07,pelvis,0.0,160.33379,0.0,0.0,0,True,noPD_zero_write
12,0.24,0.1045290008187294,1.0,2.3544004,4.964341e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
13,0.26,0.055233828723430634,1.0,2.5505998,5.43356e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
14,0.28,0.0020146071910858154,1.0,2.7467992,5.4482314e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
15,0.3,-0.05512857437133789,1.0,2.9429986,5.7054655e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
16,0.32,-0.11619580537080765,1.0,3.139198,5.676305e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
17,0.34,-0.1811869740486145,1.0,3.3353975,5.682332e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
18,0.36,-0.250102162361145,1.0,3.531597,6.219853e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
19,0.38,-0.32294130325317383,1.0,3.7277963,6.824351e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
20,0.4,-0.3997043967247009,1.0,3.9239957,7.582386e-07,pelvis,0.0,160.3337,0.0,0.0,0,True,noPD_zero_write
21,0.42,-0.48039135336875916,1.0,4.1201963,8.242775e-07,pelvis,0.0,160.33467,0.0,0.0,0,True,noPD_zero_write
22,0.44,-0.5650023818016052,1.0,4.3163977,8.1953743e-07,pelvis,0.0,160.33525,0.0,0.0,0,True,noPD_zero_write
23,0.46,-0.6535375714302063,1.0,4.512599,8.1054606e-07,pelvis,0.0,160.33525,0.0,0.0,0,True,noPD_zero_write
24,0.48,-0.7459969520568848,1.0,4.7088003,8.0944255e-07,pelvis,0.0,160.33525,0.0,0.0,0,True,noPD_zero_write
25,0.5,-0.8423799276351929,1.0,4.9050016,8.1255007e-07,pelvis,0.0,160.33525,0.0,0.0,0,True,noPD_zero_write
