frame,t,rz,pgz,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,knee_L,knee_R,knee_L_vel,knee_R_vel,knee_L_tau,knee_R_tau,knee_hit_limit,bz_min
0,0.0,0.4103291630744934,0.9999562098754664,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.4244813621044159,0.4350522756576538,0.0,0.0,0.0,0.0,False,0.03364689
1,0.02,0.40812188386917114,0.9999562098754664,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,0.0,,11.044901,11.044901,0,left_ankle_roll_link,11.044901,0.4244813621044159,0.4350522756576538,0.012202293612062931,-0.16971461474895477,0.0,0.0,False,0.0314397
2,0.04,0.4047718942165375,0.9998343628732209,0.2931371,2.6445837,0.3011159896850586,24.824111938476562,10.5063715,0.0,,18.864502,40.42413,0,right_ankle_roll_link,40.42413,0.45789527893066406,0.7361682653427124,2.6326448917388916,24.824111938476562,-0.29285505,4.0731506,False,0.031011075
3,0.06,0.41359570622444153,0.9923131368878184,1.4604874,26.63818,0.6383911967277527,37.15226364135742,36.0,0.3181818181818182,"left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint",180.48236,0.0,0,left_ankle_roll_link,180.48236,-0.000798774475697428,0.2078113555908203,-0.3562476933002472,-28.571746826171875,-36.0,-36.0,True,0.031622685
4,0.08,0.4147491753101349,0.9677938449567126,1.0391942,14.478624,0.5074912905693054,36.90656280517578,36.0,0.8636363636363636,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,58.70158,0,right_ankle_roll_link,58.70158,0.6913029551506042,0.8193460702896118,36.90656280517578,24.275798797607422,36.0,36.0,False,0.0444222
5,0.1,0.4195292294025421,0.9803461139022648,1.8358647,28.727158,0.6887920498847961,35.91549301147461,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",740.0041,0.0,0,left_ankle_roll_link,740.0041,0.6441558599472046,0.2639407217502594,-8.630195617675781,-33.6182746887207,-36.0,-36.0,False,0.051078536
6,0.12,0.41933906078338623,0.9800653510678113,1.052538,19.32269,0.6158063411712646,36.556636810302734,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.040287733078003,0.838749349117279,36.556636810302734,30.737701416015625,36.0,36.0,False,0.0704076
7,0.14,0.41945523023605347,0.9755489639128951,1.3570985,27.005396,1.1649047136306763,35.667503356933594,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.5893861055374146,0.3264288306236267,16.317066192626953,-34.10173034667969,-36.0,-36.0,False,0.078141406
8,0.16,0.416541188955307,0.9509272169227013,0.9381984,24.254225,0.9086752533912659,36.170169830322266,36.0,1.0,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.0479099750518799,0.8284524083137512,-32.3697624206543,21.37443733215332,-36.0,36.0,False,0.098007016
9,0.18,0.4045579433441162,0.9851340536399651,1.0448868,30.623428,1.185192346572876,36.071414947509766,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.6096737384796143,0.5821032524108887,35.3206901550293,-30.853395462036133,36.0,-36.0,False,0.09911122
10,0.2,0.3918740749359131,0.9376910578214739,1.7807077,25.06362,1.2005062103271484,36.20995330810547,36.0,0.9090909090909091,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.1178303956985474,0.969205915927887,-34.957157135009766,15.187928199768066,-36.0,36.0,False,0.12742534
11,0.22,0.3704848289489746,0.9903401728714482,1.4621819,29.52796,1.197218894958496,36.235862731933594,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.6217002868652344,0.9394887089729309,34.699039459228516,-23.66631507873535,36.0,-36.0,False,0.13019821
