frame,t,rz,pgz,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_cmd_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf,top_cf_val,kneeL,kneeR,kneeL_vel,kneeR_vel,kneeL_tau,kneeR_tau,kneeL_tau_cmd,kneeR_tau_cmd,knee_hit,bz_min
0,0.0,0.4103291630744934,0.9999562098746537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.4244813621044159,0.4350522756576538,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03364689
1,0.02,0.40812188386917114,0.9999562098746537,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,1.3132964,0.0,,0.0,22.089802,0,right_ankle_roll_link,22.089802,0.4244813621044159,0.4350522756576538,0.012202293612062931,-0.16971461474895477,0.0,0.0,-0.03660688,0.5091438,False,0.0314397
2,0.04,0.40516412258148193,0.9999667188749299,0.17573176,0.6272769,0.088559091091156,6.679009437561035,1.3132964,27.121758,0.0,,48.359135,29.415897,0,left_ankle_roll_link,48.359135,0.47356897592544556,0.5236113667488098,4.224009990692139,6.679009437561035,-0.03660688,0.5091438,-16.59904,-27.121758,False,0.030997872
3,0.06,0.410525918006897,0.995727970264852,1.5222374,8.059941,0.4002099335193634,36.01874542236328,27.121758,140.07303,0.0,,0.0,0.0,0,pelvis,0.0,0.14038965106010437,0.03484233841300011,-35.669803619384766,-36.01874542236328,-16.59904,-27.121758,129.73676,140.07303,False,0.032046437
4,0.08,0.4084410071372986,0.9982406218769029,0.84058785,2.808875,0.47021809220314026,36.11697006225586,140.07303,145.90007,0.0,,0.0,0.0,0,pelvis,0.0,0.8946994543075562,0.7911611795425415,36.094207763671875,36.11697006225586,129.73676,140.07303,-145.90007,-136.83961,False,0.055879522
5,0.1,0.41094961762428284,0.995372966863215,0.39525607,6.164922,0.4167199730873108,36.083805084228516,145.90007,133.88554,0.0,,177.93987,0.0,0,left_ankle_roll_link,177.93987,0.1796002835035324,0.10008732974529266,-35.06928253173828,-35.69611740112305,-145.90007,-136.83961,124.79833,133.88554,False,0.036158763
6,0.12,0.40636488795280457,0.9999255963775795,0.8318737,4.970015,0.5080770254135132,36.13407516479492,133.88554,146.44098,0.0,,0.0,0.0,0,pelvis,0.0,0.9029989838600159,0.8379372358322144,36.05318832397461,36.13407516479492,124.79833,133.88554,-146.44098,-140.63303,False,0.062875114
7,0.14,0.4046920835971832,0.9931756863370538,0.65699345,11.95213,0.41392576694488525,36.81644821166992,146.44098,128.78078,0.0,,0.0,168.53671,0,right_ankle_roll_link,168.53671,0.20295289158821106,0.16375231742858887,-35.528419494628906,-35.6922607421875,-146.44098,-140.63303,124.30754,128.78078,False,0.037657805
8,0.16,0.3998481035232544,0.9871323062106967,1.0025947,6.672056,0.5292185544967651,36.1344108581543,128.78078,147.66139,0.0,,0.0,0.0,0,pelvis,0.0,0.9167447686195374,0.8650516271591187,36.093441009521484,36.1344108581543,124.30754,128.78078,-147.66139,-142.80318,False,0.067985006
9,0.18,0.39542055130004883,0.9565899409353733,1.0011749,17.179155,0.3768501281738281,36.86472702026367,147.66139,127.227455,0.0,,71.48458,186.58311,0,right_ankle_roll_link,186.58311,0.2135830521583557,0.1929337978363037,-35.43730545043945,-35.952659606933594,-147.66139,-142.80318,123.183784,127.227455,False,0.03371881
