frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
0,0.0,0.3981733024120331,0.9999998528492771,0.0,0.0,0.0,0.06691531538963319,0.0,0.0,pelvis,0.0,0,0.0,True
1,0.02,0.3971567153930664,0.9999998924601579,0.04489705,0.079507835,1.9916319847106934,0.08075977563858033,0.0,0.0,pelvis,64.66704,129.33407402038574,36.689762,True
2,0.04,0.39574581384658813,0.9999956153538003,0.109354734,0.17544195,4.117517948150635,0.14348093867301942,0.0,0.0,pelvis,107.19629,214.392578125,52.71626,True
3,0.06,0.3926179111003876,0.9999698310618407,0.22192003,0.29932714,6.137187957763672,0.2477239489555359,0.0,0.0,pelvis,76.03284,152.06567001342773,92.84685,True
4,0.08,0.38680171966552734,0.9998890856925299,0.37838346,0.40072197,7.785797119140625,0.38910324573516847,0.0,0.0,pelvis,49.877968,99.75593757629395,129.66557,True
5,0.1,0.37749582529067993,0.9997253090929041,0.56389284,0.44282982,8.934741020202637,0.5582794666290283,0.0,0.0,pelvis,34.369347,68.73869132995605,154.31392,True
6,0.12,0.3642439842224121,0.9994832120181502,0.76394284,0.4233897,9.702847480773926,0.7462392568588256,0.0,0.0,pelvis,27.30539,54.610779762268066,166.67151,True
7,0.14,0.3468421697616577,0.9992032191297066,0.9704381,0.3553496,10.252983093261719,0.9470471858978271,0.0,0.0,pelvis,23.950943,47.90188694000244,172.0319,True
8,0.16,0.3254263997077942,0.9988652357931728,1.1043125,1.2256131,13.609729766845703,1.1635283946990966,0.0,0.0,pelvis,1208.9006,2417.80126953125,182.60838,True
9,0.18,0.3029159903526306,0.9970020800331652,1.276302,1.2888305,13.93903636932373,1.459013295173645,0.0,0.0,pelvis,6.197012,12.394023895263672,142.55981,True
10,0.2,0.27581119537353516,0.9952316166624469,1.4776138,0.7995994,12.561195373535156,1.7212109088897705,0.0,0.0,pelvis,7.273303,14.546606302261353,206.2079,True
11,0.22,0.24416150152683258,0.9941616238005966,1.6879073,0.3024772,11.789299011230469,1.9631919384002685,0.0,0.0,pelvis,8.855471,17.710940837860107,203.55304,True
12,0.24,0.21340617537498474,0.9927122699645072,0.8477466,4.492996,18.075162887573242,2.150067758560181,0.0,0.0,pelvis,3429.6157,6859.2313232421875,1515.5956,True
13,0.26,0.2125760018825531,0.9773155733672411,0.99877363,5.144685,10.821968078613281,2.0778853416442873,0.0,0.0,pelvis,28.450249,56.90049648284912,181.47989,True
14,0.28,0.20906835794448853,0.950988765868445,0.9926243,5.07054,10.26187801361084,2.055550765991211,0.0,0.0,pelvis,8.591432,17.182863235473633,118.906746,True
15,0.3,0.20316354930400848,0.9153334010651331,1.0164903,5.061665,10.602191925048828,2.030312967300415,0.0,0.0,pelvis,7.5968227,15.193645715713501,120.05893,True
16,0.32,0.1947879195213318,0.8706453234832003,1.0566479,4.873828,10.901154518127441,2.057264232635498,0.0,0.0,pelvis,259.57535,519.1506876945496,138.26491,True
17,0.34,0.18312422931194305,0.8209224565706768,1.1195418,4.650425,10.99298095703125,2.2211712837219237,0.0,0.0,pelvis,18.289747,36.57949423789978,145.15985,True
18,0.36,0.16823790967464447,0.7664328822961436,1.1617101,4.579163,11.293971061706543,2.442253017425537,0.0,0.0,pelvis,40.75904,81.5180835723877,181.63667,True
19,0.38,0.15008766949176788,0.7089703831144875,1.27103,4.418705,11.681365966796875,2.67260947227478,0.0,0.0,pelvis,31.81791,63.635817527770996,153.80331,True
20,0.4,0.128602534532547,0.6501757771570212,1.3913485,4.293629,11.995168685913086,2.9101587772369384,0.0,0.0,pelvis,29.692234,59.38446807861328,147.60344,True
21,0.42,0.10684847831726074,0.6042644737342724,1.1550856,3.2028933,8.485359191894531,2.956464672088623,0.0,0.0,pelvis,895.6958,1791.3916015625,200.09398,True
22,0.44,0.10370857268571854,0.6135677000222117,0.5019398,1.2524121,5.461857318878174,2.944924020767212,0.0,0.0,pelvis,6.7282343,13.4564688205719,758.8131,True
23,0.46,0.09826753288507462,0.6309426507836178,0.5694887,1.3311971,5.280098915100098,2.939715766906738,0.0,0.0,pelvis,52.088223,104.1764440536499,162.2879,True
24,0.48,0.08858122676610947,0.64946861651824,0.68900377,1.3719653,5.04989767074585,2.9542407035827636,0.0,0.0,pelvis,23.396568,46.79313683509827,170.75279,True
