frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
0,0.0,0.38993871212005615,1.0,0.0,0.0,0.0,1.1920928966180355e-08,0.0,0.0,pelvis,0.0,0,0.0,True
1,0.02,0.3877313733100891,1.0,0.1962,3.51403e-08,2.397999594450084e-07,1.1920928966180355e-08,0.0,0.0,pelvis,0.0,0,160.33417,True
2,0.04,0.3816002905368805,1.0,0.39239994,9.678161e-08,5.062443619863188e-07,1.1920928966180355e-08,0.0,0.0,pelvis,0.0,0,160.33412,True
3,0.06,0.3715451657772064,1.0,0.58859986,1.2437374e-07,7.193999067567347e-07,2.3180664499022896e-08,0.0,0.0,pelvis,0.0,0,160.3341,True
4,0.08,0.35756605863571167,1.0,0.78479975,1.7483661e-07,9.591998377800337e-07,4.0233111064935656e-08,0.0,0.0,pelvis,0.0,0,160.33409,True
5,0.1,0.3396627902984619,1.0,0.98099965,2.173603e-07,1.3322220411282615e-06,6.361360505025004e-08,0.0,0.0,pelvis,0.0,0,160.33409,True
6,0.12,0.3178354501724243,1.0,1.1772,2.7018757e-07,1.6785998013801873e-06,9.458781136117977e-08,0.0,0.0,pelvis,0.0,0,160.33443,True
7,0.14,0.2920840084552765,1.0,1.3734002,3.16968e-07,1.971688334378996e-06,1.313571829086868e-07,0.0,0.0,pelvis,0.0,0,160.33438,True
8,0.16,0.26240888237953186,1.0,1.5696006,3.435701e-07,2.264776640004129e-06,1.7392164863849757e-07,0.0,0.0,pelvis,0.0,0,160.33449,True
9,0.18,0.22880953550338745,1.0,1.765801,3.6881514e-07,2.5578649456292624e-06,2.2241448505155859e-07,0.0,0.0,pelvis,0.0,0,160.33449,True
10,0.2,0.19128620624542236,1.0,1.9620013,4.0084905e-07,2.797664137688116e-06,2.7610309416559176e-07,0.0,0.0,pelvis,0.0,0,160.33449,True
11,0.22,0.14983895421028137,1.0,2.158201,4.682428e-07,3.03746332974697e-06,3.348541781633685e-07,0.0,0.0,pelvis,0.0,0,160.3339,True
12,0.24,0.10446775704622269,1.0,2.3544004,4.946688e-07,3.3971630273299525e-06,3.9979994426175836e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
13,0.26,0.055172502994537354,1.0,2.5505998,5.1923706e-07,3.6103185721003683e-06,4.7040765593919787e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
14,0.28,0.0019532740116119385,1.0,2.7467992,5.538152e-07,3.79682978746132e-06,5.444126145448536e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
15,0.3,-0.05518997088074684,1.0,2.9429986,5.882441e-07,3.9300525713770185e-06,6.218810995051172e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
16,0.32,-0.11625717580318451,1.0,3.139198,5.85521e-07,4.143209025642136e-06,7.03013483871473e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
17,0.34,-0.18124833703041077,1.0,3.3353975,6.0037473e-07,4.369687758298824e-06,7.88675151852658e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
18,0.36,-0.2501635253429413,1.0,3.531597,5.549453e-07,4.716064722742885e-06,8.797992450126912e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
19,0.38,-0.3230026960372925,1.0,3.7277963,5.3722084e-07,5.089085789222736e-06,9.781840617506532e-07,0.0,0.0,pelvis,0.0,0,160.3337,True
20,0.4,-0.39976587891578674,1.0,3.9239957,5.4577936e-07,5.4621068557025865e-06,1.0840956292668125e-06,0.0,0.0,pelvis,0.0,0,160.3337,True
21,0.42,-0.48045310378074646,1.0,4.1201963,5.4040555e-07,5.808483820146648e-06,1.1973340861004544e-06,0.0,0.0,pelvis,0.0,0,160.33467,True
22,0.44,-0.565064549446106,1.0,4.3163977,5.300471e-07,6.0749284784833435e-06,1.3161009064788232e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
23,0.46,-0.6535996198654175,1.0,4.512599,5.02702e-07,6.274762654356891e-06,1.4398640360013815e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
24,0.48,-0.7460586428642273,1.0,4.7088003,4.348953e-07,6.594495516765164e-06,1.5690900454501389e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
25,0.5,-0.8424420356750488,1.0,4.9050016,4.1969741e-07,6.8609401751018595e-06,1.7035779364960035e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
26,0.52,-0.9427493214607239,1.0,5.101203,4.2979988e-07,7.193995315901702e-06,1.8447601632942678e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
27,0.54,-1.0469807386398315,1.0,5.2974043,4.5430613e-07,7.447118150594179e-06,1.991669932976947e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
28,0.56,-1.1551363468170166,1.0,5.4936056,4.984233e-07,7.766851922497153e-06,2.1440757791424403e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
29,0.58,-1.267215371131897,1.0,5.689807,5.486591e-07,8.07326432550326e-06,2.3028107989375712e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
30,0.6,-1.3832186460494995,1.0,5.8860083,6.328624e-07,8.499577234033495e-06,2.469071887389873e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
31,0.62,-1.5031462907791138,1.0,6.0822096,7.181484e-07,8.92589014256373e-06,2.6438585791765945e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
32,0.64,-1.6269969940185547,1.0,6.278411,8.0446006e-07,9.179013432003558e-06,2.8253400614630664e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
33,0.66,-1.7547721862792969,1.0,6.474612,8.796626e-07,9.312236215919256e-06,3.0102521577646257e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
34,0.68,-1.8864715099334717,1.0,6.6708136,9.287389e-07,9.592004062142223e-06,3.1993288303056033e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
35,0.7000000000000001,-2.022095203399658,1.0,6.867015,9.7845e-07,9.9117387435399e-06,3.394998429939733e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
36,0.72,-2.1616439819335938,1.0,7.063216,1.0673067e-06,1.0191506589762866e-05,3.5965306324214907e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
37,0.74,-2.305115222930908,1.0,7.2594175,1.1793227e-06,1.0404663044027984e-05,3.802791297857766e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
38,0.76,-2.4525105953216553,1.0,7.455619,1.2700201e-06,1.072439772542566e-05,4.014483238279354e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
39,0.78,-2.6038284301757812,1.0,7.65182,1.3651768e-06,1.0937554179690778e-05,4.231832463119645e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
40,0.8,-2.7590718269348145,1.0,7.8480215,1.4558024e-06,1.1044132406823337e-05,4.45124624093296e-06,0.0,0.0,pelvis,0.0,0,160.33525,True
41,0.8200000000000001,-2.9182395935058594,1.0,8.044222,1.4862084e-06,1.1203999747522175e-05,4.674261617765296e-06,0.0,0.0,pelvis,0.0,0,160.33449,True
42,0.84,-3.081331491470337,1.0,8.240419,1.4838766e-06,1.1337222531437874e-05,4.899741725239437e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
43,0.86,-3.248345136642456,1.0,8.436617,1.4811275e-06,1.1550378985702991e-05,5.128883458382916e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
44,0.88,-3.419285535812378,1.0,8.632814,1.4695353e-06,1.1763535439968109e-05,5.362288902688306e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
45,0.9,-3.594149112701416,1.0,8.829012,1.4634438e-06,1.1976691894233227e-05,5.5999580581556074e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
46,0.92,-3.7729368209838867,1.0,9.025209,1.4135629e-06,1.2136559234932065e-05,5.841021447849926e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
47,0.9400000000000001,-3.9556474685668945,1.0,9.221407,1.4562004e-06,1.2283104297239333e-05,6.085719178372528e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
