frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
0,0.0,0.3981733024120331,0.9999998528492771,0.0,0.0,0.0,0.06691531538963319,0.0,0.0,pelvis,0.0,0,0.0,True
1,0.02,0.39910662174224854,0.9996386354216305,0.54246974,2.4022937,15.736459732055664,0.10696885287761687,5.3532243,8.350159,pelvis,60.67738,121.3547592163086,443.30496,True
2,0.04,0.3952171802520752,0.9936789674734154,1.9804603,9.9853325,36.03922653198242,0.5333299160003662,36.0,68.42537,pelvis,0.0,0,2056.9368,True
3,0.06,0.3977586627006531,0.9987142704825808,2.0220444,9.07136,36.48809051513672,0.1289975732564926,36.0,105.075905,pelvis,175.51344,351.02689361572266,3263.3464,True
4,0.08,0.39411213994026184,0.99134449358891,1.8187428,9.448889,36.04737091064453,0.7089621543884277,36.0,100.9728,pelvis,0.0,0,3123.6418,True
5,0.1,0.3956814408302307,0.9944615343494247,2.0269938,8.6043005,36.36161804199219,0.3988310039043427,36.0,117.09494,pelvis,0.0,0,3106.953,True
6,0.12,0.38325658440589905,0.9890587396529714,1.7844852,8.209301,36.10814666748047,0.8141262054443359,36.0,109.51685,pelvis,0.0,0,2965.746,True
7,0.14,0.377227246761322,0.9912078516545745,1.7761006,7.613462,35.013614654541016,0.7002353668212891,36.0,116.97195,pelvis,290.18896,580.3779220581055,2731.7952,True
8,0.16,0.3648596704006195,0.9962081243611772,1.0193298,6.8640537,36.09251403808594,1.0060465335845947,36.0,95.49173,pelvis,0.0,0,1668.755,True
9,0.18,0.36572355031967163,0.9938154598194024,3.0864706,16.783262,35.99094772338867,1.1845852136611938,36.0,117.056854,pelvis,790.9985,1581.9969482421875,2908.3167,True
10,0.2,0.36830371618270874,0.9839673299228363,1.293568,22.799572,36.34514617919922,1.164026927947998,36.0,103.810875,pelvis,191.10449,382.20897674560547,3491.3027,True
11,0.22,0.3766162693500519,0.9606010880999403,2.620305,29.877598,36.08934783935547,0.9978554964065551,36.0,113.99014,pelvis,191.4874,382.97479248046875,3099.6191,True
12,0.24,0.3820524513721466,0.9461299094606533,1.0877459,30.612432,36.08884048461914,1.2315017700195312,36.0,123.71382,pelvis,0.0,0,3005.323,True
13,0.26,0.3698887228965759,0.9805767395748418,0.6170679,32.359577,36.384151458740234,1.2471512079238891,36.0,123.51502,pelvis,0.0,0,428.42157,True
14,0.28,0.38011425733566284,0.9530948186320898,1.8411232,22.740498,36.22996520996094,1.0108968019485474,36.0,114.0764,pelvis,283.5587,567.1173706054688,1964.781,True
15,0.3,0.36480116844177246,0.9758164446195818,2.3394156,27.679415,36.1143913269043,1.1422845125198364,36.0,117.41493,pelvis,0.0,0,3261.4243,True
16,0.32,0.35502731800079346,0.9833676747795383,0.57257354,23.952019,36.00263977050781,0.9457730650901794,36.0,116.07088,pelvis,458.60748,917.2149658203125,2289.213,True
17,0.34,0.3583340644836426,0.9631529084438241,1.2245663,19.474247,34.794002532958984,1.175437569618225,36.0,93.55404,pelvis,309.8938,619.78759765625,1054.2261,True
18,0.36,0.3533874750137329,0.9730406049259089,1.2471497,34.527172,35.42335510253906,1.1024810075759888,36.0,110.43333,pelvis,255.31918,510.6383590698242,1871.3843,True
19,0.38,0.3535027503967285,0.9588026225996498,1.5827858,21.313133,36.08225631713867,1.2336152791976929,36.0,105.502594,pelvis,0.0,0,2273.4595,True
20,0.4,0.3471605181694031,0.9780929563438956,1.9969566,39.056606,36.34843826293945,1.2571498155593872,36.0,116.461685,pelvis,227.8892,455.7784118652344,2833.501,True
21,0.42,0.3491935133934021,0.9799855565362295,1.2186822,14.42531,36.08404541015625,1.1503016948699951,36.0,110.26892,pelvis,28.839796,57.67959213256836,2626.283,True
22,0.44,0.34648314118385315,0.9727749193267843,1.834042,24.93414,36.199649810791016,1.373317837715149,36.0,113.01565,pelvis,43.142532,86.28506469726562,2467.9878,True
23,0.46,0.3398323059082031,0.9800783210271979,1.2459372,25.592436,36.01752853393555,1.3635234355926513,36.0,116.78859,pelvis,0.0,0,1968.3663,True
24,0.48,0.3487488329410553,0.972587202905725,1.5004348,26.365923,36.106605529785156,1.1578001976013184,36.0,119.106186,pelvis,267.50006,535.0001220703125,2217.3357,True
25,0.5,0.3643697202205658,0.9686481304380781,0.96190315,26.64656,36.09629440307617,1.397615909576416,36.0,106.18667,pelvis,657.66785,1315.335693359375,1687.8048,True
26,0.52,0.3846304416656494,0.9407319481153844,1.65598,23.747734,36.37300109863281,1.1395478248596191,36.0,100.90781,pelvis,0.0,0,1645.8807,True
27,0.54,0.40311911702156067,0.9172259416708918,1.5242357,24.612185,38.271427154541016,1.3144723176956177,36.0,107.355156,pelvis,128.3653,256.7305908203125,2287.1868,True
28,0.56,0.40957778692245483,0.9268938038052154,1.5658833,22.940845,36.34917449951172,1.2375893592834473,36.0,116.474335,pelvis,0.0,0,2263.7327,True
29,0.58,0.4237230122089386,0.8992562204784096,1.8840014,27.451355,36.08391571044922,1.259124994277954,36.0,115.68741,pelvis,0.0,0,2735.7913,True
30,0.6,0.42844992876052856,0.8764650882262074,1.5040847,20.588259,36.30828094482422,1.0646916627883911,36.0,115.206055,pelvis,0.0,0,2747.7935,True
31,0.62,0.43553364276885986,0.8349375824714649,1.2139751,27.455927,35.26841354370117,1.1570837497711182,36.0,109.958954,left_ankle_pitch_link,367.69247,735.3849487304688,2209.5793,True
32,0.64,0.4343574345111847,0.817643778754018,1.706499,19.124727,36.26785659790039,1.0133950233459472,36.0,114.23661,pelvis,0.0,0,2382.5234,True
33,0.66,0.42198318243026733,0.8137967210427255,1.2885091,24.717848,36.12240982055664,1.1476146697998046,36.0,112.1809,pelvis,0.0,0,1861.0272,True
34,0.68,0.41656118631362915,0.7963108636833222,1.159032,24.995344,36.4455680847168,1.060621690750122,36.0,113.88356,pelvis,0.0,0,1732.3971,True
35,0.7000000000000001,0.393583744764328,0.8061493044711567,2.2995617,25.690157,36.1744384765625,1.2719082355499267,36.0,112.29322,pelvis,0.0,0,2266.9138,True
36,0.72,0.37512627243995667,0.7901175903093741,1.2954946,26.895224,36.41477584838867,1.1349695444107055,36.0,120.307175,pelvis,0.0,0,2154.8662,True
37,0.74,0.3503972589969635,0.7564601689325396,2.5487528,25.011024,36.17094802856445,1.3645938158035278,36.0,112.21754,pelvis,0.0,0,2425.3462,True
38,0.76,0.31693771481513977,0.7620308261695494,2.0173306,26.812666,36.483821868896484,1.27782244682312,36.0,116.82465,pelvis,0.0,0,2006.4822,True
39,0.78,0.2938578724861145,0.7009594927666831,2.2075818,24.959257,36.1569938659668,1.3452195644378662,36.0,107.35573,pelvis,0.0,0,2175.465,True
40,0.8,0.2549261450767517,0.703874613887157,2.6231992,32.98507,36.201820373535156,1.4217737436294555,36.0,113.265205,pelvis,634.15497,1268.3099365234375,2253.0823,True
41,0.8200000000000001,0.2502225637435913,0.6009480173006678,0.8422292,22.29528,36.19832229614258,1.4049940824508667,36.0,111.934265,pelvis,441.91876,883.8375244140625,2797.2742,True
42,0.84,0.24712985754013062,0.45393458053059,2.3972769,30.60804,36.11539840698242,1.2799709558486938,36.0,109.24361,pelvis,50.862034,101.72406768798828,2641.083,True
43,0.86,0.23934736847877502,0.3904297977048543,0.80977166,32.280605,35.33554458618164,1.0335413932800293,36.0,113.108894,pelvis,81.435234,162.87046813964844,1958.5182,True
44,0.88,0.23743118345737457,0.26214988766364966,2.1953619,21.358793,36.06924057006836,1.272754144668579,36.0,109.17353,pelvis,0.0,0,1862.0087,True
45,0.9,0.21563223004341125,0.21108896704100566,1.3494768,23.324488,36.02688217163086,1.13045072555542,36.0,121.18129,pelvis,0.0,0,1329.1146,True
46,0.92,0.21450497210025787,0.04008192533982635,1.9284008,16.55386,36.414581298828125,1.0354012966156005,36.0,111.363716,pelvis,0.0,0,1171.4681,True
47,0.9400000000000001,0.18964481353759766,-0.034616562572162834,1.9003052,19.566422,36.052555084228516,1.233288049697876,36.0,117.749275,pelvis,0.0,0,1059.6786,True
48,0.96,0.1629461944103241,-0.13249541876958704,2.598395,14.265967,36.36503982543945,1.0637683868408203,36.0,119.24147,pelvis,0.0,0,1144.584,True
49,0.98,0.12787792086601257,-0.19894792820066698,1.9127169,18.757206,36.0772705078125,1.2980026006698608,36.0,117.3081,pelvis,0.0,0,1337.4795,True
50,1.0,0.12406555563211441,-0.26377754252156826,1.0141652,13.07595,36.44144058227539,1.0574490547180175,36.0,113.70569,pelvis,0.0,0,1491.8049,True
51,1.02,0.12064369022846222,-0.25525753052020583,0.5270938,17.94226,36.099735260009766,1.3803768157958984,36.0,115.128235,pelvis,318.92078,637.841552734375,1120.6803,True
52,1.04,0.1314803510904312,-0.27690415531270673,1.158257,13.898879,36.45499801635742,0.9424607753753662,36.0,104.33852,pelvis,0.0,0,1121.41,True
53,1.06,0.12188141793012619,-0.24748689706262894,0.6103326,16.925055,36.08205032348633,1.420634150505066,36.0,117.86964,pelvis,0.0,0,883.33997,True
54,1.08,0.10106121748685837,-0.17436194128814897,1.9459658,13.408991,36.36899948120117,1.0261505842208862,36.0,119.13463,pelvis,0.0,0,1195.0245,True
55,1.1,0.07961266487836838,-0.1139847111140444,0.21627797,15.689756,36.08009338378906,1.4397729635238647,36.0,116.041725,pelvis,1138.754,2277.5080375671387,1498.5522,True
