frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
0,0.0,0.4103291630744934,0.9999562098754664,0.0,0.0,0.0,0.13505227565765382,0.0,0.0,pelvis,0.0,0,0.0,True
1,0.02,0.4105626940727234,0.9986088570747396,0.9977593,4.437328,34.344120025634766,0.25106540247797965,10.804181,16.139753,pelvis,0.0,0,815.3666,True
2,0.04,0.4095430076122284,0.9969327988491402,2.0006328,9.804184,36.006309509277344,0.46033382415771484,36.0,86.06796,pelvis,0.0,0,2430.8125,True
3,0.06,0.4098595976829529,0.9993603369415148,1.4104835,5.7087555,36.63740921020508,0.24539234414696692,36.0,106.78221,left_ankle_roll_link,47.78007,0,2764.8682,True
4,0.08,0.410123735666275,0.988835810070868,1.9466712,9.9465065,36.029232025146484,0.6108312606811523,36.0,103.56899,pelvis,0.0,0,2722.2659,True
5,0.1,0.40840139985084534,0.9950002801935034,1.6094453,7.8045244,36.6211051940918,0.2606201171875,36.0,111.05756,left_ankle_roll_link,135.06114,0,2870.3752,True
6,0.12,0.4059761166572571,0.9764715860686098,2.182807,11.6309395,36.04226303100586,0.8074497580528259,36.0,111.45932,pelvis,0.0,0,3048.8176,True
7,0.14,0.4037386178970337,0.9747428061877299,1.5589334,7.5537963,36.48279571533203,0.6285015940666199,36.0,115.77576,left_ankle_roll_link,159.90825,0,2997.7937,True
8,0.16,0.401891827583313,0.9378429812580831,2.2763703,12.89483,36.062034606933594,1.1059194803237915,36.0,111.66282,pelvis,0.0,0,3084.5645,True
9,0.18,0.401522696018219,0.902893930478163,0.77328527,9.497507,34.140960693359375,1.2655662298202515,36.0,118.16249,right_ankle_roll_link,237.45921,0,2424.6094,True
10,0.2,0.39090996980667114,0.9379528125523606,1.0436667,23.492022,36.76203536987305,1.1512413024902344,36.0,104.545876,left_ankle_roll_link,8.606544,0,553.1556,True
11,0.22,0.3832164406776428,0.9618423068595718,1.6761365,24.392342,36.14389419555664,0.7935079336166382,36.0,105.10906,right_ankle_roll_link,458.7708,0,1073.5898,True
12,0.24,0.38464123010635376,0.987896518231941,0.40914634,28.024738,35.85655212402344,1.345243215560913,36.0,113.31464,right_ankle_roll_link,44.239075,0,1692.3887,True
13,0.26,0.38865500688552856,0.9652656350786852,1.0198572,31.415165,36.049110412597656,0.907870352268219,36.0,121.90739,pelvis,0.0,0,1148.4927,True
