frame,t,rz,pgz,roll,pitch,yaw,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,bz_min,bz_min_name
0,0.0,0.38999995589256287,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.018089116,left_ankle_roll_link
1,0.02,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.5212126076221466,13.906943321228027,0.0,0.0,,0.10833788,0.10833788,0,left_ankle_roll_link,0.10833788,0.044539828,right_ankle_roll_link
2,0.04,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3052172539755702,4.345373630523682,36.0,0.13636363636363635,"left_knee_joint,left_ankle_roll_joint,right_knee_joint",1736.0148,1912.7333,0,right_ankle_roll_link,1912.7333,0.031004107,right_ankle_roll_link
3,0.06,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3048458555713296,11.07209300994873,30.357807,0.0,,651.662,654.70447,0,right_ankle_roll_link,654.70447,0.030981071,left_ankle_roll_link
4,0.08,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.304970720782876,18.03023338317871,23.168089,0.0,,511.90503,511.90503,0,left_ankle_roll_link,511.90503,0.030985756,left_ankle_roll_link
5,0.1,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049765005707741,18.060169219970703,22.935932,0.0,,507.3648,507.3648,0,left_ankle_roll_link,507.3648,0.030985992,left_ankle_roll_link
6,0.12,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049773694947362,18.051820755004883,22.928925,0.0,,510.80307,503.4748,0,left_ankle_roll_link,510.80307,0.030985931,left_ankle_roll_link
7,0.14,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049777573905885,18.044694900512695,22.9277,0.0,,510.7493,503.54352,0,left_ankle_roll_link,510.7493,0.030985951,left_ankle_roll_link
8,0.16,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049793727695942,18.034515380859375,22.928425,0.0,,510.75565,503.47733,0,left_ankle_roll_link,510.75565,0.030986033,left_ankle_roll_link
9,0.18,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497603258118033,18.03725242614746,22.92706,0.0,,507.11026,507.11026,0,left_ankle_roll_link,507.11026,0.03098586,left_ankle_roll_link
10,0.2,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049794379621744,18.030899047851562,22.929996,0.0,,507.06342,507.06342,0,left_ankle_roll_link,507.06342,0.030985933,left_ankle_roll_link
11,0.22,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049769876524806,18.035425186157227,22.926329,0.0,,510.65445,503.47195,0,left_ankle_roll_link,510.65445,0.03098599,left_ankle_roll_link
12,0.24,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497843865305185,18.031049728393555,22.925156,0.0,,510.68536,503.48077,0,left_ankle_roll_link,510.68536,0.030985907,left_ankle_roll_link
13,0.26,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049766873009503,18.035337448120117,22.927185,0.0,,510.83533,503.53656,0,left_ankle_roll_link,510.83533,0.030985901,left_ankle_roll_link
14,0.28,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049775888212025,18.03126335144043,22.931362,0.0,,507.18494,507.18494,0,left_ankle_roll_link,507.18494,0.030985823,left_ankle_roll_link
15,0.3,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.304976096842438,18.03540802001953,22.930485,0.0,,510.73557,503.53607,0,left_ankle_roll_link,510.73557,0.030985825,left_ankle_roll_link
16,0.32,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497748916968703,18.031267166137695,22.927824,0.0,,510.72107,503.43948,0,left_ankle_roll_link,510.72107,0.030985918,left_ankle_roll_link
17,0.34,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497592547908425,18.035446166992188,22.926554,0.0,,510.73608,503.4573,0,left_ankle_roll_link,510.73608,0.030985856,left_ankle_roll_link
18,0.36,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497809033840895,18.0312557220459,22.928537,0.0,,507.08435,507.08435,0,left_ankle_roll_link,507.08435,0.030985823,left_ankle_roll_link
19,0.38,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049774649553001,18.035425186157227,22.928888,0.0,,507.02243,507.02243,0,left_ankle_roll_link,507.02243,0.030986052,left_ankle_roll_link
20,0.4,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049772013910115,18.031225204467773,22.927055,0.0,,507.04053,507.04053,0,left_ankle_roll_link,507.04053,0.030986004,left_ankle_roll_link
21,0.42,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049788950011134,18.035425186157227,22.92692,0.0,,507.11395,507.11395,0,left_ankle_roll_link,507.11395,0.030985925,left_ankle_roll_link
22,0.44,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497796228155494,18.03122329711914,22.928883,0.0,,507.0741,507.0741,0,left_ankle_roll_link,507.0741,0.030985914,left_ankle_roll_link
23,0.46,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497716646641493,18.035411834716797,22.926645,0.0,,510.69406,503.47043,0,left_ankle_roll_link,510.69406,0.030985916,left_ankle_roll_link
24,0.48,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497594084590673,18.031225204467773,22.928,0.0,,510.70056,503.29724,0,left_ankle_roll_link,510.70056,0.030986005,left_ankle_roll_link
25,0.5,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497693503275514,18.035419464111328,22.927,0.0,,507.09418,507.09418,0,left_ankle_roll_link,507.09418,0.030985814,left_ankle_roll_link
26,0.52,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497676599770784,18.031232833862305,22.928276,0.0,,507.1488,507.1488,0,left_ankle_roll_link,507.1488,0.030985959,left_ankle_roll_link
27,0.54,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049771208316088,18.035430908203125,22.926708,0.0,,507.11285,507.11285,0,left_ankle_roll_link,507.11285,0.030985927,left_ankle_roll_link
28,0.56,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497678369283676,18.031240463256836,22.928638,0.0,,507.1147,507.1147,0,left_ankle_roll_link,507.1147,0.030985976,left_ankle_roll_link
29,0.58,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.304978433996439,18.035442352294922,22.927752,0.0,,507.1076,507.1076,0,left_ankle_roll_link,507.1076,0.030985931,left_ankle_roll_link
30,0.6,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049770756624639,18.03123664855957,22.928541,0.0,,507.06628,507.06628,0,left_ankle_roll_link,507.06628,0.030986112,left_ankle_roll_link
31,0.62,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.3049770090728998,18.035444259643555,22.92677,0.0,,507.02277,507.02277,0,left_ankle_roll_link,507.02277,0.030985994,left_ankle_roll_link
32,0.64,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497715156525373,18.031248092651367,22.926126,0.0,,510.75745,503.4275,0,left_ankle_roll_link,510.75745,0.030985886,left_ankle_roll_link
33,0.66,0.3899999260902405,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,0.0,0.0,0.30497880885377526,18.03544044494629,22.928995,0.0,,507.13965,507.13965,0,left_ankle_roll_link,507.13965,0.030985935,left_ankle_roll_link
