frame,t,rz,pgz,roll,pitch,yaw,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,bz_min,bz_min_name
0,0.0,0.4103291630744934,0.9999562098754664,0.5191866882168289,-0.13400297060810903,0.2983123238854296,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.03364689,right_ankle_roll_link
1,0.02,0.40812188386917114,0.9999562098754664,0.5191866572824018,-0.13400296258059602,0.29831227938837074,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,0.0,,11.044901,11.044901,0,left_ankle_roll_link,11.044901,0.0314397,right_ankle_roll_link
2,0.04,0.40516412258148193,0.9999667188761435,0.46272829778060914,0.06629322730772674,0.09814295885378067,0.17573176,0.6272769,0.088559091091156,6.679009437561035,1.3132964,0.0,,38.887516,38.887516,0,left_ankle_roll_link,38.887516,0.030997872,left_ankle_roll_link
3,0.06,0.410525918006897,0.9957279701650039,-0.036489343018663335,-5.297844185121673,3.8667974634591045,1.5222374,8.059941,0.4002099372446537,36.01874542236328,27.121758,0.0,,0.0,0.0,0,pelvis,0.0,0.032046437,left_ankle_roll_link
4,0.08,0.41188743710517883,0.9998420149943765,-0.04380137538879931,1.0175350341781964,1.0948179762387225,1.9959897,10.415938,0.38524517230689526,36.01823806762695,36.0,0.3181818181818182,"left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint",0.0,0.0,0,pelvis,0.0,0.042391814,right_ankle_roll_link
5,0.1,0.4128280580043793,0.9991487441968192,1.5333663504432269,-1.7998248254006672,1.5542738825586697,1.2278547,5.155135,0.40573590621352196,36.930206298828125,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint",0.0,31.199032,0,right_ankle_roll_link,31.199032,0.038275234,left_ankle_roll_link
6,0.12,0.40964531898498535,0.9966649140681605,-1.4789117561518415,4.441426185735222,-0.2861404908673231,1.859409,9.821274,0.4961444418877363,36.01422882080078,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint",0.0,0.0,0,pelvis,0.0,0.04473883,left_ankle_roll_link
7,0.14,0.4053128957748413,0.9963054816798746,4.810770316095582,1.0634235188284091,1.6432619601778333,1.503616,12.268511,0.36195994913578033,36.43811798095703,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint",0.0,75.37157,0,right_ankle_roll_link,75.37157,0.03445047,right_ankle_roll_link
8,0.16,0.39991921186447144,0.9898084351037095,-2.955969575292583,7.63818776922011,0.9038148061073855,2.082625,17.739399,0.6032209321856499,36.021240234375,36.0,0.3181818181818182,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.04586406,left_ankle_roll_link
9,0.18,0.3951791822910309,0.9918695605200625,5.770165847831385,4.497494725835799,7.188369381690342,1.7263377,19.052794,0.4468563422560692,34.90576934814453,36.0,0.45454545454545453,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,waist_roll_joint",0.0,1440.3304,0,right_ankle_roll_link,1440.3304,0.030740537,right_ankle_roll_link
10,0.2,0.3966699540615082,0.9835426628176024,1.0148318106269019,10.360094052096045,6.75487089579577,2.1650214,17.042671,0.8986065313220024,36.043880462646484,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_roll_joint",0.0,0.0,0,pelvis,0.0,0.061446488,right_ankle_roll_link
11,0.22,0.39715883135795593,0.9842074429304145,8.552192055720461,5.572522251096313,20.93015527291808,1.9238427,22.764229,1.0517479106783867,36.13679122924805,36.0,0.4090909090909091,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_roll_joint",0.0,273.27017,0,right_ankle_roll_link,273.27017,0.045267824,right_ankle_roll_link
12,0.24,0.3953554630279541,0.9694281907867096,8.98153998679802,11.049429999884907,8.69888704950281,1.6499764,19.82253,0.9180917423218489,36.05301284790039,36.0,0.22727272727272727,"left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.070840105,right_ankle_roll_link
13,0.26,0.3927972614765167,0.9365197931637066,20.46309075860846,1.6271866950360068,24.181134766467373,1.5704693,23.550192,0.9700629040598869,36.0001220703125,36.0,0.45454545454545453,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.047955766,right_ankle_roll_link
14,0.28,0.3847913146018982,0.9454236565427463,15.921503163319782,10.536569929640041,11.569837534490302,1.9522496,21.40898,1.0588194411247969,36.136566162109375,36.0,0.5,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint",0.0,0.0,0,pelvis,0.0,0.07631626,right_ankle_roll_link
15,0.3,0.37387916445732117,0.931976016506236,21.125958147727008,2.394282833749405,24.481697999912644,1.4561694,16.246975,1.1245961114764214,36.546661376953125,36.0,0.4090909090909091,"left_hip_pitch_joint,left_hip_roll_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.078753784,right_ankle_roll_link
16,0.32,0.360351026058197,0.9359420614411426,14.208742205529797,15.098806840077218,7.13249924800601,2.0903683,22.66977,1.2231874745339155,35.984336853027344,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_ankle_pitch_joint",0.0,0.0,0,pelvis,0.0,0.08704719,right_ankle_roll_link
17,0.34,0.34249234199523926,0.944181484371446,16.741296915175333,9.608334490356334,18.692163074263537,1.4525582,12.358786,1.1513913795351982,35.72446060180664,36.0,0.36363636363636365,"left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint",2.2874427,135.69824,0,right_ankle_roll_link,135.69824,0.06141556,right_ankle_roll_link
18,0.36,0.32240623235702515,0.9073145859217315,10.58887264186827,22.626426025959386,-3.9330048406895126,2.5482574,27.73183,1.4253022950142622,35.9100341796875,36.0,0.2727272727272727,"left_hip_pitch_joint,left_hip_yaw_joint,right_hip_pitch_joint,right_hip_roll_joint,right_knee_joint,right_ankle_pitch_joint",0.0,0.0,0,pelvis,0.0,0.08029333,left_ankle_roll_link
19,0.38,0.2985464930534363,0.9305782747432045,4.1756453868089825,21.08383562549438,5.24157963015605,1.2365053,20.832901,1.2227820083498955,36.60860061645508,36.0,0.36363636363636365,"left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint",871.42926,0.0,0,left_ankle_roll_link,871.42926,0.07093319,left_ankle_roll_link
20,0.4,0.28769588470458984,0.9160004587765712,8.924835224306946,21.99345218670461,-8.091122631849535,2.1503482,16.483809,1.551844386383891,34.91807556152344,36.0,0.2727272727272727,"left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_roll_joint,right_knee_joint,waist_yaw_joint",222.15674,0.0,0,left_ankle_roll_link,222.15674,0.070118204,left_ankle_roll_link
21,0.42,0.2771925926208496,0.9268836544466676,8.558705480855602,20.393461674480463,16.532662150928566,0.9893987,22.992607,1.380614511668682,36.64775085449219,36.0,0.36363636363636365,"left_hip_roll_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.07998667,right_ankle_roll_link
22,0.44,0.26847612857818604,0.9419613142926669,4.661429726858831,19.0757441094016,-1.6610174658437966,1.8732728,20.21654,1.4077915232628584,36.159690856933594,36.0,0.3181818181818182,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_roll_joint,right_ankle_pitch_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.09239927,right_ankle_roll_link
23,0.46,0.2511838674545288,0.9533615600901586,4.848820409726497,16.905494489024314,26.19799503313198,1.7461584,24.443262,1.3785455152392387,36.284461975097656,36.0,0.3181818181818182,"left_hip_roll_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.087039,right_ankle_roll_link
24,0.48,0.23540812730789185,0.9538758249464537,1.9309353123910753,17.36596897250217,17.28140961808867,1.7666538,16.837584,1.4944372456520796,36.28264236450195,36.0,0.4090909090909091,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_knee_joint,right_ankle_pitch_joint,waist_yaw_joint",122.47823,0.0,0,left_ankle_roll_link,122.47823,0.08436361,left_ankle_roll_link
25,0.5,0.21800357103347778,0.9611441727864463,10.18364422388114,12.438361887937905,38.01360791068412,0.97355443,19.058052,1.31199299544096,36.16622543334961,36.0,0.36363636363636365,"left_hip_roll_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,waist_yaw_joint,left_shoulder_roll_joint",124.17819,0.0,0,left_ankle_roll_link,124.17819,0.07505448,right_knee_link
26,0.52,0.20896080136299133,0.9793765411452101,8.718367953292406,7.76727939153337,21.84182846813101,1.6825439,16.99758,1.5519197266548872,35.540321350097656,36.0,0.36363636363636365,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_ankle_pitch_joint,waist_yaw_joint",83.52611,0.0,83.52610778808594,left_ankle_roll_link,83.52611,0.05290674,right_knee_link
