frame,t,rz,pgz,roll,pitch,yaw,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,bz_min,bz_min_name
0,0.0,0.4103291630744934,0.9999562098754664,0.5191866882168289,-0.13400297060810903,0.2983123238854296,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.03364689,right_ankle_roll_link
1,0.02,0.40812188386917114,0.9999562098754664,0.5191866572824018,-0.13400296258059602,0.29831227938837074,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,0.0,,0.0,22.089802,0,right_ankle_roll_link,22.089802,0.0314397,right_ankle_roll_link
2,0.04,0.4049766957759857,0.9999411636279371,0.6146661833737179,0.09212180392209439,-0.01658448182172184,0.19256696,0.8649175,0.10911369323730469,8.730700492858887,2.6265929,0.0,,44.63033,45.403786,0,right_ankle_roll_link,45.403786,0.030998332,left_ankle_roll_link
3,0.06,0.4117897152900696,0.9931631805828071,-0.4124551489022258,-6.691023516659748,5.022563044354817,1.246548,7.539623,0.43510654298006557,23.53168487548828,36.0,0.045454545454545456,right_knee_joint,0.0,0.0,0,pelvis,0.0,0.033806738,left_ankle_roll_link
4,0.08,0.41368353366851807,0.99932799781516,1.8629385010808215,-0.970769164819914,2.535875994859967,1.8098245,10.58137,0.4367498680949211,35.99932098388672,36.0,0.2727272727272727,"left_hip_pitch_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint",31.469212,31.469212,0,left_ankle_roll_link,31.469212,0.04566297,left_ankle_roll_link
5,0.1,0.41828078031539917,0.9946243081579048,-3.03762757334951,-5.111133081839147,5.552807183888236,1.5109051,12.062176,0.3702360577881336,36.338680267333984,36.0,0.45454545454545453,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint",56.09219,56.09219,0,left_ankle_roll_link,56.09219,0.036828876,left_ankle_roll_link
6,0.12,0.4159533977508545,0.9950451033171569,5.6591407095846336,0.7312325739467731,1.846940291986645,1.6267092,19.934082,0.4719096049666405,36.07030487060547,36.0,0.5,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint",0.0,0.0,0,pelvis,0.0,0.05291094,right_ankle_roll_link
7,0.14,0.4165390133857727,0.9989708523263292,0.27807223887011445,-2.584738371701584,7.4834399544915735,1.2328149,20.465256,0.3057128041982651,36.08530807495117,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint",0.0,0.0,0,pelvis,0.0,0.043053538,left_ankle_roll_link
8,0.16,0.410038560628891,0.9948682600788187,2.4438885847237954,5.269357388434987,6.523459995941211,1.8761678,19.44034,0.5630204007029533,36.05024719238281,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.054786276,left_ankle_roll_link
9,0.18,0.40491795539855957,0.998100591103064,-1.1737549091821682,3.331453983921714,15.3684461650822,1.1050407,19.64449,0.3266954943537712,36.09419250488281,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",162.3221,9.873475,0,left_ankle_roll_link,162.3221,0.036278613,left_ankle_roll_link
10,0.2,0.3965401351451874,0.9788555105128152,1.3470909469780918,11.727288482067193,15.560093474063327,1.991868,18.559027,0.8144986554980278,36.05004119873047,36.0,0.5454545454545454,"left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.053063877,left_ankle_roll_link
11,0.22,0.38946181535720825,0.9780596062175303,-2.077876914185804,11.84593242237778,27.768739500142573,0.7489165,20.943014,0.9331427738070488,35.97085952758789,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",271.78717,159.50096,0,left_ankle_roll_link,271.78717,0.03466147,left_ankle_roll_link
12,0.24,0.38883140683174133,0.9465476033422457,13.214650135275695,13.51875220378724,16.686829599214168,0.67182744,21.511223,0.915420500561595,38.93989562988281,36.0,0.45454545454545453,"left_hip_pitch_joint,left_hip_roll_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.049449626,left_ankle_roll_link
13,0.26,0.3888804316520691,0.9882908786990132,7.219317997657328,5.0042216902822965,26.6311057973814,1.2323138,21.036024,0.7895982190966606,36.02136993408203,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",489.54654,0.0,0,left_ankle_roll_link,489.54654,0.03455343,left_ankle_roll_link
14,0.28,0.39586490392684937,0.960632692213831,13.607378945532998,8.744656373876024,15.962679493457536,1.0886091,21.771814,0.9630607049912214,36.64933776855469,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.065504774,left_ankle_roll_link
15,0.3,0.4003962576389313,0.993128846392406,6.665789030953858,-0.8577160777486765,30.167447302552937,1.0805099,17.052723,0.77926304936409,36.05195236206055,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.06952431,right_ankle_roll_link
16,0.32,0.3995438814163208,0.9919803485324556,3.628852382294208,6.293560309347281,11.384044879785701,2.1690023,23.239563,1.0097528975456953,36.122413635253906,36.0,0.36363636363636365,"left_hip_yaw_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.06326291,left_ankle_roll_link
17,0.34,0.39839667081832886,0.9948568514653582,5.800132052987303,-0.3948461066451294,24.987159497721912,1.2232525,24.176151,0.573053328320384,36.003326416015625,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,493.076,0,right_ankle_roll_link,493.076,0.038311705,right_ankle_roll_link
