frame,t,rz,pgz,roll,pitch,yaw,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,bz_min,bz_min_name
0,0.0,0.4103291630744934,0.9999562098754664,0.5191866882168289,-0.13400297060810903,0.2983123238854296,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.03364689,right_ankle_roll_link
1,0.02,0.40812188386917114,0.9999562098754664,0.5191866572824018,-0.13400296258059602,0.29831227938837074,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,0.0,,11.044901,11.044901,0,left_ankle_roll_link,11.044901,0.0314397,right_ankle_roll_link
2,0.04,0.40477293729782104,0.9998990763650677,0.7994151393323363,0.15353725788979528,-0.26638826605947297,0.21783225,1.2894479,0.16175109148025513,14.199216842651367,5.2531857,0.0,,43.98223,73.0496,0,right_ankle_roll_link,73.0496,0.030999744,left_ankle_roll_link
3,0.06,0.4131457209587097,0.9907566372775766,-0.8229515978855951,-7.75299578938492,10.340126890536522,1.4361972,15.790757,0.4977763909846544,33.95490264892578,36.0,0.18181818181818182,"left_knee_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint",0.0,0.0,0,pelvis,0.0,0.034236386,left_ankle_roll_link
4,0.08,0.41615810990333557,0.9902940806973713,5.767116431441477,-5.5382983167941555,-2.5602355770517367,0.9602557,18.043737,0.641551561653614,36.421783447265625,36.0,0.45454545454545453,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,141.55249,0,right_ankle_roll_link,141.55249,0.040018395,right_ankle_roll_link
5,0.1,0.42061641812324524,0.9825773445767199,-2.6304636175148612,-10.386566110789351,14.980970429542959,1.4749914,22.824623,0.48431343026459217,35.770748138427734,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.050625175,right_ankle_roll_link
6,0.12,0.4180181622505188,0.9885139987619453,-4.9709725165305265,-7.139676307746731,2.038883690480489,1.0876095,17.62983,0.6020644009113312,35.06795120239258,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_yaw_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.05993236,right_ankle_roll_link
7,0.14,0.4158779978752136,0.9781379651743438,4.727615879166057,-11.044955224648021,14.208304604763322,1.530299,14.965327,0.4973027855157852,36.240638732910156,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,231.26492,0,right_ankle_roll_link,231.26492,0.037311763,right_ankle_roll_link
8,0.16,0.4060930907726288,0.9934391313097829,-4.204761044611487,-5.048672495376734,-1.2002567495190668,1.4533579,18.825941,0.723664790391922,35.67267990112305,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.050013725,right_ankle_roll_link
9,0.18,0.40109753608703613,0.9816497386745671,3.4727193271901076,-10.436711288629079,12.563847382678233,1.7436135,19.622776,0.5456890165805817,36.386070251464844,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,222.32764,0,right_ankle_roll_link,222.32764,0.031353842,right_ankle_roll_link
10,0.2,0.39782753586769104,0.9891693858511178,-5.841024304025963,-6.1032797107245464,2.9803946652177937,1.1624081,16.352396,0.827997237443924,36.306182861328125,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.058480054,right_ankle_roll_link
11,0.22,0.3963741660118103,0.9752488860155321,4.322720511200492,-12.032070256716398,19.1685012722889,1.6166562,24.168583,0.665513664484024,36.24332809448242,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,324.72638,0,right_ankle_roll_link,324.72638,0.03896239,right_ankle_roll_link
12,0.24,0.3873203992843628,0.9911381942385651,-2.973736911176213,-7.033540078374499,7.476725119400581,1.6813161,23.68842,0.939919501543045,36.32305908203125,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.06221316,right_ankle_roll_link
13,0.26,0.38198259472846985,0.9811957971146009,2.555521945279479,-10.83500568828527,21.421923399003365,1.6707095,23.278154,0.7502824366092682,40.91582489013672,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.047073357,right_ankle_roll_link
14,0.28,0.3684227168560028,0.9904278763687746,-5.582503009358724,-5.6465978723450005,6.087336715481048,2.1081028,27.909348,1.0341425240039825,36.30342483520508,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,132.18126,0,right_ankle_roll_link,132.18126,0.05481995,right_ankle_roll_link
15,0.3,0.3599439263343811,0.9885662023635223,-3.649991353191004,-7.8724145161871615,18.333827970302607,1.940581,23.240673,0.9687308371067047,36.35401153564453,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",117.47131,1316.0887,0,right_ankle_roll_link,1316.0887,0.033998784,right_ankle_roll_link
16,0.32,0.3511373698711395,0.9710590779656281,-13.136199431466556,-4.32526098375852,0.7931548816819123,2.1274955,30.665451,1.2660281956195831,36.234317779541016,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.059249092,right_ankle_roll_link
17,0.34,0.34758317470550537,0.9750375664784989,-11.175066030251367,-6.341103342530785,18.32470514202964,2.284118,29.082758,1.237184077501297,36.01106643676758,36.0,0.6363636363636364,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",0.0,414.2418,0,right_ankle_roll_link,414.2418,0.05184321,right_ankle_roll_link
18,0.36,0.34415775537490845,0.9747370447529624,-12.549260301641851,-3.038771782614778,4.947818089165463,2.0502508,27.22966,1.1300499737262726,36.34939193725586,36.0,0.5,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,waist_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.07258312,left_ankle_roll_link
19,0.38,0.3433014154434204,0.9736730802372476,-13.170946540116326,-0.3806289480960396,21.40522066525297,1.8321465,23.687775,1.1312818825244904,35.839134216308594,36.0,0.5909090909090909,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,waist_roll_joint,waist_yaw_joint",572.1449,545.17737,1548.8499145507812,right_knee_link,818.76294,0.07197489,right_ankle_roll_link
20,0.4,0.35044291615486145,0.9768877709765893,-12.326694647532356,-0.6267200047740485,0.574749696404454,1.6988814,27.677073,0.9849946796894073,36.491546630859375,36.0,0.5,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint",310.33124,130.37245,0,left_ankle_roll_link,310.33124,0.07702969,left_ankle_roll_link
21,0.42,0.3616620600223541,0.990914771248743,-7.715489435467293,0.4616684666088114,12.58270990957284,2.2980297,20.327677,0.6338596343994141,36.18232727050781,36.0,0.5454545454545454,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint",0.0,0.0,0,pelvis,0.0,0.068894565,left_ankle_roll_link
