frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928966180355e-08,0,0,0.0,0.0,pelvis,0.0,0,-0.025,pelvis,0.02080505669116974,0.020687937289476394,0.0,0.0
1,0.02,0.04623828083276749,-0.008645921014249325,0.6150923371315002,-0.07864193618297577,-0.0761752724647522,0.04088433086872101,0.9931471347808838,-9.448833751731646,-8.330102241229818,5.40430428479932,0.9760255474766271,11.134122,13.224521,2.1241896,-0.060959138,10.929445,-9.444302,-7.991723,4.671775,16.204065322875977,0.299730509519577,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.2286339956521988,0.2588421511650085,9098.778,8931.517
2,0.04,0.09672895073890686,-0.01610986888408661,0.8349652886390686,-0.16766388714313507,-0.14877083897590637,0.09344466775655746,0.9700639843940735,-21.431915550093255,-14.9099062887834,13.841471160603987,0.899512116836918,10.929276,12.530446,2.1283638,0.0238682,10.720009,-9.001333,-6.722606,5.549292,9.330223083496094,0.3357270061969757,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.4491328406333923,0.5184974479675293,184.68796,-171.15094
3,0.06,0.14562681317329407,-0.020608488470315933,1.0512999296188354,-0.247884601354599,-0.2040911614894867,0.15202364325523376,0.9347667098045349,-33.503870667409934,-17.829567248191967,23.881051638182186,0.7938000444262876,10.635925,11.363321,2.0893142,0.039178204,10.428621,-8.569186,-4.7600355,5.74771,12.508398056030273,0.27976706624031067,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.68484459400177,0.8007358717918396,240.5755,-238.12122
4,0.08,0.19160710275173187,-0.023905616253614426,1.2613201141357422,-0.3181489408016205,-0.2363303005695343,0.21027196943759918,0.8937085866928101,-44.2465023695033,-16.775668386387657,33.340290508424374,0.6858584809990411,10.267882,10.196137,1.9844152,-0.05731117,10.074137,-8.437542,-1.8708041,5.410101,15.180619239807129,0.4987722158432007,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.9323006081581116,1.1035615015029907,312.22223,-289.68393
5,0.1,0.23386938869953156,-0.02935105562210083,1.4636638164520264,-0.38131949305534363,-0.2394619733095169,0.26622533798217773,0.8522778153419495,-52.596421028086915,-11.837837071949647,40.56032772704177,0.5945068151094559,9.957764,8.93106,1.9887834,-0.22219345,9.754611,-8.152552,-0.17484136,3.6426854,17.9895076751709,0.8367651104927063,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.182850341796875,1.4182686614990234,293.85266,-261.11566
6,0.12,0.27574265003204346,-0.038434699177742004,1.6600931882858276,-0.4488048553466797,-0.23009850084781647,0.30678606033325195,0.8071624636650085,-60.42640899597818,-5.513460526113569,44.833813224535774,0.49125776344966665,9.6251335,10.378871,2.0524516,-0.38992813,9.395669,-10.080897,-1.8025632,1.6873779,17.562850952148438,0.8725979924201965,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.434334020614624,1.733627061843872,327.9274,-293.32657
7,0.14,0.32006871700286865,-0.05185443162918091,1.853792667388916,-0.5312922596931458,-0.21707050502300262,0.32818683981895447,0.7502682209014893,-70.04340544244599,1.3181513799009454,46.32789815302198,0.34121786127841913,9.573142,10.362203,2.2467442,-0.5911631,9.286965,-10.156933,-1.9945228,0.48357326,18.00457000732422,1.0261887311935425,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.682303171157837,2.0405239868164062,245.24315,-88.83234
8,0.16,0.36721163988113403,-0.06745635718107224,2.047473192214966,-0.6130401492118835,-0.20092779397964478,0.33445799350738525,0.6869845390319824,-80.26188122713923,7.701017305889356,45.423420786321934,0.16761959412148997,9.596708,10.654046,2.398353,-0.69778913,9.265948,-10.179187,-3.1110232,-0.46302223,18.012348175048828,1.2574659585952759,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.926020245552063,2.330837469100952,152.4377,-17.175102
9,0.18,0.41559717059135437,-0.08272194862365723,2.242382049560547,-0.694108247756958,-0.19006943702697754,0.3217465579509735,0.6152774691581726,-92.10120864405607,12.284320129496281,42.473169992162084,-0.03582530099197356,9.61429,11.248578,2.4596794,-0.7107253,9.267116,-9.981744,-5.1236286,-0.80233353,18.002696990966797,1.5876795053482056,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,2.1642546463012695,2.5967826652526855,51.227394,0.9539126
