frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928966180355e-08,0,0,0.0,0.0,pelvis,0.0,0,-0.025,pelvis,0.020822595357894897,0.020707364678382873,0.0,0.0
1,0.02,0.04614478722214699,-0.008641726337373257,0.6167309880256653,-0.07864939421415329,-0.0759955644607544,0.04088619723916054,0.9931602478027344,-9.448476989463192,-8.309495910230888,5.402719161140951,0.9760778939440761,11.296154,13.212624,2.1199954,-0.060645793,11.095271,-9.444514,-7.972186,4.6710606,16.20542335510254,0.30005374550819397,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.23025865435600282,0.2604659903049469,9231.19,9067.029
2,0.04,0.0965348556637764,-0.01610415428876877,0.8421198129653931,-0.16767607629299164,-0.1484067291021347,0.09342313557863235,0.9701197147369385,-21.425633552373583,-14.869298895025528,13.829663136482763,0.8997203523923849,11.283751,12.519122,2.1241968,0.024045957,11.081978,-9.001024,-6.704705,5.5458913,9.30385971069336,0.33583271503448486,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.45623297572135924,0.5255849170684814,70.14134,-10.863225
3,0.06,0.14533889293670654,-0.020607274025678635,1.0678942203521729,-0.24790921807289124,-0.20357687771320343,0.15195970237255096,0.9348827600479126,-33.486799442203576,-17.776009237085542,23.85177846676212,0.7941949489100621,11.183266,11.354364,2.085294,0.039368104,10.987058,-8.568107,-4.745861,5.743339,12.483624458312988,0.28015077114105225,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.701296489238739,0.8171487259864807,84.76049,-77.56853
4,0.08,0.19123728573322296,-0.023905718699097633,1.2912907600402832,-0.3181816637516022,-0.23573185503482819,0.21014104783535004,0.8938857316970825,-44.21856255312701,-16.720824483124236,33.29185787330434,0.6863818427482022,11.008968,10.190223,1.9804277,-0.056778774,10.829223,-8.434473,-1.8607491,5.4072094,15.152911186218262,0.4975520193576813,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,0.9620101857185364,1.1331882286071777,173.64833,-128.98239
5,0.1,0.23341362178325653,-0.029342997819185257,1.510943055152893,-0.38133496046066284,-0.23880404233932495,0.2660616338253021,0.8525065779685974,-52.5601633366082,-11.78541267424072,40.500765235507444,0.5951125545857252,10.890762,8.92576,1.984416,-0.22123168,10.70616,-8.147104,-0.16539072,3.6423273,17.987545013427734,0.8354253768920898,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.2297340440750122,1.4650512742996216,167.88428,-100.566864
6,0.12,0.2751825749874115,-0.03841264918446541,1.728604793548584,-0.44863033294677734,-0.22929812967777252,0.3066630959510803,0.8075337409973145,-60.35982439346722,-5.461404831909845,44.76645065581733,0.49230638417267825,10.746939,10.376614,2.0464802,-0.38897973,10.543117,-10.081491,-1.7836399,1.69005,17.531618118286133,0.8726599812507629,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.5023512649536133,1.8015049505233764,197.77939,-133.23837
7,0.14,0.31937795877456665,-0.05182810127735138,1.947445273399353,-0.5311062335968018,-0.2161550521850586,0.32808393239974976,0.7507091164588928,-69.97045866841252,1.372692208337898,46.25307593290098,0.3424063240989881,10.879113,10.35917,2.2401676,-0.59051037,10.629583,-10.157121,-1.9773616,0.48511118,18.004568099975586,1.0258595943450928,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,1.7754115867614746,2.133442859649658,239.0997,70.66045
8,0.16,0.3663896322250366,-0.06743131577968597,2.1701672077178955,-0.6128356456756592,-0.1999133974313736,0.3343847393989563,0.6874982714653015,-80.18344628507805,7.756627527946185,45.3419518670591,0.16893420983348717,11.087308,10.648469,2.3918927,-0.6975786,10.803733,-10.179736,-3.090507,-0.4600295,18.01236343383789,1.257176160812378,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,2.048164825439453,2.4528145599365234,208.04405,142.31456
9,0.18,0.41465699672698975,-0.08270633965730667,2.398022174835205,-0.6938740015029907,-0.1889427900314331,0.3217543661594391,0.6158844828605652,-92.01340013317072,12.34396912082779,42.385568065618514,-0.03432101573326918,11.2930565,11.237661,2.453742,-0.7108907,11.000314,-9.983722,-5.0962453,-0.7991332,18.0026912689209,1.587478756904602,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0,pelvis,2.319376449584961,2.7518474864959717,168.75992,160.64543
