frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928966180355e-08,0,0,0.0,0.0,pelvis,0.0,0,0.011493361,left_ankle_roll_link,-0.008506639376282692,-0.008504830747842789,0.0,0.0
1,0.02,-5.820766091346741e-10,1.2732925824820995e-11,0.3877927362918854,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.19619997,4.346425e-08,-1.7917304e-09,2.1111821e-09,-0.19619997,4.1451127e-08,1.1679729e-08,5.876153e-09,2.797666240894614e-07,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.009347385,left_ankle_roll_link,-0.010652615204453469,-0.010650806576013565,160.33415,-160.33415
2,0.04,-5.820766091346741e-10,8.549250196665525e-11,0.38166162371635437,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.3923999,7.568191e-08,-1.4972773e-09,4.6272026e-09,-0.3923999,7.3490625e-08,1.5017795e-08,1.0067086e-08,4.929221404381678e-07,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0032162722,left_ankle_roll_link,-0.016783727779984475,-0.01678191915154457,160.33414,-160.33414
3,0.06,-5.820766091346741e-10,2.0190782379359007e-10,0.3716062605381012,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.5885998,1.0873828e-07,-1.5717821e-09,7.141771e-09,-0.5885998,1.0614279e-07,1.9190127e-08,1.3764424e-08,7.060776852085837e-07,2.3480410504816973e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.006839091,left_ankle_roll_link,-0.02683909095823765,-0.026837282329797745,160.33409,-160.33409
4,0.08,-5.820766091346741e-10,-8.913048077374697e-11,0.3576270043849945,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.7847997,1.611478e-07,-1.4365078e-09,8.772185e-09,-0.7847997,1.589356e-07,1.9457222e-08,1.815222e-08,9.192332299789996e-07,3.999996778247805e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.020818342,left_ankle_roll_link,-0.040818341523408894,-0.040816547796130184,160.33409,-160.33409
5,0.1,-5.820766091346741e-10,1.0732037480920553e-10,0.33972373604774475,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.9809996,2.0524479e-07,-2.032554e-09,1.0887741e-08,-0.9809996,2.006402e-07,2.5417677e-08,3.4969602e-08,1.2656109902309254e-06,6.278096265077693e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.03872161,left_ankle_roll_link,-0.05872160986065865,-0.05871981799602509,160.33409,-160.33409
6,0.12,-5.820766091346741e-10,-1.255102688446641e-10,0.3178965449333191,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.1772,2.5498534e-07,-1.863698e-09,1.2904519e-08,-1.1772,2.4872693e-07,2.9128884e-08,4.799929e-08,1.5320554211939452e-06,9.122390309812545e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.0605488,left_ankle_roll_link,-0.08054880097508431,-0.08054700911045075,160.33447,-160.33447
7,0.14,-5.820766091346741e-10,1.5825207810848951e-10,0.292145311832428,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.3734003,3.130858e-07,-2.5644218e-09,1.4293291e-08,-1.3734003,3.0441976e-07,2.830463e-08,6.7455034e-08,1.905077624542173e-06,1.264611455553677e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.08630003,left_ankle_roll_link,-0.10630003035068512,-0.10629824221134186,160.33447,-160.33447
8,0.16,-5.820766091346741e-10,-1.8189894035458565e-12,0.2624701261520386,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.5696007,3.3436393e-07,-1.6703475e-09,1.6859087e-08,-1.5696007,3.219845e-07,3.247695e-08,8.4086125e-08,2.1715213733841665e-06,1.6716057871235535e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.115975216,left_ankle_roll_link,-0.13597521603107451,-0.13597342044115066,160.33447,-160.33447
9,0.18,-5.820766091346741e-10,-9.640643838793039e-11,0.22887086868286133,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.7658011,3.3873874e-07,-2.7134268e-09,2.0222322e-08,-1.7658011,3.2030817e-07,3.6649283e-08,1.0393957e-07,2.4912542357924394e-06,2.1432128960441332e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.14957449,left_ankle_roll_link,-0.16957448840141295,-0.1695726704597473,160.33447,-160.33447
10,0.2,-5.820766091346741e-10,-1.1823431123048067e-10,0.1913476288318634,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.9620014,3.7574367e-07,-6.8112462e-09,2.2710404e-08,-1.9620014,3.5649944e-07,5.8106966e-08,1.03513464e-07,2.7843425414175726e-06,2.675435553101124e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.18709774,left_ankle_roll_link,-0.20709774315357207,-0.20709592521190642,160.33447,-160.33447
