frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928966180355e-08,0,0,0.0,0.0,pelvis,0.0,0,-0.025,pelvis,0.02080505669116974,0.020687937289476394,0.0,0.0
1,0.02,-5.820766091346741e-10,1.2732925824820995e-11,0.3877927362918854,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.19619997,4.346425e-08,-1.7917304e-09,2.1111821e-09,-0.19619997,4.1451127e-08,1.1679729e-08,5.876153e-09,2.797666240894614e-07,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-6.522901e-09,pelvis,0.009305219650268554,0.009306793585419654,160.33415,-160.33415
2,0.04,-5.820766091346741e-10,7.09405867382884e-11,0.38166162371635437,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.3923999,2.783505e-07,-1.7714065e-08,4.224535e-09,-0.3923999,-2.2376819e-08,1.3728689e-07,-2.4110287e-07,2.5537390229146695e-06,1.1920928966180355e-08,3.7282297e-07,0.0,0.0,0.0,pelvis,0.0,0,-6.522901e-09,pelvis,0.0031741070747375484,0.0031756810098886486,160.33414,-160.33414
3,0.06,-4.540197551250458e-09,-1.837179297581315e-10,0.3716062605381012,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.5885998,4.5293405e-06,3.6346276e-07,1.581232e-08,-0.5885998,-1.5807198e-07,-1.8326333e-06,4.139009e-06,3.587787432479672e-05,3.5464763642467645e-07,4.9902055e-06,0.0,0.0,0.0,pelvis,0.0,0,-0.006839119,right_hip_pitch_link,-0.006881280317902565,-0.00687962256371975,160.33409,-160.33409
4,0.08,-6.577465683221817e-08,2.449633029755205e-08,0.35762694478034973,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,0.784801,9.180552e-05,-6.733441e-06,-2.5045208e-07,-0.784801,7.4587015e-06,3.26303e-05,-8.5486165e-05,0.0006645081448368728,6.857514381397589e-06,8.964574e-05,0.0,0.0,0.0,pelvis,0.0,0,-0.02081838,right_hip_pitch_link,-0.020860530883073807,-0.020858886167407036,160.33516,-160.33516
5,0.1,1.6425037756562233e-06,-6.220398063305765e-08,0.33972394466400146,-7.309923262255325e-07,-2.5246672521461733e-06,7.010353328951169e-06,1.0,-8.376757843361492e-05,-0.0002893049692208581,0.0008033275288054797,0.9999999999861834,0.9809762,0.0018747442,0.00013445139,4.381389e-06,-0.9809762,-0.00018233672,-0.0006351732,0.0017544156,0.013101350516080856,0.00013470351696015515,0.0019153657,0.0,0.0,0.0,pelvis,0.0,0,-0.038721837,right_hip_pitch_link,-0.038764242529869083,-0.038763270229101185,160.31396,-160.31392
6,0.12,-3.314588684588671e-05,2.0189945644233376e-06,0.31789228320121765,2.2025726138963364e-05,6.362182466546074e-05,-0.00018991055549122393,0.9999999403953552,0.0025225776202691965,0.007291002988714486,-0.021761985452487115,0.9999999909342616,1.1776483,0.039060332,-0.0026317497,-7.149329e-05,-1.1776453,0.0042701634,0.012397359,-0.03679376,0.26139044761657715,0.00269198715686797,0.038792018,0.0,0.0,0.0,pelvis,0.0,0,-0.06054479,right_hip_pitch_link,-0.06058300703763962,-0.06056914150714875,160.73341,-160.71751
7,0.14,0.0006400205893442035,-4.087124398211017e-05,0.29221948981285095,-0.00041508424328640103,-0.0012289684964343905,0.004036030266433954,0.9999909996986389,-0.0481332649105993,-0.1406363153258294,0.4625557119105281,0.9999966346830115,1.367602,0.8195778,0.050873857,0.0013399873,-1.3666548,-0.066835396,-0.23989476,0.78082734,5.2890625,0.054259297251701366,0.78085077,0.0,0.0,0.0,pelvis,0.0,0,-0.08642123,waist_roll_link,-0.08647294014692307,-0.08667730212211609,160.53183,-154.45805
8,0.16,-0.009835727512836456,0.002199434442445636,0.26026493310928345,0.018596457317471504,0.01876218616962433,-0.07321090996265411,0.996966540813446,1.9691038941712344,2.3000962358511474,-8.360267934522843,0.9986043042907516,1.9526356,13.155562,-0.6630439,0.034030396,-1.8363007,4.3589625,2.7973132,-12.09311,35.99161911010742,0.5060871958732605,15.791256,0.0,0.0,0.0,pelvis,0.0,0,-0.11324689,right_hip_pitch_link,-0.11253758937120438,-0.10375981450080872,698.84235,-383.79358
9,0.18,0.0067892069928348064,0.007133653853088617,0.22914591431617737,0.018694031983613968,-0.015086090192198753,0.07499263435602188,0.9968947768211365,2.0073796179896757,-1.884357747340779,8.571070427974043,0.9988458861018169,1.8873053,18.582438,0.5857573,0.4936098,-1.724865,2.8781207,-3.6861668,17.984316,36.09654235839844,0.4777907431125641,36.0,0.3181818181818182,0.0,0.0,pelvis,0.0,0,-0.14852707,waist_roll_link,-0.14608277797698974,-0.15001897931098937,1091.2374,91.06505
