frame,t,rx,ry,rz,qx,qy,qz,qw,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,roll,pitch,yaw,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.011493361,left_ankle_roll_link,-0.008506639376282692,-0.008504830747842789
1,0.02,-5.820766091346741e-10,1.2732925824820995e-11,0.3877927362918854,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.7917304306891424e-09,2.1111821180141987e-09,-0.19619996845722198,4.14511269752893e-08,1.1679729183811105e-08,5.8761528975992405e-09,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,0.19619996845722198,4.346425086509953e-08,2.797666240894614e-07,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.009347385,left_ankle_roll_link,-0.010652615204453469,-0.010650806576013565
2,0.04,-5.820766091346741e-10,8.549250196665525e-11,0.38166162371635437,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.4972773021426633e-09,4.627202621065862e-09,-0.3923999071121216,7.34906251409484e-08,1.5017795007565837e-08,1.006708583162208e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,0.3923999071121216,7.568191051632311e-08,4.929221404381678e-07,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.0032162722,left_ankle_roll_link,-0.016783727779984475,-0.01678191915154457
3,0.06,-5.820766091346741e-10,2.0190782379359007e-10,0.3716062605381012,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.5717821488792083e-09,7.141771174445921e-09,-0.5885998010635376,1.0614279233323032e-07,1.9190126820944897e-08,1.3764424267037612e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,0.5885998010635376,1.0873827704926953e-07,7.060776852085837e-07,2.3480410504816973e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.006839091,left_ankle_roll_link,-0.02683909095823765,-0.026837282329797745
4,0.08,-5.820766091346741e-10,-8.913048077374697e-11,0.3576270043849945,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.4365078015998733e-09,8.772184756367096e-09,-0.7847996950149536,1.5893560600943601e-07,1.9457221611673958e-08,1.8152219283251725e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,0.7847996950149536,1.611477955520968e-07,9.192332299789996e-07,3.999996778247805e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.020818342,left_ankle_roll_link,-0.040818341523408894,-0.040816547796130184
5,0.1,-5.820766091346741e-10,1.0732037480920553e-10,0.33972373604774475,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-2.032553902964196e-09,1.0887741375142923e-08,-0.9809995889663696,2.0064020134213933e-07,2.5417676852157456e-08,3.496960232496349e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,0.9809995889663696,2.0524478827610437e-07,1.2656109902309254e-06,6.278096265077693e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.03872161,left_ankle_roll_link,-0.05872160986065865,-0.05871981799602509
6,0.12,-5.820766091346741e-10,-1.255102688446641e-10,0.3178965449333191,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.8636980847475115e-09,1.29045192309718e-08,-1.1771999597549438,2.48726934160004e-07,2.9128884193596605e-08,4.799928987608837e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,1.1771999597549438,2.549853093114507e-07,1.5320554211939452e-06,9.122390309812545e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.0605488,left_ankle_roll_link,-0.08054880097508431,-0.08054700911045075
7,0.14,-5.820766091346741e-10,1.5825207810848951e-10,0.292145311832428,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-2.564421786033222e-09,1.4293290995226471e-08,-1.373400330543518,3.04419756957941e-07,2.8304629751119137e-08,6.745503355887195e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,1.373400330543518,3.1308579195865605e-07,1.905077624542173e-06,1.264611455553677e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.08630003,left_ankle_roll_link,-0.10630003035068512,-0.10629824221134186
8,0.16,-5.820766091346741e-10,-1.8189894035458565e-12,0.2624701261520386,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-1.6703475269608248e-09,1.6859086571230364e-08,-1.5696007013320923,3.219844870727684e-07,3.247695090635716e-08,8.408612472976529e-08,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,1.5696007013320923,3.3436393209740345e-07,2.1715213733841665e-06,1.6716057871235535e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.115975216,left_ankle_roll_link,-0.13597521603107451,-0.13597342044115066
9,0.18,-5.820766091346741e-10,-9.640643838793039e-11,0.22887086868286133,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,-2.7134268165696085e-09,2.0222321595042558e-08,-1.7658010721206665,3.2030817465056316e-07,3.664928271973622e-08,1.0393956983989483e-07,6.814560049988273e-10,2.5279493885927435e-08,2.190517598790856e-11,1.0,1.7658010721206665,3.3873871529976896e-07,2.4912542357924394e-06,2.1432128960441332e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.14957449,left_ankle_roll_link,-0.16957448840141295,-0.1695726704597473
