frame,t,rx,ry,rz,qx,qy,qz,qw,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,roll,pitch,yaw,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.022637136,right_ankle_roll_link,0.003142877966165542,0.002637136280536651
1,0.02,0.0003715789644047618,0.0027660636696964502,0.45704594254493713,-0.013330423273146152,-0.0017503441777080297,-0.0009094322449527681,0.9999092221260071,0.02436339110136032,0.22580967843532562,3.243919610977173,-1.6781105995178223,-0.19646170735359192,-0.09776391088962555,-1.5274233061365623,-0.2019460853924332,-0.1015307370881073,0.9996384722212367,3.2518606185913086,1.6923977136611938,17.91070556640625,0.3220895230770111,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.07969758,left_ankle_roll_link,0.059697579145431515,0.06466372638940811
2,0.04,0.0011006912682205439,0.004935817327350378,0.5219517946243286,-0.03133239969611168,-0.0038183752913028,-0.0019869490060955286,0.9994996786117554,0.029236124828457832,0.18941162526607513,3.235912561416626,-1.819275140762329,-0.2158549427986145,-0.11217940598726273,-3.590219713039945,-0.44447311654729205,-0.21387099566080583,0.9980074014788357,3.2415833473205566,1.8354671001434326,5.0821075439453125,0.3486863374710083,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.14527568,left_ankle_roll_link,0.12527568221092225,0.13694773197174073
3,0.06,0.0019739679992198944,0.006952574476599693,0.5866959095001221,-0.04944748431444168,-0.006126823835074902,-0.003123558359220624,0.998753011226654,0.03630185127258301,0.18597924709320068,3.225083112716675,-1.8084732294082642,-0.2434464544057846,-0.11343161016702652,-5.6666846639273105,-0.7189245783812361,-0.322797998055394,0.995034816649334,3.230644941329956,1.8283075094223022,4.733542442321777,0.37597806453704835,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.21186467,left_ankle_roll_link,0.1918646651506424,0.21032745718955995
4,0.08,0.003020796226337552,0.008915752172470093,0.6513082385063171,-0.06743138283491135,-0.008727677166461945,-0.004254812840372324,0.9976766705513,0.04406574368476868,0.18233495950698853,3.21644926071167,-1.7968246936798096,-0.2739066183567047,-0.10902761667966843,-7.729530714924484,-1.0307273483706696,-0.41906505633734403,0.9907536725204993,3.221914529800415,1.8208489418029785,4.359490871429443,0.4664686441421509,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.27933878,left_ankle_roll_link,0.2593387770652771,0.28460762977600096
5,0.1,0.004251749254763126,0.010824893601238728,0.7158296704292297,-0.08527269959449768,-0.011639665812253952,-0.005333373323082924,0.9962754249572754,0.05208275094628334,0.17861799895763397,3.2097461223602295,-1.7849031686782837,-0.30511340498924255,-0.09947771579027176,-9.778247245902035,-1.381088550114544,-0.49529594274143873,0.9851861697672912,3.2151339054107666,1.8135240077972412,3.9744105339050293,0.54933602809906,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.34755898,left_ankle_roll_link,0.32755897521972654,0.3596471357345581
6,0.12,0.005669187754392624,0.012681417167186737,0.7802940011024475,-0.10296472162008286,-0.014865832403302193,-0.0063166543841362,0.9945539236068726,0.06007356196641922,0.1749192476272583,3.204688549041748,-1.7729936838150024,-0.3356535732746124,-0.08533945679664612,-11.812974018534014,-1.769032077654623,-0.5447607615623716,0.9783545462573116,3.2100210189819336,1.8065028190612793,3.5863826274871826,0.6244598150253295,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.4164054,left_ankle_roll_link,0.39640540957450865,0.4353253948688507
7,0.14,0.007270541042089462,0.01448819600045681,0.844730019569397,-0.12050029635429382,-0.018398907035589218,-0.007166358642280102,0.9925168752670288,0.06787917017936707,0.1712949275970459,3.2010107040405273,-1.761214017868042,-0.3646355867385864,-0.0671212375164032,-13.833924837007403,-2.1920724077587033,-0.5614209132536335,0.9702823175968462,3.2063090801239014,1.799816370010376,3.1991705894470215,0.6918285608291626,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.4857795,left_ankle_roll_link,0.4657794940471649,0.5115438508987427
8,0.16,0.009021857753396034,0.016285061836242676,0.9091869592666626,-0.1375013142824173,-0.022176144644618034,-0.007748434320092201,0.9902229309082031,0.07296823710203171,0.16789233684539795,3.2017924785614014,-1.6777048110961914,-0.37980547547340393,-0.025966696441173553,-15.798739171186824,-2.639375022370226,-0.5303760688674846,0.9612032143586178,3.207021474838257,1.7203545570373535,2.840557098388672,0.7517605543136596,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.55537283,left_ankle_roll_link,0.5353728342056274,0.5882190871238708
9,0.18,0.01091858372092247,0.018070027232170105,0.9736801385879517,-0.1539926528930664,-0.02618110179901123,-0.008032163605093956,0.9876924157142639,0.08012629300355911,0.16434437036514282,3.2003512382507324,-1.6653201580047607,-0.4034843444824219,0.00012565588986035436,-17.711315810368333,-3.1064682515616098,-0.4477540432237715,0.9512016255270908,3.2055697441101074,1.7135025262832642,2.6906893253326416,0.8042293310165405,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.62512016,left_ankle_roll_link,0.6051201629638672,0.6652900981903076
10,0.2,0.01297986414283514,0.01981164887547493,1.0382044315338135,-0.17031891644001007,-0.030439825728535652,-0.008079956285655499,0.984885573387146,0.0869997963309288,0.16077303886413574,3.199782133102417,-1.6553387641906738,-0.4246008098125458,0.02852078527212143,-19.61255957875854,-3.595482474939053,-0.3184313988078275,0.9401297674246345,3.2049996852874756,1.7091652154922485,2.6901094913482666,0.8490201950073242,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.6951785,left_ankle_roll_link,0.6751785087585449,0.7427117037773132
