frame,t,rx,ry,rz,qx,qy,qz,qw,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,roll,pitch,yaw,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot
0,0.0,0.0,0.0,0.38999998569488525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1920928966180355e-08,0.0,0.0,0.0,0.0,pelvis,0.0,0,0.022617288,right_ankle_roll_link,0.0031250654906034465,0.002617287933826446
1,0.02,0.00041715451516211033,0.0027774095069617033,0.45540350675582886,-0.013293740339577198,-0.0018314889166504145,-0.0009205294190905988,0.999909520149231,0.026450395584106445,0.22628699243068695,3.0777974128723145,-1.6745635271072388,-0.2053474485874176,-0.09888243675231934,-1.5232091749095118,-0.21125694856210592,-0.10268611055007074,0.9996398442322642,3.0862181186676025,1.69000244140625,17.910972595214844,0.32177865505218506,30.033972,0.0,0.0,0.0,pelvis,0.0,0,0.07807723,left_ankle_roll_link,0.05807722687721252,0.06303094655275344
2,0.04,0.02423575520515442,0.002829511882737279,0.5164070725440979,-0.036551810801029205,-0.046283986419439316,0.018244801089167595,0.9980925917625427,0.7798504829406738,0.08146919310092926,2.886521100997925,-2.448916435241699,-3.71224045753479,3.402543783187866,-4.299182460107869,-5.2244556509540265,2.290698291051108,0.9930435154565819,2.991121530532837,5.599573612213135,19.600318908691406,0.30000268001031144,36.0,0.045454545454545456,0.0,0.0,pelvis,0.0,0,0.13203172,left_ankle_roll_link,0.11203172385692596,0.12603894948959352
3,0.06,-0.004876843187958002,0.006476144306361675,0.5692269802093506,-0.036851249635219574,0.004780384711921215,-0.005234576296061277,0.9992956519126892,-1.886532187461853,0.17974917590618134,2.2326676845550537,2.096674680709839,8.391870498657227,-2.1713063716888428,-4.2267454282606165,0.5253084708548258,-0.6196406948899336,0.9972382666446575,2.9285011291503906,8.918190002441406,36.04499435424805,0.39020044803619386,36.0,0.3181818181818182,0.0,0.0,pelvis,0.0,0,0.19591516,left_ankle_roll_link,0.17591516256332398,0.19589958667755128
4,0.08,0.01931057497859001,0.004683610517531633,0.6240279674530029,-0.07686987519264221,-0.0365358330309391,0.010181411169469357,0.9963193535804749,1.789690613746643,0.06370184570550919,2.54183030128479,-7.5081377029418945,-7.802561283111572,2.0082504749298096,-8.876775132582665,-4.085064046644258,1.4881883248283239,0.9855123103852059,3.109333038330078,11.012954711914062,36.3914794921875,0.16267435252666473,36.0,0.3181818181818182,0.0,0.0,pelvis,0.0,0,0.23073725,left_ankle_roll_link,0.21073725402355195,0.2461765515804291
5,0.1,-0.008318612352013588,0.00794048048555851,0.6669408679008484,-0.05766411870718002,0.014269322156906128,0.01357234176248312,0.9981417655944824,-1.775376319885254,-0.012191039510071278,1.693542718887329,9.088335990905762,8.374101638793945,1.7513400316238403,-6.590845497294142,1.722048250713585,1.4589130665187067,0.9929424717178134,2.453608989715576,12.481611251831055,36.67904281616211,0.5175029635429382,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.29519516,left_ankle_roll_link,0.27519516229629515,0.3173697996139526
6,0.12,0.014589214697480202,0.006669177673757076,0.7129757404327393,-0.10130611062049866,-0.026835380122065544,0.031571485102176666,0.9939920902252197,1.744518518447876,0.243739515542984,2.176079273223877,-11.99433422088623,-9.150311470031738,-1.0178825855255127,-11.730798406412971,-2.6911145781193366,3.914977284245601,0.9780338686493031,2.7996561527252197,15.120461463928223,36.468563079833984,0.213253915309906,36.0,0.4090909090909091,0.0,0.0,pelvis,0.0,0,0.3191895,left_ankle_roll_link,0.29918948888778685,0.3598549771308899
7,0.14,-0.014803120866417885,0.00454635638743639,0.7464853525161743,-0.12236747145652771,0.02454412914812565,0.025333376601338387,0.9918578863143921,-1.9892985820770264,-0.304452121257782,1.1552866697311401,6.2863593101501465,9.689906120300293,1.0656017065048218,-13.996541342776107,3.1464628742913536,2.5398493355213105,0.968847575307392,2.320492744445801,11.5994873046875,36.665252685546875,0.7108616828918457,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.38033152,left_ankle_roll_link,0.3603315162658691,0.43311319828033445
8,0.16,0.00048288144171237946,0.005993138067424297,0.7826463580131531,-0.11212412267923355,0.0006338106468319893,0.060104407370090485,0.9918745756149292,1.7057405710220337,0.13680990040302277,1.846921682357788,-0.4936852753162384,-9.0565767288208,-0.844362735748291,-12.84851299486134,0.844319920635066,6.840329375484055,0.9748555587949523,2.5178139209747314,9.109240531921387,36.493751525878906,0.5228945016860962,36.0,0.4090909090909091,0.0,0.0,pelvis,0.0,0,0.40189022,left_ankle_roll_link,0.38189021825790403,0.45898918390274046
9,0.18,-0.0253334678709507,-0.0020962953567504883,0.8084936738014221,-0.19650359451770782,0.03460433706641197,0.012375786900520325,0.9798140525817871,-2.0771243572235107,-0.23877660930156708,0.58308345079422,-9.85042953491211,7.593580722808838,-6.5131707191467285,-22.658402123955728,4.167668207655729,0.6119551645581456,0.9203777543956289,2.170586585998535,14.039759635925293,36.72212600708008,0.9525594711303711,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.4536256,left_ankle_roll_link,0.4336255896091461,0.5312657761573791
10,0.2,-0.018085699528455734,0.001066691242158413,0.8359408974647522,-0.14687199890613556,0.02344524674117565,0.03904443606734276,0.9881065487861633,1.7369115352630615,-0.1604466587305069,1.76153564453125,13.102957725524902,-7.204687118530273,4.840284824371338,-16.792266355560105,3.3136502699254473,4.036440315322389,0.955757872685123,2.479034423828125,15.7169771194458,36.57974624633789,0.8874397873878479,36.0,0.3181818181818182,0.0,0.0,pelvis,0.0,0,0.4662442,left_ankle_roll_link,0.4462441909313202,0.5395178604125976
11,0.22,-0.032891761511564255,0.00688423216342926,0.8511455059051514,-0.11068688333034515,0.017982086166739464,-0.0809158906340599,0.9903926253318787,-1.8302966356277466,0.413226455450058,-0.06880056858062744,-0.25907766819000244,3.969330072402954,-14.86497974395752,-12.837803657688879,1.014531832213102,-9.455615157220773,0.974850116871413,1.8776249885559082,15.387992858886719,36.550498962402344,0.9874023199081421,36.0,0.4090909090909091,0.0,0.0,pelvis,0.0,0,0.50226474,left_ankle_roll_link,0.4822647380828857,0.5901863384246826
12,0.24,-0.025747481733560562,0.019059740006923676,0.86802077293396,-0.05627745762467384,-0.013511796481907368,-0.14259523153305054,0.9880874156951904,1.3672852516174316,0.24417796730995178,1.351668357849121,2.741471290588379,-7.807628154754639,3.9058876037597656,-6.168853219265554,-2.4502253503635036,-16.291765693168816,0.9933005582382691,1.938065767288208,9.150446891784668,36.45437240600586,0.9090713262557983,36.0,0.3181818181818182,0.0,0.0,pelvis,0.0,0,0.507239,left_ankle_roll_link,0.4872389841079712,0.5838437485694885
13,0.26,-0.026707736775279045,0.008541354909539223,0.8843089938163757,-0.20625855028629303,-0.00937145110219717,-0.037584807723760605,0.9777305722236633,-0.5625855922698975,-0.08480507135391235,0.05435299128293991,-23.694868087768555,3.9230759143829346,4.604197025299072,-23.756887853817886,-1.9386795083550896,-3.995011841719927,0.9147391726760717,0.5715318918228149,24.45477294921875,36.35728073120117,0.9528601884841919,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.5343994,left_ankle_roll_link,0.5143993902206421,0.5903253960609436
14,0.28,-0.0009075948037207127,0.012366757728159428,0.8999207615852356,-0.13543449342250824,-0.0760674774646759,-0.0436987429857254,0.9868949055671692,1.4772417545318604,-0.2589099407196045,1.1763548851013184,18.422412872314453,-10.06066608428955,0.45491307973861694,-15.31701640112453,-9.321716169538167,-3.814495354338146,0.9517424737270992,1.9060661792755127,20.99545669555664,36.453243255615234,0.7178245306015014,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.541528,left_ankle_roll_link,0.5215279865264892,0.5636554169654846
15,0.3,-0.03135986998677254,0.013271193951368332,0.8948246836662292,-0.16770470142364502,-0.029343243688344955,-0.11901450157165527,0.978186845779419,-1.8234950304031372,0.4125182330608368,-1.1180399656295776,-9.901866912841797,9.122655868530273,-10.069867134094238,-18.822668866554572,-5.585148895797332,-12.94752211089545,0.942028214340505,2.178375244140625,16.81285285949707,36.523014068603516,1.0723089694976806,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.57488376,left_ankle_roll_link,0.554883759021759,0.5909972596168518
16,0.32,-0.024840649217367172,0.011634616181254387,0.8992223143577576,-0.13522866368293762,-0.051526207476854324,-0.1341845542192459,0.9803329706192017,1.3407926559448242,-0.6975815892219543,1.073095440864563,8.702299118041992,-11.010111808776855,3.023728132247925,-14.697372011145276,-7.892615023068336,-14.568555036492558,0.9581165169231582,1.8536123037338257,14.356026649475098,36.40408706665039,0.9159101963043212,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.56486577,left_ankle_roll_link,0.54486576795578,0.5805692481994629
17,0.34,-0.03560793027281761,0.004285359755158424,0.8987783193588257,-0.24171409010887146,-0.02273521199822426,-0.10594888031482697,0.9642780423164368,-1.3118845224380493,0.523644208908081,-1.113128662109375,-18.231327056884766,10.564661979675293,-4.983710765838623,-27.609342216245356,-5.455049794842899,-11.19899289846769,0.8821148175564724,1.7984158992767334,21.65250015258789,36.3817024230957,1.2026637315750122,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.58141273,left_ankle_roll_link,0.5614127326011658,0.568495671749115
18,0.36,-0.034718990325927734,0.012171409092843533,0.8889548778533936,-0.1434282660484314,-0.05191172659397125,-0.21830041706562042,0.9638871550559998,0.6228070259094238,-0.5558422207832336,0.12815730273723602,18.41782569885254,-16.9410457611084,-7.589873790740967,-14.907557159382888,-9.363358043936003,-24.29434274984193,0.9534670102807463,0.8445551991462708,26.149982452392578,36.20930862426758,1.019631814956665,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.5663847,left_ankle_roll_link,0.5463846731185913,0.5591636705398559
19,0.38,-0.028190311044454575,0.0007192455232143402,0.8852517604827881,-0.2736908197402954,-0.048631686717271805,-0.1471942663192749,0.949242889881134,0.12645263969898224,-0.22653040289878845,-0.9313961863517761,-16.55185317993164,6.598139762878418,8.010542869567871,-30.86436993317564,-9.956358107167624,-14.873866042360321,0.8454565884738365,0.9668532013893127,19.536327362060547,29.09909439086914,1.21425302028656,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.5613467,left_ankle_roll_link,0.541346709728241,0.5447781491279602
20,0.4,-0.01578446663916111,-0.0025138333439826965,0.8739829659461975,-0.1338813155889511,-0.13003991544246674,-0.26236650347709656,0.9467465877532959,0.18298298120498657,-0.9235984086990356,-0.3061671555042267,16.256988525390625,-19.37950897216797,-10.121813774108887,-11.26260708550423,-18.450282103437065,-29.143716782297894,0.9303308274557756,0.990078330039978,27.245296478271484,36.31513595581055,0.8805393695831298,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.53520304,left_ankle_roll_link,0.5152030396461487,0.5331753897666931
21,0.42,-0.029592279344797134,-0.011657516472041607,0.8536466956138611,-0.2427748292684555,-0.07587630301713943,-0.2098546177148819,0.9440678954124451,-0.533249020576477,0.2531411647796631,-1.8062516450881958,-18.06142234802246,15.760313034057617,3.6868817806243896,-26.10213433013829,-14.191265866592703,-21.759116108701345,0.870606337828247,1.90025794506073,24.252742767333984,36.242393493652344,1.2623937845230102,36.0,0.4090909090909091,0.0,0.0,pelvis,0.0,0,0.5323371,right_ankle_roll_link,0.5174637246131897,0.5123371291160583
22,0.44,-0.024044035002589226,-0.007054965011775494,0.8296080231666565,-0.12438836693763733,-0.1394634246826172,-0.3430265486240387,0.9205488562583923,0.13311156630516052,-0.6705605387687683,-0.7405426502227783,16.64205551147461,-23.710886001586914,-10.80370044708252,-8.157418660856516,-20.005040907283764,-39.43296573714093,0.9301549746927673,1.0078558921813965,30.917373657226562,36.12018966674805,1.094078493118286,36.0,0.36363636363636365,0.0,0.0,pelvis,0.0,0,0.51172864,left_ankle_roll_link,0.4917286443710327,0.49723134517669676
23,0.46,-0.03027905337512493,-0.01618107408285141,0.8050522208213806,-0.24610170722007751,-0.08959553390741348,-0.2445334643125534,0.9336004853248596,-0.21029967069625854,0.1373266875743866,-2.068112373352051,-20.835044860839844,18.300634384155273,7.970058441162109,-25.72475336660923,-16.71750103392641,-25.511831423191843,0.8628131800144175,2.083308219909668,28.853668212890625,36.08334732055664,1.2173410177230835,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.48390153,right_ankle_roll_link,0.46853081464767454,0.46390153050422667
24,0.48,-0.031743720173835754,-0.009171495214104652,0.7718349099159241,-0.1279265582561493,-0.14358526468276978,-0.41546162962913513,0.8890498280525208,-0.20295210182666779,-0.1479869782924652,-1.4729490280151367,18.9151554107666,-24.630615234375,-11.816743850708008,-6.661767223974675,-21.198862623632547,-48.84627349561864,0.92603613491743,1.4942116737365723,33.227787017822266,36.34283447265625,1.029796314239502,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.44043788,left_ankle_roll_link,0.4204378831386566,0.4463935303688049
25,0.5,-0.04208662360906601,-0.014210637658834457,0.735895037651062,-0.2588416635990143,-0.06976089626550674,-0.2998919188976288,0.9155321717262268,-0.03152254968881607,-0.0030312533490359783,-2.5648365020751953,-20.454795837402344,19.54935646057129,7.764464855194092,-26.777699980120612,-16.438483890270984,-32.335140768540526,0.8562688210750559,2.5650320053100586,29.340465545654297,36.18187713623047,1.1377069473266601,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.41898504,right_ankle_roll_link,0.4087987947463989,0.3989850389957428
26,0.52,-0.04384028911590576,-0.00955737754702568,0.6918674111366272,-0.1284148246049881,-0.1299397051334381,-0.46046462655067444,0.8686757683753967,-0.44555169343948364,-0.2716323435306549,-1.9341983795166016,15.271585464477539,-23.84180450439453,-11.167200088500977,-6.324539072901547,-20.12149105221033,-54.7308156296414,0.9332506117030106,2.0033531188964844,30.4361515045166,36.160648345947266,1.0563588857650756,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.39061055,right_ankle_roll_link,0.37354121685028074,0.37061054587364195
27,0.54,-0.04941325634717941,-0.01637929491698742,0.6500370502471924,-0.22417384386062622,-0.07606280595064163,-0.3279198706150055,0.9145650267601013,0.10911080986261368,0.13533253967761993,-2.8874435424804688,-16.077659606933594,19.74382781982422,13.590154647827148,-22.0784340902093,-16.627654499560762,-36.18490388973898,0.8879210745593332,2.892671823501587,28.861778259277344,36.19074249267578,1.1282833814620972,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.33211112,right_ankle_roll_link,0.35107616662979124,0.312111120223999
28,0.56,-0.054392434656620026,-0.009134641848504543,0.5984183549880981,-0.11615221947431564,-0.11956024169921875,-0.47346192598342896,0.8648974895477295,-0.5501636862754822,-0.20762400329113007,-2.6239750385284424,12.883304595947266,-19.091278076171875,-12.13079833984375,-5.305602449672832,-18.469633994603146,-56.531092919357114,0.9444280210320296,2.6890578269958496,26.030994415283203,36.2867546081543,1.0767274618148803,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.3033895,right_ankle_roll_link,0.2997483420372009,0.2833894896507263
29,0.58,-0.060570139437913895,-0.012705374509096146,0.5421837568283081,-0.22560487687587738,-0.04995923489332199,-0.33183032274246216,0.9146009683609009,0.1963444948196411,0.2707446217536926,-3.657923698425293,-17.591541290283203,21.67327308654785,13.224275588989258,-23.020349964210215,-13.952098573937057,-37.02828407519149,0.8932130287573882,3.6731810569763184,30.888097763061523,36.46382141113281,1.3193931579589844,36.0,0.5454545454545454,0.0,0.0,pelvis,0.0,0,0.23653458,right_ankle_roll_link,0.29273812055587767,0.21653458058834077
30,0.6,-0.06359029561281204,-0.0013572201132774353,0.4773769974708557,-0.08084163069725037,-0.09717197716236115,-0.4597986936569214,0.878980815410614,-0.24835661053657532,-0.44008466601371765,-3.050400495529175,12.458545684814453,-21.91143226623535,-11.195330619812012,-3.119472733892291,-14.191665286327261,-54.84010282679375,0.9680444752011339,3.091973066329956,27.580095291137695,36.24787902832031,1.1111260175704956,36.0,0.45454545454545453,0.0,0.0,pelvis,0.0,0,0.19849685,right_ankle_roll_link,0.248735408782959,0.17849684834480287
31,0.62,-0.054004866629838943,-0.009250001981854439,0.41594430804252625,-0.18842177093029022,-0.0774230882525444,-0.3252120614051819,0.9234391450881958,0.8090004324913025,0.4485853910446167,-3.794886589050293,-18.52823829650879,15.90114974975586,13.250865936279297,-17.981969149176546,-15.399344400173444,-36.351026073132545,0.9170058032898639,3.9060049057006836,27.779987335205078,36.47065734863281,1.4411031007766724,36.0,0.5454545454545454,0.0,0.0,pelvis,0.0,0,0.13203287,right_ankle_roll_link,0.2261535781621933,0.11203287124633789
32,0.64,-0.0494602806866169,0.0008321385830640793,0.34500640630722046,-0.0721798986196518,-0.13619892299175262,-0.43062904477119446,0.8892685174942017,-0.036064788699150085,-0.9291411638259888,-3.2374186515808105,10.949743270874023,-23.656373977661133,-5.128561019897461,-0.6660106172445869,-17.722091187878576,-51.57341860098616,0.9524798312222869,3.3683056831359863,26.567331314086914,36.520912170410156,1.1333500862121582,36.0,0.5,0.0,0.0,pelvis,0.0,0,0.09763592,right_ankle_roll_link,0.15851489782333375,0.07763591736555099
33,0.66,-0.02668432518839836,-0.005383314564824104,0.282926082611084,-0.17863334715366364,-0.1611117571592331,-0.31264543533325195,0.9189047813415527,1.7269344329833984,0.8372552394866943,-3.826878070831299,-27.957080841064453,18.95818519592285,15.030035018920898,-14.431080916500525,-24.066114665238334,-34.48867374621831,0.884266257979486,4.281155586242676,36.97178649902344,36.381622314453125,1.3633817434310913,36.0,0.5,0.0,83.25399,right_ankle_roll_link,83.25399,0,0.069887,right_ankle_roll_link,0.08425534844398498,0.049886997342109676
34,0.68,-0.0028115808963775635,0.006643878296017647,0.2168334424495697,-0.1351601481437683,-0.20453251898288727,-0.44184041023254395,0.862945556640625,1.9148186445236206,-0.5307735204696655,-2.431561231613159,5.841219902038574,-17.970664978027344,-4.537973403930664,-3.416917728141552,-28.1927528180762,-53.36789547521263,0.8797963660645389,3.140181541442871,19.433420181274414,39.401031494140625,1.2883665561676025,36.0,0.22727272727272727,0.0,5872.439,right_ankle_roll_link,5872.439,0,0.039497092,right_ankle_roll_link,0.03013982206583023,0.019497092366218566
35,0.7000000000000001,0.05404099076986313,-0.013877177610993385,0.1928969919681549,-0.06417567282915115,-0.369737446308136,-0.42868027091026306,0.8218325972557068,2.0750279426574707,-0.9261215329170227,-1.2007982730865479,-3.4014053344726562,-15.237972259521484,-4.9150285720825195,16.406801241328075,-41.50965612810774,-61.34862437166633,0.718351407628928,2.570089101791382,16.368349075317383,36.005130767822266,1.4089304208755493,36.0,0.3181818181818182,139.954,269.3183,right_ankle_roll_link,269.3183,0,0.046060164,right_ankle_roll_link,0.07258549660444259,0.026060163527727127
36,0.72,0.09998495876789093,-0.023099740967154503,0.1685066670179367,-0.018347594887018204,-0.4584001898765564,-0.46230262517929077,0.7588208317756653,1.2235645055770874,-0.6151203513145447,-1.9121453762054443,-0.05800788477063179,-10.289573669433594,1.0385940074920654,34.366297241171225,-45.45106096555515,-77.46195621351525,0.5790652633659978,2.3519742488861084,10.342019081115723,36.676231384277344,1.5711113214492798,36.0,0.3181818181818182,0.0,599.5209,right_ankle_roll_link,599.5209,0,0.063957274,right_knee_link,0.13788301825523377,0.053708176612854
37,0.74,0.11594919115304947,-0.04810487478971481,0.16225576400756836,-0.02527335099875927,-0.5582334399223328,-0.4823485016822815,0.6745937466621399,0.22534382343292236,-1.046627402305603,-0.3308483958244324,-11.120482444763184,-6.9411444664001465,-7.8509650230407715,53.33765222242687,-51.03613482978533,-98.0969013636653,0.37547336856354563,1.1205666065216064,15.280126571655273,34.873416900634766,1.5576303005218506,36.0,0.36363636363636365,0.0,258.07883,right_ankle_roll_link,258.07883,0,0.03760781,right_knee_link,0.18168763399124147,0.06608030527830124
38,0.76,0.13009685277938843,-0.05725344270467758,0.1363883912563324,-0.13057953119277954,-0.5970709919929504,-0.3968506455421448,0.6848101019859314,1.000393033027649,-0.14068101346492767,-2.1085360050201416,-13.585022926330566,9.590682029724121,-0.06363572180271149,49.39769605934682,-67.13185943914138,-94.12714676642597,0.25291043310805605,2.33805513381958,16.629432678222656,35.647239685058594,1.570855975151062,36.0,0.3181818181818182,0.0,114.75807,right_ankle_roll_link,114.75807,0,0.058048222,right_ankle_pitch_link,0.21082420229911805,0.038351188898086544
39,0.78,0.13356077671051025,-0.06801261007785797,0.12853571772575378,-0.1942521184682846,-0.6530784368515015,-0.3617711365222931,0.6362987756729126,0.026276450604200363,-0.3559144139289856,0.01326419785618782,-7.815366744995117,-10.47838306427002,-4.648865699768066,72.39260453180978,-76.32579282547279,-119.04730136103328,0.07150933958036587,0.3571294844150543,13.874019622802734,35.857666015625,1.563117265701294,36.0,0.2727272727272727,0.0,330.34683,right_ankle_roll_link,330.34683,0,0.047521524,right_elbow_link,0.22380804598331452,0.03991518124938011
40,0.8,0.14382554590702057,-0.06959293782711029,0.11771535128355026,-0.31505686044692993,-0.6641502380371094,-0.33417388796806335,0.5898910760879517,1.1674325466156006,0.33280178904533386,-1.5276862382888794,-11.847146034240723,6.529297351837158,-12.907754898071289,138.19236103394059,-83.78367355553739,167.0654720447129,-0.08071272799885065,1.9512767791748047,18.697505950927734,35.32887649536133,1.4697747230529785,36.0,0.3181818181818182,0.0,335.47598,right_ankle_roll_link,335.47598,0,0.032400385,right_elbow_link,0.2169024306535721,0.041357866972684856
