step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,0.15964464843273163,0.03999999910593033,0.005285243038088083,0.8473668694496155,1.0373375415802002,3.225346565246582,1.1490288972854614,3.225346565246582,1.2783186435699463,2.5054547786712646,0.0,0.0,1.0373375415802002,3.225346565246582,0.0,0.8336228132247925,2,0.04107850417494774,0.021539660170674324,1.476519227027893
1,0,0.18699240684509277,0.05999999865889549,0.0066221849992871284,0.39089590311050415,1.1771680116653442,4.269408702850342,1.270758032798767,4.269408702850342,2.1375954151153564,4.269408702850342,0.0,0.0,1.1771680116653442,4.269408702850342,0.0,0.8265522718429565,3,0.05721269175410271,0.03416828811168671,1.5642200708389282
2,0,0.19098375737667084,0.07999999821186066,0.006957742851227522,0.3546239137649536,1.151742696762085,4.504582405090332,1.1438325643539429,4.504582405090332,2.2282347679138184,4.504582405090332,0.0,0.0,1.151742696762085,4.504582405090332,0.0,0.8148316144943237,4,0.07440322637557983,0.04734911024570465,1.457772970199585
3,0,0.18917778134346008,0.09999999403953552,0.007348726503551006,0.2645050585269928,1.2582396268844604,4.770198822021484,1.2057363986968994,4.770198822021484,2.2838845252990723,4.770198822021484,0.0,0.0,1.2582396268844604,4.770198822021484,0.0,0.7998824119567871,5,0.09355020523071289,0.06108182668685913,1.4480533599853516
4,0,0.1868002563714981,0.11999999731779099,0.006391795817762613,0.29195672273635864,1.2806944847106934,4.619410991668701,1.1605191230773926,4.619410991668701,2.399122476577759,4.619410991668701,0.0,0.0,1.2806944847106934,4.619410991668701,0.0,0.7874930500984192,6,0.108021080493927,0.07119351625442505,1.4737313985824585
5,0,0.17991653084754944,0.14000000059604645,0.005994224455207586,0.4113548994064331,1.4503744840621948,5.614471912384033,1.2211469411849976,5.614471912384033,2.8761987686157227,5.614471912384033,0.0,0.0,1.4503744840621948,5.614471912384033,0.0,0.7784314155578613,7,0.11959682404994965,0.07885247468948364,1.4346215724945068
6,0,0.1866205483675003,0.1599999964237213,0.005330769345164299,0.35365206003189087,1.594849944114685,6.236613750457764,1.3684672117233276,6.236613750457764,3.281376838684082,6.236613750457764,0.0,0.0,1.594849944114685,6.236613750457764,0.0,0.7728284001350403,8,0.1277250051498413,0.08307215571403503,1.5077672004699707
7,0,0.18806403875350952,0.17999999225139618,0.004695969633758068,0.2744194269180298,1.682392954826355,6.4500274658203125,1.4203211069107056,6.4500274658203125,3.260590076446533,6.4500274658203125,0.0,0.0,1.682392954826355,6.4500274658203125,0.0,0.7670503854751587,9,0.13130763173103333,0.0863213986158371,1.5413153171539307
8,0,0.1900431215763092,0.19999998807907104,0.004412430338561535,0.2152574211359024,1.8268877267837524,6.266236782073975,1.6137372255325317,6.266236782073975,3.6943836212158203,6.266236782073975,0.0,0.0,1.8268877267837524,6.266236782073975,0.0,0.7618924379348755,10,0.13088706135749817,0.08816167712211609,1.5561295747756958
9,0,0.18645000457763672,0.2199999988079071,0.0037674305494874716,0.2927362620830536,1.9299758672714233,6.146748065948486,1.7354443073272705,6.146748065948486,3.984109878540039,6.146748065948486,0.0,0.0,1.9299758672714233,6.146748065948486,0.0,0.756062924861908,11,0.12805630266666412,0.09000296890735626,1.594105839729309
10,0,0.18764565885066986,0.23999999463558197,0.0036326474510133266,0.25920990109443665,2.031309127807617,5.926897048950195,1.833139181137085,5.926897048950195,4.208446502685547,5.926897048950195,0.0,0.0,2.031309127807617,5.926897048950195,0.0,0.7505646347999573,12,0.1245000809431076,0.09169444441795349,1.6098068952560425
11,0,0.18848450481891632,0.25999999046325684,0.003423532238230109,0.22560839354991913,1.9276407957077026,5.905611038208008,1.6281282901763916,5.905611038208008,3.5249271392822266,5.905611038208008,0.0,0.0,1.9276407957077026,5.905611038208008,0.0,0.746936559677124,13,0.12115882337093353,0.09290596842765808,1.668314814567566
12,0,0.19371239840984344,0.2800000011920929,0.003343722317367792,0.13129383325576782,1.9502012729644775,5.8772873878479,1.6596018075942993,5.8772873878479,3.371713876724243,5.8772873878479,0.0,0.0,1.9502012729644775,5.8772873878479,0.0,0.7451145052909851,14,0.11778775602579117,0.09335582703351974,1.7011321783065796
13,0,0.19594264030456543,0.29999998211860657,0.003323792479932308,0.1405874639749527,1.9235531091690063,5.758995532989502,1.6313366889953613,5.758995532989502,3.191394329071045,5.758995532989502,0.0,0.0,1.9235531091690063,5.758995532989502,0.0,0.7442725300788879,15,0.11468688398599625,0.09329304099082947,1.6998540163040161
14,0,0.19364111125469208,0.3199999928474426,0.0034143475349992514,0.0965450182557106,1.9211184978485107,5.62311315536499,1.6164377927780151,5.62311315536499,3.095884323120117,5.62311315536499,0.0,0.0,1.9211184978485107,5.62311315536499,0.0,0.7437842488288879,16,0.1126389354467392,0.09369142353534698,1.693146824836731
15,0,0.19791768491268158,0.3400000035762787,0.0034899346064776182,0.10728207230567932,1.9039306640625,5.575510025024414,1.6029412746429443,5.575510025024414,2.980348825454712,5.575510025024414,0.0,0.0,1.9039306640625,5.575510025024414,0.0,0.7434663772583008,17,0.11059746146202087,0.09412534534931183,1.6801830530166626
16,0,0.19409021735191345,0.35999998450279236,0.0036611463874578476,0.08119320869445801,1.8747165203094482,5.479489326477051,1.536159634590149,5.479489326477051,2.785661458969116,5.479489326477051,0.0,0.0,1.8747165203094482,5.479489326477051,0.0,0.7436250448226929,18,0.10854693502187729,0.09445053339004517,1.669997215270996
17,0,0.19578222930431366,0.3799999952316284,0.003913079388439655,0.0927295908331871,1.9165204763412476,5.548271179199219,1.595131278038025,5.548271179199219,2.894989013671875,5.548271179199219,0.0,0.0,1.9165204763412476,5.548271179199219,0.0,0.7433727383613586,19,0.10690314322710037,0.0951690673828125,1.6571910381317139
18,0,0.1943860799074173,0.3999999761581421,0.004047789145261049,0.10227646678686142,1.8912436962127686,5.473386764526367,1.594752550125122,5.473386764526367,2.91611385345459,5.473386764526367,0.0,0.0,1.8912436962127686,5.473386764526367,0.0,0.742935836315155,20,0.10612674802541733,0.09623555839061737,1.6627099514007568
19,0,0.202309712767601,0.41999998688697815,0.004546689800918102,0.0735342726111412,1.8795851469039917,5.460036754608154,1.6019787788391113,5.460036754608154,2.926250457763672,5.460036754608154,0.0,0.0,1.8795851469039917,5.460036754608154,0.0,0.7423239350318909,21,0.10600686073303223,0.09735475480556488,1.6639217138290405
20,0,0.19450977444648743,0.4399999976158142,0.004740994889289141,0.1261388659477234,1.9500211477279663,5.348850250244141,1.7203824520111084,5.348850250244141,3.3074967861175537,5.348850250244141,0.0,0.0,1.9500211477279663,5.348850250244141,0.0,0.7418479323387146,22,0.10614436864852905,0.09827914088964462,1.6517823934555054
21,0,0.19367164373397827,0.4599999785423279,0.005142848938703537,0.10532805323600769,1.9677801132202148,5.369106769561768,1.7717539072036743,5.369106769561768,3.67311429977417,5.369106769561768,0.0,0.0,1.9677801132202148,5.369106769561768,0.0,0.7410913109779358,23,0.10709117352962494,0.09925149381160736,1.6297924518585205
22,0,0.19859713315963745,0.47999998927116394,0.005603611469268799,0.09228166192770004,1.943464994430542,5.327770709991455,1.7396655082702637,5.327770709991455,3.559201240539551,5.327770709991455,0.0,0.0,1.943464994430542,5.327770709991455,0.0,0.7399777770042419,24,0.10848700255155563,0.10042548179626465,1.6296716928482056
23,0,0.20107118785381317,0.5,0.005841048900038004,0.05669425055384636,1.8876707553863525,5.314694881439209,1.651243805885315,5.314694881439209,3.218294620513916,5.314694881439209,0.0,0.0,1.8876707553863525,5.314694881439209,0.0,0.7397745251655579,25,0.10862025618553162,0.10089084506034851,1.628661036491394
24,0,0.19675315916538239,0.5199999809265137,0.006627855356782675,0.05435153469443321,1.8268156051635742,5.555528163909912,1.5557183027267456,5.555528163909912,2.882248878479004,5.555528163909912,0.0,0.0,1.8268156051635742,5.555528163909912,0.0,0.7403372526168823,26,0.10834705084562302,0.10077681392431259,1.6223372220993042
25,0,0.2003353238105774,0.5399999618530273,0.006926202215254307,0.09755317866802216,1.8605958223342896,5.724356174468994,1.6068276166915894,5.724356174468994,3.2063710689544678,5.724356174468994,0.0,0.0,1.8605958223342896,5.724356174468994,0.0,0.7412552237510681,27,0.107864610850811,0.10070602595806122,1.5876024961471558
26,0,0.1978195607662201,0.5600000023841858,0.007541086990386248,0.09451471269130707,1.8493456840515137,5.789026260375977,1.5973984003067017,5.789026260375977,3.207611560821533,5.789026260375977,0.0,0.0,1.8493456840515137,5.789026260375977,0.0,0.7420224547386169,28,0.10726704448461533,0.10104593634605408,1.5484163761138916
27,0,0.19553963840007782,0.5799999833106995,0.008233103901147842,0.08112385123968124,1.8695555925369263,5.651158809661865,1.6252076625823975,5.651158809661865,3.2247002124786377,5.651158809661865,0.0,0.0,1.8695555925369263,5.651158809661865,0.0,0.7419423460960388,29,0.10751813650131226,0.10170283913612366,1.5444376468658447
28,0,0.1990993469953537,0.5999999642372131,0.00858959648758173,0.06231656298041344,1.819359540939331,5.673877716064453,1.560919165611267,5.673877716064453,3.0286147594451904,5.673877716064453,0.0,0.0,1.819359540939331,5.673877716064453,0.0,0.7412392497062683,30,0.10774170607328415,0.10284200310707092,1.5448399782180786
29,0,0.1957680881023407,0.6200000047683716,0.009792621247470379,0.09350502490997314,1.820570945739746,5.668763160705566,1.5687261819839478,5.668763160705566,2.959705114364624,5.668763160705566,0.0,0.0,1.820570945739746,5.668763160705566,0.0,0.7401306629180908,31,0.10836759954690933,0.10404741764068604,1.556544542312622
30,0,0.19483141601085663,0.6399999856948853,0.010250631719827652,0.15072359144687653,1.7647128105163574,5.843147277832031,1.522117257118225,5.843147277832031,2.848689079284668,5.843147277832031,0.0,0.0,1.7647128105163574,5.843147277832031,0.0,0.739238440990448,32,0.10900738090276718,0.10479043424129486,1.552335262298584
31,0,0.1983650028705597,0.6599999666213989,0.011196684092283249,0.06095920130610466,1.7802913188934326,6.034939289093018,1.5550748109817505,6.034939289093018,2.916011095046997,6.034939289093018,0.0,0.0,1.7802913188934326,6.034939289093018,0.0,0.7378255128860474,33,0.10985769331455231,0.1054762750864029,1.5781153440475464
