step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,0.0372118279337883,0.03999999910593033,0.005285243038088083,0.8667095303535461,0.8879608511924744,2.6858432292938232,0.968038022518158,2.7106893062591553,1.0401867628097534,2.2134366035461426,0.182587131857872,0.5592008233070374,0.8650314211845398,2.7106893062591553,0.0,0.8428040146827698,2,0.09974692016839981,0.08898372203111649,1.613647699356079
1,0,0.12671276926994324,0.05999999865889549,0.0066221849992871284,0.6095843315124512,1.1337008476257324,3.828777313232422,1.3605502843856812,4.143208026885986,2.079639434814453,4.143208026885986,0.5319730639457703,2.0599515438079834,1.2264212369918823,4.143208026885986,0.0,0.8348655104637146,3,0.09943820536136627,0.09332162141799927,1.811983585357666
2,0,0.11041682958602905,0.07999999821186066,0.006957742851227522,0.4365178942680359,1.1396572589874268,4.481465816497803,1.2376210689544678,4.306011199951172,2.0886881351470947,4.306011199951172,0.5672057271003723,1.7304209470748901,1.2578251361846924,4.306011199951172,0.0,0.8227361440658569,4,0.10227370262145996,0.0956866443157196,1.798822045326233
3,0,0.11095269024372101,0.09999999403953552,0.007348726503551006,0.5632139444351196,1.2200214862823486,4.57164192199707,1.2107590436935425,4.363505840301514,2.2375640869140625,4.363505840301514,0.5768506526947021,1.7364097833633423,1.3469974994659424,4.363505840301514,0.0,0.8163554668426514,5,0.108711376786232,0.09907759726047516,1.754750370979309
4,0,0.12396128475666046,0.11999999731779099,0.006391795817762613,0.5304672718048096,1.3425981998443604,4.223721504211426,1.2448254823684692,4.014379501342773,2.2372941970825195,4.014379501342773,0.5521306991577148,1.6906729936599731,1.45229172706604,4.280862808227539,0.0,0.806424617767334,6,0.11319350451231003,0.10427962243556976,1.701059103012085
5,0,0.12097001075744629,0.14000000059604645,0.005994224455207586,0.5133599042892456,1.4874576330184937,5.081837177276611,1.4298769235610962,4.965404987335205,3.0300588607788086,4.965404987335205,0.5672270655632019,1.6075202226638794,1.6929800510406494,4.965404987335205,0.0,0.7950689792633057,7,0.11707349866628647,0.10882686823606491,1.720365285873413
6,0,0.11906609684228897,0.1599999964237213,0.005330769345164299,0.4068179726600647,1.5350697040557861,5.716494560241699,1.4566081762313843,5.632582187652588,3.2128045558929443,5.632582187652588,0.6752467155456543,2.1342530250549316,1.8127374649047852,5.632582187652588,0.0,0.7848078012466431,8,0.12110936641693115,0.11424621939659119,1.8052083253860474
7,0,0.14576274156570435,0.17999999225139618,0.004695969633758068,0.3970406949520111,1.5544143915176392,6.045635223388672,1.4621758460998535,5.8833417892456055,3.3152389526367188,5.8833417892456055,0.7326347231864929,2.493004083633423,1.8296585083007812,5.8833417892456055,0.0,0.7752832174301147,9,0.12591488659381866,0.1203751191496849,1.858164668083191
8,0,0.12363025546073914,0.19999998807907104,0.004412430338561535,0.4335545599460602,1.636661410331726,5.804164886474609,1.5102096796035767,5.611617565155029,3.0381619930267334,5.611617565155029,0.7364826798439026,2.7605109214782715,1.8910670280456543,5.611617565155029,0.0,0.7668130397796631,10,0.1342536211013794,0.12660330533981323,1.8743836879730225
9,0,0.12718988955020905,0.2199999988079071,0.0037674305494874716,0.35223522782325745,1.821281909942627,5.619229316711426,1.64554762840271,5.392663478851318,3.0234203338623047,5.392663478851318,0.7391537427902222,2.91143536567688,2.0645716190338135,5.392663478851318,0.0,0.7594906687736511,11,0.15255819261074066,0.13186883926391602,1.9572272300720215
