step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,0.0016746203182265162,0.03999999910593033,0.005285243038088083,0.9941509962081909,0.9944401383399963,2.843308210372925,1.0478546619415283,2.6957528591156006,0.9195611476898193,1.594359278678894,0.24756617844104767,0.8203350901603699,0.936631977558136,2.6957528591156006,0.0,0.8749457597732544,2,0.1103334054350853,0.1243194118142128,1.5358524322509766
1,0,0.1336435079574585,0.05999999865889549,0.0066221849992871284,0.5157139897346497,1.209286093711853,3.251307249069214,1.0844128131866455,3.0415568351745605,0.9172748327255249,2.1121878623962402,0.5980321764945984,2.460254430770874,1.035082459449768,3.0415568351745605,0.0,0.86600261926651,3,0.09814351797103882,0.1297219693660736,1.6410144567489624
2,0,0.13644817471504211,0.07999999821186066,0.006957742851227522,0.4339686334133148,1.3727943897247314,3.723531484603882,1.3720265626907349,3.7676663398742676,1.5602138042449951,2.502636432647705,0.6015801429748535,2.0080063343048096,1.3407171964645386,3.7676663398742676,0.0,0.854320764541626,4,0.08980114758014679,0.13705021142959595,1.7006959915161133
3,0,0.12146978825330734,0.09999999403953552,0.007348726503551006,0.41626253724098206,1.3777978420257568,3.757763385772705,1.2001863718032837,3.6768765449523926,1.6096611022949219,3.6768765449523926,0.6562528014183044,2.1899774074554443,1.2638357877731323,3.89589524269104,0.0,0.8383296728134155,5,0.09256827086210251,0.14454734325408936,1.776777744293213
4,0,0.1403205692768097,0.11999999731779099,0.006391795817762613,0.3741905987262726,1.4478739500045776,4.633768081665039,1.27745521068573,4.491433143615723,2.2988662719726562,4.491433143615723,0.6152442693710327,1.9844073057174683,1.3633781671524048,4.491433143615723,0.0,0.8169151544570923,6,0.10107576847076416,0.1496679037809372,1.7234995365142822
5,0,0.10230641067028046,0.14000000059604645,0.005994224455207586,0.4250189960002899,1.6260337829589844,5.971701145172119,1.4361796379089355,5.880039215087891,3.275017499923706,5.880039215087891,0.6123050451278687,2.10103702545166,1.5602848529815674,5.880039215087891,0.0,0.7911199331283569,7,0.11320123076438904,0.15446889400482178,1.622501254081726
6,0,0.10898657143115997,0.1599999964237213,0.005330769345164299,0.3909378945827484,1.7473751306533813,6.512574195861816,1.5595241785049438,6.3932342529296875,3.88230037689209,6.3932342529296875,0.6563919186592102,2.233895778656006,1.7059036493301392,6.3932342529296875,0.0,0.7723028659820557,8,0.12267176806926727,0.16084569692611694,1.5758763551712036
7,0,0.13403713703155518,0.17999999225139618,0.004695969633758068,0.43564674258232117,1.78920316696167,6.492466449737549,1.6676394939422607,6.2931694984436035,4.159973621368408,6.2931694984436035,0.7397894859313965,2.520498037338257,1.7972657680511475,6.2931694984436035,0.0,0.7643598318099976,9,0.128864586353302,0.16483351588249207,1.595969319343567
8,0,0.13487306237220764,0.19999998807907104,0.004412430338561535,0.4998258650302887,1.9151250123977661,6.010238170623779,1.7517153024673462,5.853027820587158,3.8981399536132812,5.853027820587158,0.7904347777366638,2.3985090255737305,1.8932090997695923,5.853027820587158,0.0,0.753343403339386,10,0.135696679353714,0.16693638265132904,1.6640520095825195
9,0,0.11397723108530045,0.2199999988079071,0.0037674305494874716,0.464394748210907,1.9292832612991333,5.363393306732178,1.8463623523712158,5.845719337463379,3.502964973449707,5.845719337463379,0.7582345008850098,2.7410624027252197,1.9943333864212036,5.845719337463379,0.0,0.7400612235069275,11,0.1468878835439682,0.16807769238948822,1.8032472133636475
10,0,0.09251905977725983,0.23999999463558197,0.0036326474510133266,0.3717367947101593,1.956300973892212,5.858752727508545,2.025878429412842,6.6476850509643555,3.576660633087158,6.6476850509643555,0.7059407234191895,2.797415018081665,2.1827783584594727,6.6476850509643555,0.0,0.7242816686630249,12,0.16237708926200867,0.17153044044971466,1.9901115894317627
11,0,0.12416570633649826,0.25999999046325684,0.003423532238230109,0.33477938175201416,2.1581315994262695,6.376742839813232,2.21728253364563,6.905375003814697,3.9564807415008545,6.905375003814697,0.6498267650604248,2.540714979171753,2.3737990856170654,6.905375003814697,0.0,0.7110260128974915,13,0.17958754301071167,0.17525798082351685,2.1375274658203125
12,0,0.10797306150197983,0.2800000011920929,0.003343722317367792,0.33566224575042725,2.344036102294922,6.803937911987305,2.3600401878356934,7.163443565368652,4.3900322914123535,7.163443565368652,0.6743532419204712,2.258526563644409,2.5045266151428223,7.163443565368652,0.0,0.7026036977767944,14,0.19616049528121948,0.17709000408649445,2.2574610710144043
13,0,0.09524780511856079,0.29999998211860657,0.003323792479932308,0.3088221848011017,2.4491593837738037,7.447142601013184,2.36572527885437,7.697140216827393,4.545502662658691,7.697140216827393,0.6884884834289551,2.273468494415283,2.515052080154419,7.697140216827393,0.0,0.7012546062469482,15,0.2127317637205124,0.17550261318683624,2.359447717666626
14,0,0.09475240111351013,0.3199999928474426,0.0034143475349992514,0.3060057461261749,2.5835139751434326,8.032832145690918,2.3392279148101807,8.27295207977295,4.60903263092041,8.27295207977295,0.6745502352714539,1.6864047050476074,2.5174803733825684,8.27295207977295,0.0,0.7075887322425842,16,0.2268579751253128,0.17079076170921326,2.4050650596618652
15,0,0.09507732093334198,0.3400000035762787,0.0034899346064776182,0.2920318841934204,2.6736273765563965,7.967350959777832,2.5022807121276855,8.210363388061523,5.310881614685059,8.210363388061523,0.6685338020324707,1.8089022636413574,2.6260263919830322,8.210363388061523,0.0,0.7170740962028503,17,0.2381269782781601,0.16363060474395752,2.39102840423584
16,0,0.0882614254951477,0.35999998450279236,0.0036611463874578476,0.24304737150669098,2.6591193675994873,7.560234546661377,2.5682663917541504,7.887510776519775,5.536105632781982,7.887510776519775,0.6898468136787415,2.0131471157073975,2.6556954383850098,7.887510776519775,0.0,0.7254805564880371,18,0.24562986195087433,0.15544235706329346,2.3447840213775635
17,0,0.07734990119934082,0.3799999952316284,0.003913079388439655,0.250759094953537,2.446040391921997,7.140942573547363,2.316159725189209,7.101028919219971,4.84604549407959,7.101028919219971,0.7023158073425293,2.5834176540374756,2.4500224590301514,7.101028919219971,0.0,0.7321416139602661,19,0.24727323651313782,0.14836496114730835,2.2768499851226807
18,0,0.07519567757844925,0.3999999761581421,0.004047789145261049,0.40351393818855286,2.1814944744110107,7.195055961608887,2.1323015689849854,6.5589704513549805,4.430023193359375,6.5589704513549805,0.6234906911849976,3.174666166305542,2.264677047729492,6.5589704513549805,0.0,0.7361817359924316,20,0.24372929334640503,0.14265407621860504,2.184443712234497
