step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,0.15532512962818146,0.8294598460197449,0.049313683062791824,0.022297050803899765,1.7146782875061035,0.9974939227104187,3.2902350425720215,0.9974939227104187,3.2902350425720215,0.0,0.0,0.0,True
1,0,0.18533222377300262,0.8202853798866272,0.06082383170723915,0.027220921590924263,1.8290510177612305,1.2344199419021606,4.067103385925293,1.2344199419021606,4.067103385925293,0.0,0.0,0.0,True
2,0,0.18344637751579285,0.8082109093666077,0.07542655616998672,0.04094097763299942,1.7403675317764282,1.2279359102249146,4.7846198081970215,1.2279359102249146,4.7846198081970215,0.0,0.0,0.0,True
3,0,0.1868894249200821,0.7980445027351379,0.09052243828773499,0.05308771878480911,1.6141502857208252,1.2995681762695312,5.3418049812316895,1.2995681762695312,5.3418049812316895,0.0,0.0,0.0,True
4,0,0.18740461766719818,0.7928842306137085,0.10235266387462616,0.06179611384868622,1.5676660537719727,1.3419650793075562,5.439071178436279,1.3419650793075562,5.439071178436279,0.0,0.0,0.0,True
5,0,0.1830865740776062,0.7868587374687195,0.11116398870944977,0.0690002590417862,1.530249834060669,1.5790431499481201,6.156020164489746,1.5790431499481201,6.156020164489746,0.0,0.0,0.0,True
6,0,0.18531523644924164,0.7804274559020996,0.12021490186452866,0.07363711297512054,1.4660505056381226,1.6824438571929932,6.579394340515137,1.6824438571929932,6.579394340515137,0.0,0.0,0.0,True
7,0,0.18798738718032837,0.7753751277923584,0.126963272690773,0.07654640078544617,1.42353355884552,1.73066246509552,6.618852615356445,1.73066246509552,6.618852615356445,0.0,0.0,0.0,True
8,0,0.18720753490924835,0.7695600390434265,0.1326608955860138,0.07978343963623047,1.5103322267532349,1.8760900497436523,6.575748920440674,1.8760900497436523,6.575748920440674,0.0,0.0,0.0,True
9,0,0.1888323426246643,0.7619897127151489,0.13536813855171204,0.08386282622814178,1.5577267408370972,1.9985568523406982,6.210869789123535,1.9985568523406982,6.210869789123535,0.0,0.0,0.0,True
10,0,0.1901431679725647,0.7554023861885071,0.13619332015514374,0.08732861280441284,1.6153861284255981,2.0242538452148438,5.989576816558838,2.0242538452148438,5.989576816558838,0.0,0.0,0.0,True
11,0,0.187959685921669,0.7498185634613037,0.13505539298057556,0.0897541344165802,1.6325452327728271,2.075984001159668,5.765182971954346,2.075984001159668,5.765182971954346,0.0,0.0,0.0,True
12,0,0.1889648288488388,0.745013952255249,0.13215412199497223,0.09194579720497131,1.708553671836853,2.0652899742126465,5.806610584259033,2.0652899742126465,5.806610584259033,0.0,0.0,0.0,True
13,0,0.19276097416877747,0.7407243251800537,0.12913301587104797,0.09441840648651123,1.7803387641906738,2.0448081493377686,5.76869535446167,2.0448081493377686,5.76869535446167,0.0,0.0,0.0,True
14,0,0.18935264647006989,0.7382969260215759,0.1258428990840912,0.09596490859985352,1.7947542667388916,2.0967671871185303,5.5678486824035645,2.0967671871185303,5.5678486824035645,0.0,0.0,0.0,True
15,0,0.18665316700935364,0.7371615767478943,0.12199937552213669,0.09698575735092163,1.784419298171997,2.1082303524017334,5.569720268249512,2.1082303524017334,5.569720268249512,0.0,0.0,0.0,True
16,0,0.19127832353115082,0.7367427349090576,0.11876674741506577,0.09749804437160492,1.775889277458191,2.078024387359619,5.74619197845459,2.078024387359619,5.74619197845459,0.0,0.0,0.0,True
17,0,0.1914108544588089,0.7381356358528137,0.11553959548473358,0.09712262451648712,1.722088098526001,2.050814151763916,5.825287342071533,2.050814151763916,5.825287342071533,0.0,0.0,0.0,True
18,0,0.19739802181720734,0.7403683662414551,0.11203881353139877,0.09610383212566376,1.71330726146698,2.0249905586242676,5.7905683517456055,2.0249905586242676,5.7905683517456055,0.0,0.0,0.0,True
19,0,0.19314680993556976,0.7428542971611023,0.10844306647777557,0.0947619378566742,1.691757082939148,1.972478985786438,5.575473785400391,1.972478985786438,5.575473785400391,0.0,0.0,0.0,True
20,0,0.20020146667957306,0.7452507019042969,0.10504128783941269,0.09349393099546432,1.6542739868164062,1.9132522344589233,5.4543633460998535,1.9132522344589233,5.4543633460998535,0.0,0.0,0.0,True
