step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,0.15911565721035004,0.8296606540679932,0.048340171575546265,0.022550363093614578,1.623570203781128,0.9414388537406921,3.0147719383239746,0.9414388537406921,3.0147719383239746,0.0,0.0,0.0,True
1,0,0.14291900396347046,0.8177598714828491,0.06657776981592178,0.03158217668533325,1.902806282043457,1.3122211694717407,4.4698710441589355,1.3122211694717407,4.4698710441589355,0.0,0.0,0.0,True
2,0,0.16158424317836761,0.8040872812271118,0.08173320442438126,0.042367998510599136,1.8775702714920044,1.647341012954712,5.648367881774902,1.647341012954712,5.648367881774902,0.0,0.0,0.0,True
3,0,0.17889860272407532,0.7914093136787415,0.09569927304983139,0.05722690746188164,1.7858502864837646,1.8265403509140015,5.941969394683838,1.8265403509140015,5.941969394683838,0.0,0.0,0.0,True
4,0,0.1792905330657959,0.785132646560669,0.10777506232261658,0.0672442689538002,1.7705495357513428,1.650204062461853,5.086953163146973,1.650204062461853,5.086953163146973,0.0,0.0,0.0,True
5,0,0.17740485072135925,0.7810618877410889,0.11660526692867279,0.07626093924045563,1.7078614234924316,1.8319510221481323,5.317759990692139,1.8319510221481323,5.317759990692139,0.0,0.0,0.0,True
6,0,0.18327513337135315,0.7765951156616211,0.12385948747396469,0.08386202156543732,1.6635160446166992,1.8887451887130737,5.742738723754883,1.8887451887130737,5.742738723754883,0.0,0.0,0.0,True
7,0,0.18097689747810364,0.7710776925086975,0.13113804161548615,0.08897307515144348,1.6776841878890991,1.8822991847991943,5.840246200561523,1.8822991847991943,5.840246200561523,0.0,0.0,0.0,True
8,0,0.18273355066776276,0.7656742930412292,0.13672302663326263,0.09224909543991089,1.6883763074874878,1.8503049612045288,5.984061241149902,1.8503049612045288,5.984061241149902,0.0,0.0,0.0,True
9,0,0.1854768991470337,0.7600125670433044,0.14131934940814972,0.09489163756370544,1.6764390468597412,1.8750969171524048,5.799294948577881,1.8750969171524048,5.799294948577881,0.0,0.0,0.0,True
10,0,0.18439634144306183,0.7534899711608887,0.1440802812576294,0.09766969084739685,1.671060562133789,1.8322727680206299,5.617345333099365,1.8322727680206299,5.617345333099365,0.0,0.0,0.0,True
11,0,0.1855756789445877,0.7479321956634521,0.14421877264976501,0.0993313193321228,1.6787633895874023,1.9537534713745117,5.495828628540039,1.9537534713745117,5.495828628540039,0.0,0.0,0.0,True
12,0,0.1859513819217682,0.7439270615577698,0.14363110065460205,0.10035476088523865,1.6813565492630005,2.021620512008667,5.452424049377441,2.021620512008667,5.452424049377441,0.0,0.0,0.0,True
13,0,0.18617138266563416,0.7388827800750732,0.14211001992225647,0.10134803503751755,1.7346513271331787,2.002805471420288,5.371753692626953,2.002805471420288,5.371753692626953,0.0,0.0,0.0,True
14,0,0.18882006406784058,0.7358013391494751,0.14072507619857788,0.10225865244865417,1.7595943212509155,2.080803871154785,5.4741902351379395,2.080803871154785,5.4741902351379395,0.0,0.0,0.0,True
15,0,0.19403691589832306,0.7327032685279846,0.1386924684047699,0.10307576507329941,1.7907382249832153,2.0625154972076416,5.389056205749512,2.0625154972076416,5.389056205749512,0.0,0.0,0.0,True
16,0,0.1947815716266632,0.7298744320869446,0.13608430325984955,0.10382267832756042,1.8169552087783813,2.05305552482605,5.506716728210449,2.05305552482605,5.506716728210449,0.0,0.0,0.0,True
17,0,0.1948259472846985,0.7277162671089172,0.13354618847370148,0.10442467778921127,1.8323512077331543,2.020333766937256,5.461128234863281,2.020333766937256,5.461128234863281,0.0,0.0,0.0,True
18,0,0.18898823857307434,0.727022647857666,0.13032403588294983,0.10421650111675262,1.8554837703704834,2.0116584300994873,5.494383811950684,2.0116584300994873,5.494383811950684,0.0,0.0,0.0,True
19,0,0.18977110087871552,0.7278916239738464,0.12679071724414825,0.10306967794895172,1.840309500694275,2.013732671737671,5.6253767013549805,2.013732671737671,5.6253767013549805,0.0,0.0,0.0,True
20,0,0.19731687009334564,0.7296373844146729,0.12331245839595795,0.10178162902593613,1.805512547492981,1.9680073261260986,5.759914875030518,1.9680073261260986,5.759914875030518,0.0,0.0,0.0,True
21,0,0.2006911039352417,0.7311934232711792,0.12056474387645721,0.1004776656627655,1.78050696849823,1.9455395936965942,5.769116401672363,1.9455395936965942,5.769116401672363,0.0,0.0,0.0,True
22,0,0.2001093327999115,0.733701229095459,0.11697782576084137,0.0986652821302414,1.7495896816253662,1.8983222246170044,5.846981048583984,1.8983222246170044,5.846981048583984,0.0,0.0,0.0,True
23,0,0.19309180974960327,0.7356019616127014,0.11470483243465424,0.09717992693185806,1.713614821434021,1.8787846565246582,6.088067054748535,1.8787846565246582,6.088067054748535,0.0,0.0,0.0,True
24,0,0.19691696763038635,0.7365406155586243,0.11401263624429703,0.09710768610239029,1.6696444749832153,1.8411043882369995,6.195398330688477,1.8411043882369995,6.195398330688477,0.0,0.0,0.0,True
25,0,0.20840126276016235,0.7366302013397217,0.11446663737297058,0.09697260707616806,1.6527498960494995,1.8991644382476807,6.153973579406738,1.8991644382476807,6.153973579406738,0.0,0.0,0.0,True
