step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,-0.011867808178067207,0.8015872836112976,0.11086499691009521,0.0827726274728775,1.631770372390747,1.0004903078079224,3.5065627098083496,1.0004903078079224,3.5065627098083496,0.031941354274749756,0.0,0.0,True
1,0,0.12988412380218506,0.7958307862281799,0.10483720153570175,0.09006046503782272,1.6499117612838745,1.1078037023544312,4.310482501983643,1.1078037023544312,4.310482501983643,0.40323522686958313,0.0,0.0,True
2,0,0.15375834703445435,0.7946410775184631,0.10093392431735992,0.09603235125541687,1.540926218032837,1.1989151239395142,5.074526309967041,1.1989151239395142,5.074526309967041,0.2931719720363617,0.0,0.0,True
3,0,0.15919537842273712,0.792515754699707,0.10256864875555038,0.10228118300437927,1.487849235534668,1.23060941696167,5.483201503753662,1.23060941696167,5.483201503753662,0.23935507237911224,0.0,0.0,True
4,0,0.15442390739917755,0.7885868549346924,0.10866729170084,0.10682152211666107,1.5243628025054932,1.3361388444900513,5.651613712310791,1.3361388444900513,5.651613712310791,0.2337949573993683,0.0,0.0,True
5,0,0.13204996287822723,0.7816879153251648,0.11601521074771881,0.10959896445274353,1.4895042181015015,1.5339229106903076,6.6803202629089355,1.5339229106903076,6.6803202629089355,0.24355973303318024,0.0,0.0,True
6,0,0.15427713096141815,0.7721787691116333,0.12487038969993591,0.11241795867681503,1.4775036573410034,1.6309891939163208,7.181219577789307,1.6309891939163208,7.181219577789307,0.3756418526172638,0.0,0.0,True
7,0,0.15854206681251526,0.7646490931510925,0.1317579448223114,0.11370644718408585,1.5380840301513672,1.7435646057128906,7.2136383056640625,1.7435646057128906,7.2136383056640625,0.3938958942890167,0.0,0.0,True
8,0,0.16214023530483246,0.7578293085098267,0.1356341391801834,0.11503566801548004,1.5873868465423584,1.8405650854110718,7.090870380401611,1.8405650854110718,7.090870380401611,0.3133009970188141,0.0,0.0,True
9,0,0.1695936918258667,0.7525082230567932,0.13687221705913544,0.11575555801391602,1.6146271228790283,1.8942240476608276,6.998274326324463,1.8942240476608276,6.998274326324463,0.2854214608669281,0.0,0.0,True
10,0,0.17432469129562378,0.7485644221305847,0.1367076188325882,0.11559459567070007,1.6327532529830933,1.8987083435058594,6.864553928375244,1.8987083435058594,6.864553928375244,0.2531900703907013,0.0,0.0,True
11,0,0.18357133865356445,0.7461664080619812,0.13625164330005646,0.11465756595134735,1.6504974365234375,1.8967078924179077,6.607265949249268,1.8967078924179077,6.607265949249268,0.2096656709909439,0.0,0.0,True
12,0,0.18804003298282623,0.7448132634162903,0.1359449028968811,0.11318276822566986,1.6674177646636963,1.922263264656067,6.33041524887085,1.922263264656067,6.33041524887085,0.1935107558965683,0.0,0.0,True
13,0,0.19184155762195587,0.7441847324371338,0.13597917556762695,0.1113368347287178,1.678980827331543,1.9468278884887695,6.101873397827148,1.9468278884887695,6.101873397827148,0.17201100289821625,0.0,0.0,True
14,0,0.1922316551208496,0.7441611289978027,0.13641084730625153,0.1092563197016716,1.6820275783538818,1.95889151096344,6.204427719116211,1.95889151096344,6.204427719116211,0.14647825062274933,0.0,0.0,True
15,0,0.1940104365348816,0.7446965575218201,0.13706830143928528,0.10711193829774857,1.6774746179580688,1.9713937044143677,6.322902202606201,1.9713937044143677,6.322902202606201,0.1531941443681717,0.0,0.0,True
16,0,0.1970263123512268,0.7455816268920898,0.13771852850914001,0.105039581656456,1.668223261833191,1.986443281173706,6.439574241638184,1.986443281173706,6.439574241638184,0.1547146737575531,0.0,0.0,True
17,0,0.20121930539608002,0.7466434240341187,0.13815152645111084,0.10315556824207306,1.6544874906539917,2.0012388229370117,6.521620750427246,2.0012388229370117,6.521620750427246,0.15164992213249207,0.0,0.0,True
18,0,0.20617403090000153,0.7477338910102844,0.1382576823234558,0.10152528434991837,1.6367148160934448,2.012016534805298,6.554695129394531,2.012016534805298,6.554695129394531,0.14837627112865448,0.0,0.0,True
19,0,0.2103329598903656,0.7486814856529236,0.13800306618213654,0.10020770132541656,1.617864966392517,2.0196518898010254,6.537365913391113,2.0196518898010254,6.537365913391113,0.1456744223833084,0.0,0.0,True
20,0,0.21246831119060516,0.7493393421173096,0.1374453455209732,0.09924741089344025,1.6014512777328491,2.0242726802825928,6.475767135620117,2.0242726802825928,6.475767135620117,0.14239299297332764,0.0,0.0,True
21,0,0.2131781131029129,0.7495729327201843,0.1367271989583969,0.09868531674146652,1.5899372100830078,2.0255348682403564,6.37197732925415,2.0255348682403564,6.37197732925415,0.1386421173810959,0.0,0.0,True
22,0,0.21282704174518585,0.7492831945419312,0.13604268431663513,0.09852418303489685,1.5846281051635742,2.024042844772339,6.241570472717285,2.024042844772339,6.241570472717285,0.13502413034439087,0.0,0.0,True
23,0,0.21180841326713562,0.7484446167945862,0.13560998439788818,0.09870447963476181,1.5862284898757935,2.0210955142974854,6.09579610824585,2.0210955142974854,6.09579610824585,0.13323019444942474,0.0,0.0,True
24,0,0.21128597855567932,0.7471204996109009,0.13549304008483887,0.0991513580083847,1.5937758684158325,2.0178093910217285,5.9506964683532715,2.0178093910217285,5.9506964683532715,0.13226915895938873,0.0,0.0,True
25,0,0.21208737790584564,0.745441198348999,0.13566091656684875,0.09976494312286377,1.6052461862564087,2.0142409801483154,5.817800521850586,2.0142409801483154,5.817800521850586,0.13115639984607697,0.0,0.0,True
26,0,0.21320098638534546,0.7435877323150635,0.1360054612159729,0.10045349597930908,1.6182001829147339,2.0110645294189453,5.702488899230957,2.0110645294189453,5.702488899230957,0.13145726919174194,0.0,0.0,True
27,0,0.2136898934841156,0.7417130470275879,0.13638633489608765,0.10113734006881714,1.6308434009552002,2.006953001022339,5.606390476226807,2.006953001022339,5.606390476226807,0.1326534003019333,0.0,0.0,True
28,0,0.21392174065113068,0.7399037480354309,0.13676467537879944,0.10178690403699875,1.643394112586975,2.0005953311920166,5.5303449630737305,2.0005953311920166,5.5303449630737305,0.13392658531665802,0.0,0.0,True
29,0,0.21508239209651947,0.7381820678710938,0.13706137239933014,0.10236206650733948,1.6562345027923584,1.9931567907333374,5.4739274978637695,1.9931567907333374,5.4739274978637695,0.13580678403377533,0.0,0.0,True
30,0,0.21522733569145203,0.7365456819534302,0.13727962970733643,0.10286262631416321,1.6691229343414307,1.9855067729949951,5.4351277351379395,1.9855067729949951,5.4351277351379395,0.13693490624427795,0.0,0.0,True
31,0,0.21493178606033325,0.7350080013275146,0.1374225616455078,0.10329021513462067,1.6812936067581177,1.9773732423782349,5.4112324714660645,1.9773732423782349,5.4112324714660645,0.1393776386976242,0.0,0.0,True
32,0,0.2146780639886856,0.7335888147354126,0.13742445409297943,0.10363062471151352,1.6915918588638306,1.9679163694381714,5.395207405090332,1.9679163694381714,5.395207405090332,0.14009399712085724,0.0,0.0,True
33,0,0.2146504819393158,0.7323008179664612,0.13737249374389648,0.10392272472381592,1.700042486190796,1.956742525100708,5.383116722106934,1.956742525100708,5.383116722106934,0.14117823541164398,0.0,0.0,True
34,0,0.21499821543693542,0.7311365604400635,0.1371762752532959,0.10415424406528473,1.7067010402679443,1.943652629852295,5.376597881317139,1.943652629852295,5.376597881317139,0.14182214438915253,0.0,0.0,True
35,0,0.2153780460357666,0.7300796508789062,0.13690508902072906,0.10436755418777466,1.712052583694458,1.9289835691452026,5.377381324768066,1.9289835691452026,5.377381324768066,0.14149092137813568,0.0,0.0,True
36,0,0.21755993366241455,0.7291123270988464,0.1366722732782364,0.10461827367544174,1.717098355293274,1.9125185012817383,5.384025573730469,1.9125185012817383,5.384025573730469,0.13984504342079163,0.0,0.0,True
37,0,0.2177344113588333,0.7282212972640991,0.1363828331232071,0.10488585382699966,1.7205491065979004,1.894289255142212,5.393525123596191,1.894289255142212,5.393525123596191,0.13955514132976532,0.0,0.0,True
38,0,0.21782419085502625,0.7274274230003357,0.13618458807468414,0.10518778860569,1.7229949235916138,1.8739722967147827,5.4351372718811035,1.8739722967147827,5.4351372718811035,0.13787499070167542,0.0,0.0,True
39,0,0.21790854632854462,0.7267534732818604,0.1359228938817978,0.10544956475496292,1.7244454622268677,1.8512489795684814,5.4963812828063965,1.8512489795684814,5.4963812828063965,0.13617169857025146,0.0,0.0,True
40,0,0.21778270602226257,0.7261925935745239,0.13573436439037323,0.10570956766605377,1.7247706651687622,1.8277270793914795,5.555733680725098,1.8277270793914795,5.555733680725098,0.13504265248775482,0.0,0.0,True
41,0,0.2171739935874939,0.7257057428359985,0.13556337356567383,0.10586242377758026,1.724074363708496,1.8039742708206177,5.607848644256592,1.8039742708206177,5.607848644256592,0.13068628311157227,0.0,0.0,True
42,0,0.21532857418060303,0.7252229452133179,0.13541053235530853,0.10595686733722687,1.7235503196716309,1.7893139123916626,5.651185035705566,1.7893139123916626,5.651185035705566,0.12615494430065155,0.0,0.0,True
43,0,0.21846908330917358,0.7246497869491577,0.1353297084569931,0.1058926060795784,1.722160816192627,1.7811647653579712,5.681996822357178,1.7811647653579712,5.681996822357178,0.11755376309156418,0.0,0.0,True
44,0,0.21858763694763184,0.7239044308662415,0.13532379269599915,0.10579480230808258,1.7215989828109741,1.7768981456756592,5.70659875869751,1.7768981456756592,5.70659875869751,0.10820801556110382,0.0,0.0,True
45,0,0.21786396205425262,0.7229405641555786,0.13543827831745148,0.10560034215450287,1.721445083618164,1.7695831060409546,5.717724323272705,1.7695831060409546,5.717724323272705,0.1168077290058136,0.0,0.0,True
46,0,0.21700161695480347,0.7217313051223755,0.13569748401641846,0.10529971122741699,1.7217612266540527,1.7600494623184204,5.706434726715088,1.7600494623184204,5.706434726715088,0.14124466478824615,0.0,0.0,True
47,0,0.21671172976493835,0.7202786803245544,0.1360909342765808,0.10502833127975464,1.7233701944351196,1.7473589181900024,5.67648458480835,1.7473589181900024,5.67648458480835,0.15947721898555756,0.0,0.0,True
48,0,0.2166716605424881,0.7186087965965271,0.13645978271961212,0.10454510897397995,1.7242777347564697,1.7372881174087524,5.625699520111084,1.7372881174087524,5.625699520111084,0.17423586547374725,0.0,0.0,True
49,0,0.21726566553115845,0.7167348265647888,0.1370062679052353,0.10436047613620758,1.725791335105896,1.728122353553772,5.561990261077881,1.728122353553772,5.561990261077881,0.18494220077991486,0.0,0.0,True
