step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,0.11374900490045547,0.8282853364944458,0.053205545991659164,0.0216200090944767,1.8256994485855103,1.0534671545028687,3.254328489303589,1.0534671545028687,3.254328489303589,0.0,0.0,0.0,True
1,0,0.174788698554039,0.8182120323181152,0.06721285730600357,0.029783088713884354,1.9181151390075684,1.3971529006958008,4.920572757720947,1.3971529006958008,4.920572757720947,0.0,0.0,0.0,True
2,0,0.18093301355838776,0.8071893453598022,0.0858173593878746,0.04404458403587341,1.8315109014511108,1.5113526582717896,5.248942852020264,1.5113526582717896,5.248942852020264,0.0,0.0,0.0,True
3,0,0.1789449006319046,0.7938808798789978,0.1086745485663414,0.06086497753858566,1.8076989650726318,1.4680570363998413,4.841721534729004,1.4680570363998413,4.841721534729004,0.0,0.0,0.0,True
4,0,0.17675182223320007,0.785193681716919,0.12486278265714645,0.07257837057113647,1.6748077869415283,1.5006446838378906,4.680874347686768,1.5006446838378906,4.680874347686768,0.0,0.0,0.0,True
5,0,0.17839473485946655,0.7794637680053711,0.13092942535877228,0.07857038080692291,1.5452191829681396,1.7690832614898682,5.891514301300049,1.7690832614898682,5.891514301300049,0.0,0.0,0.0,True
6,0,0.18285472691059113,0.7757349014282227,0.132676362991333,0.0797300785779953,1.546831488609314,1.8340861797332764,6.045562744140625,1.8340861797332764,6.045562744140625,0.0,0.0,0.0,True
7,0,0.18327853083610535,0.7730174660682678,0.13247163593769073,0.07971638441085815,1.5292296409606934,1.901997447013855,6.105583190917969,1.901997447013855,6.105583190917969,0.0,0.0,0.0,True
8,0,0.184703066945076,0.7665841579437256,0.1329735815525055,0.08162878453731537,1.5265413522720337,1.8912945985794067,6.058903694152832,1.8912945985794067,6.058903694152832,0.0,0.0,0.0,True
9,0,0.18588250875473022,0.7585955858230591,0.1330035924911499,0.08534018695354462,1.5834168195724487,1.914564847946167,5.780860424041748,1.914564847946167,5.780860424041748,0.0,0.0,0.0,True
10,0,0.1889004409313202,0.7512466907501221,0.1313237100839615,0.08912113308906555,1.621980905532837,1.9950125217437744,5.53911018371582,1.9950125217437744,5.53911018371582,0.0,0.0,0.0,True
11,0,0.18999595940113068,0.7442946434020996,0.12908492982387543,0.09289387613534927,1.6978038549423218,2.0451536178588867,5.519783020019531,2.0451536178588867,5.519783020019531,0.0,0.0,0.0,True
12,0,0.1900198608636856,0.7389763593673706,0.1268325299024582,0.09579876810312271,1.74186110496521,2.026427745819092,5.4301838874816895,2.026427745819092,5.4301838874816895,0.0,0.0,0.0,True
13,0,0.18787628412246704,0.7368097901344299,0.1232929453253746,0.09659366309642792,1.7608650922775269,2.187333106994629,5.576664447784424,2.187333106994629,5.576664447784424,0.0,0.0,0.0,True
14,0,0.18449757993221283,0.7348742485046387,0.12041646987199783,0.09779973328113556,1.8108093738555908,2.253035545349121,5.735536098480225,2.253035545349121,5.735536098480225,0.0,0.0,0.0,True
