step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,0.08963929861783981,0.8330988883972168,0.04360738769173622,0.021489087492227554,1.5813966989517212,1.0229836702346802,3.208893060684204,1.0229836702346802,3.208893060684204,0.07401961833238602,0.0,0.0,True
1,0,0.08906757086515427,0.825847864151001,0.05756508558988571,0.03369465470314026,1.6201770305633545,1.2160590887069702,4.2502851486206055,1.2160590887069702,4.2502851486206055,0.4670432209968567,0.0,0.0,True
2,0,0.08861538022756577,0.8136743903160095,0.07370147109031677,0.045959632843732834,1.5195903778076172,1.2247953414916992,4.539872646331787,1.2247953414916992,4.539872646331787,0.42832717299461365,0.0,0.0,True
3,0,0.08805166929960251,0.7988966703414917,0.09043948352336884,0.059375837445259094,1.469775915145874,1.2788552045822144,4.654251575469971,1.2788552045822144,4.654251575469971,0.31370818614959717,0.0,0.0,True
4,0,0.08730915933847427,0.7882615923881531,0.103706493973732,0.07000041753053665,1.4845787286758423,1.3312307596206665,4.5858001708984375,1.3312307596206665,4.5858001708984375,0.2523218095302582,0.0,0.0,True
5,0,0.08582768589258194,0.7800213694572449,0.11445102095603943,0.07710123062133789,1.456036925315857,1.50143301486969,5.488528728485107,1.50143301486969,5.488528728485107,0.22858694195747375,0.0,0.0,True
6,0,0.08627583086490631,0.7738213539123535,0.12250202894210815,0.08131138235330582,1.4774479866027832,1.6000721454620361,6.116266250610352,1.6000721454620361,6.116266250610352,0.36445361375808716,0.0,0.0,True
7,0,0.0868908241391182,0.7676495313644409,0.12791360914707184,0.08450913429260254,1.5329302549362183,1.7211618423461914,6.258428573608398,1.7211618423461914,6.258428573608398,0.2933088541030884,0.0,0.0,True
8,0,0.08926523476839066,0.7606059312820435,0.13014720380306244,0.08774160593748093,1.5752099752426147,1.8298225402832031,6.133266448974609,1.8298225402832031,6.133266448974609,0.2788620889186859,0.0,0.0,True
9,0,0.09090925008058548,0.7537728548049927,0.12990431487560272,0.09051227569580078,1.6137890815734863,1.9044562578201294,6.029474258422852,1.9044562578201294,6.029474258422852,0.264336496591568,0.0,0.0,True
10,0,0.09347401559352875,0.7476704120635986,0.12820973992347717,0.09264720976352692,1.6586978435516357,1.969530463218689,5.940456390380859,1.969530463218689,5.940456390380859,0.2525974214076996,0.0,0.0,True
11,0,0.09585556387901306,0.743497908115387,0.12602247297763824,0.09402431547641754,1.7095009088516235,1.9986462593078613,5.739310264587402,1.9986462593078613,5.739310264587402,0.25635769963264465,0.0,0.0,True
12,0,0.09976457804441452,0.7404778003692627,0.12351509928703308,0.09506268799304962,1.7512340545654297,2.0186753273010254,5.615834712982178,2.0186753273010254,5.615834712982178,0.27474066615104675,0.0,0.0,True
13,0,0.10026054829359055,0.7383548021316528,0.1207573264837265,0.09581072628498077,1.7745496034622192,2.025852918624878,5.592716217041016,2.025852918624878,5.592716217041016,0.2787412703037262,0.0,0.0,True
