step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,0.11590059846639633,0.03999999910593033,0.005285243038088083,0.937735378742218,1.0801570415496826,3.1622183322906494,1.1705169677734375,3.1622183322906494,1.2041010856628418,2.7583487033843994,0.0,0.0,1.0801570415496826,3.1622183322906494,0.0,0.8286883234977722,2,0.05476530268788338,0.022096695378422737,1.8646304607391357
1,0,0.14414164423942566,0.05999999865889549,0.0066221849992871284,0.6241891980171204,1.2859702110290527,3.919883966445923,1.4089735746383667,3.919883966445923,2.3660011291503906,3.919883966445923,0.0,0.0,1.2859702110290527,3.919883966445923,0.0,0.817004919052124,3,0.0739733874797821,0.03231881186366081,2.0738089084625244
2,0,0.16123729944229126,0.07999999821186066,0.006957742851227522,0.7709882855415344,1.5703743696212769,4.789147853851318,1.7256622314453125,4.789147853851318,3.3478713035583496,4.789147853851318,0.0,0.0,1.5703743696212769,4.789147853851318,0.0,0.8041834831237793,4,0.08617784082889557,0.04393697902560234,1.9372596740722656
3,0,0.1758907586336136,0.09999999403953552,0.007348726503551006,0.7283964157104492,1.7214579582214355,4.730595588684082,1.6430989503860474,4.730595588684082,3.3117516040802,4.730595588684082,0.0,0.0,1.7214579582214355,4.730595588684082,0.0,0.7913119792938232,5,0.09863953292369843,0.05800241976976395,1.6750164031982422
4,0,0.18082275986671448,0.11999999731779099,0.006391795817762613,0.5324904322624207,1.6200941801071167,4.388199329376221,1.4606537818908691,4.388199329376221,2.990323543548584,4.388199329376221,0.0,0.0,1.6200941801071167,4.388199329376221,0.0,0.7866345643997192,6,0.11096763610839844,0.06602948904037476,1.762009859085083
5,0,0.17590275406837463,0.14000000059604645,0.005994224455207586,0.5157645344734192,1.8246723413467407,5.200568675994873,1.7255637645721436,5.200568675994873,3.7958080768585205,5.200568675994873,0.0,0.0,1.8246723413467407,5.200568675994873,0.0,0.7856012582778931,7,0.12066825479269028,0.07334235310554504,1.638154149055481
6,0,0.1830260455608368,0.1599999964237213,0.005330769345164299,0.3322919011116028,1.8168584108352661,5.810209274291992,1.7003223896026611,5.810209274291992,4.030686855316162,5.810209274291992,0.0,0.0,1.8168584108352661,5.810209274291992,0.0,0.7813793420791626,8,0.12887364625930786,0.08013816177845001,1.6283913850784302
7,0,0.18166100978851318,0.17999999225139618,0.004695969633758068,0.36204707622528076,1.8427196741104126,6.015586853027344,1.7106457948684692,6.015586853027344,4.126056671142578,6.015586853027344,0.0,0.0,1.8427196741104126,6.015586853027344,0.0,0.7737805247306824,9,0.13747632503509521,0.08626876771450043,1.6445271968841553
8,0,0.18185359239578247,0.19999998807907104,0.004412430338561535,0.3612897992134094,1.9032893180847168,5.8758625984191895,1.786017656326294,5.8758625984191895,4.30002498626709,5.8758625984191895,0.0,0.0,1.9032893180847168,5.8758625984191895,0.0,0.7664303779602051,10,0.14387282729148865,0.08977098762989044,1.6839981079101562
9,0,0.18379631638526917,0.2199999988079071,0.0037674305494874716,0.2884143590927124,1.8943054676055908,5.768361568450928,1.7736001014709473,5.768361568450928,4.12547492980957,5.768361568450928,0.0,0.0,1.8943054676055908,5.768361568450928,0.0,0.7606253027915955,11,0.14793841540813446,0.09150227904319763,1.6756082773208618
10,0,0.1795233190059662,0.23999999463558197,0.0036326474510133266,0.3726158142089844,2.0391523838043213,5.4055047035217285,1.985392451286316,5.4055047035217285,4.786226272583008,5.4055047035217285,0.0,0.0,2.0391523838043213,5.4055047035217285,0.0,0.7558078765869141,12,0.15044966340065002,0.09283377230167389,1.6461414098739624
11,0,0.18492324650287628,0.25999999046325684,0.003423532238230109,0.3502766489982605,2.111257791519165,5.2697858810424805,2.048123836517334,5.2697858810424805,4.774659156799316,5.2697858810424805,0.0,0.0,2.111257791519165,5.2697858810424805,0.0,0.7502390146255493,13,0.150568425655365,0.09442450106143951,1.6692469120025635
