step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,0.008313286118209362,0.03999999910593033,0.005285243038088083,0.8893747329711914,1.0229836702346802,3.208893060684204,1.1265939474105835,3.208893060684204,1.3095526695251465,2.7320048809051514,0.0,0.0,1.0229836702346802,3.208893060684204,0.0,0.8330988883972168,2,0.04360738769173622,0.021489087492227554,1.5813966989517212
1,0,0.1432863473892212,0.05999999865889549,0.0066221849992871284,0.3489481806755066,1.2160590887069702,4.2502851486206055,1.285028100013733,4.2502851486206055,2.14309024810791,4.2502851486206055,0.0,0.0,1.2160590887069702,4.2502851486206055,0.0,0.825847864151001,3,0.05756508558988571,0.03369465470314026,1.6201770305633545
2,0,0.1509724110364914,0.07999999821186066,0.006957742851227522,0.3249295651912689,1.2247953414916992,4.539872646331787,1.2179105281829834,4.539872646331787,2.3664259910583496,4.539872646331787,0.0,0.0,1.2247953414916992,4.539872646331787,0.0,0.8136743903160095,4,0.07370147109031677,0.045959632843732834,1.5195903778076172
3,0,0.1611001044511795,0.09999999403953552,0.007348726503551006,0.28872719407081604,1.2788552045822144,4.654251575469971,1.2118840217590332,4.654251575469971,2.392223834991455,4.654251575469971,0.0,0.0,1.2788552045822144,4.654251575469971,0.0,0.7988966703414917,5,0.09043948352336884,0.059375837445259094,1.469775915145874
4,0,0.1595914363861084,0.11999999731779099,0.006391795817762613,0.2572854459285736,1.3312307596206665,4.5858001708984375,1.2106112241744995,4.5858001708984375,2.501535415649414,4.5858001708984375,0.0,0.0,1.3312307596206665,4.5858001708984375,0.0,0.7882615923881531,6,0.103706493973732,0.07000041753053665,1.4845787286758423
5,0,0.127132847905159,0.14000000059604645,0.005994224455207586,0.441147118806839,1.50143301486969,5.488528728485107,1.2939525842666626,5.488528728485107,3.133273124694824,5.488528728485107,0.0,0.0,1.50143301486969,5.488528728485107,0.0,0.7800213694572449,7,0.11445102095603943,0.07710123062133789,1.456036925315857
6,0,0.15639814734458923,0.1599999964237213,0.005330769345164299,0.3690894842147827,1.6000721454620361,6.116266250610352,1.3408809900283813,6.116266250610352,3.2745323181152344,6.116266250610352,0.0,0.0,1.6000721454620361,6.116266250610352,0.0,0.7738213539123535,8,0.12250202894210815,0.08131138235330582,1.4774479866027832
7,0,0.16229110956192017,0.17999999225139618,0.004695969633758068,0.27838385105133057,1.7211618423461914,6.258428573608398,1.4512532949447632,6.258428573608398,3.3505938053131104,6.258428573608398,0.0,0.0,1.7211618423461914,6.258428573608398,0.0,0.7676495313644409,9,0.12791360914707184,0.08450913429260254,1.5329302549362183
8,0,0.167789489030838,0.19999998807907104,0.004412430338561535,0.25247451663017273,1.8298225402832031,6.133266448974609,1.5802137851715088,6.133266448974609,3.560952663421631,6.133266448974609,0.0,0.0,1.8298225402832031,6.133266448974609,0.0,0.7606059312820435,10,0.13014720380306244,0.08774160593748093,1.5752099752426147
9,0,0.17285853624343872,0.2199999988079071,0.0037674305494874716,0.2607974112033844,1.9044562578201294,6.029474258422852,1.6598248481750488,6.029474258422852,3.718505382537842,6.029474258422852,0.0,0.0,1.9044562578201294,6.029474258422852,0.0,0.7537728548049927,11,0.12990431487560272,0.09051227569580078,1.6137890815734863
10,0,0.18088427186012268,0.23999999463558197,0.0036326474510133266,0.2556873857975006,1.969530463218689,5.940456390380859,1.725419521331787,5.940456390380859,3.8178133964538574,5.940456390380859,0.0,0.0,1.969530463218689,5.940456390380859,0.0,0.7476704120635986,12,0.12820973992347717,0.09264720976352692,1.6586978435516357
11,0,0.18982075154781342,0.25999999046325684,0.003423532238230109,0.20121532678604126,1.9986462593078613,5.739310264587402,1.733322024345398,5.739310264587402,3.79182505607605,5.739310264587402,0.0,0.0,1.9986462593078613,5.739310264587402,0.0,0.743497908115387,13,0.12602247297763824,0.09402431547641754,1.7095009088516235
12,0,0.20308226346969604,0.2800000011920929,0.003343722317367792,0.14203870296478271,2.0186753273010254,5.615834712982178,1.7584755420684814,5.615834712982178,3.732065200805664,5.615834712982178,0.0,0.0,2.0186753273010254,5.615834712982178,0.0,0.7404778003692627,14,0.12351509928703308,0.09506268799304962,1.7512340545654297
13,0,0.20283423364162445,0.29999998211860657,0.003323792479932308,0.12126598507165909,2.025852918624878,5.592716217041016,1.7872040271759033,5.592716217041016,3.6857924461364746,5.592716217041016,0.0,0.0,2.025852918624878,5.592716217041016,0.0,0.7383548021316528,15,0.1207573264837265,0.09581072628498077,1.7745496034622192
14,0,0.20216913521289825,0.3199999928474426,0.0034143475349992514,0.10574217885732651,2.0234317779541016,5.671044826507568,1.8022501468658447,5.671044826507568,3.651069164276123,5.671044826507568,0.0,0.0,2.0234317779541016,5.671044826507568,0.0,0.737335205078125,16,0.11775530874729156,0.09620153903961182,1.7812618017196655
15,0,0.20679359138011932,0.3400000035762787,0.0034899346064776182,0.08458907902240753,2.020660400390625,5.770820617675781,1.8040885925292969,5.770820617675781,3.605442523956299,5.770820617675781,0.0,0.0,2.020660400390625,5.770820617675781,0.0,0.7373582720756531,17,0.11458639800548553,0.0962720587849617,1.7758688926696777
16,0,0.21236006915569305,0.35999998450279236,0.0036611463874578476,0.0710863247513771,2.015026330947876,5.817686080932617,1.7963545322418213,5.817686080932617,3.5535924434661865,5.817686080932617,0.0,0.0,2.015026330947876,5.817686080932617,0.0,0.7380768656730652,18,0.11138255149126053,0.09615658223628998,1.7623116970062256
17,0,0.21599455177783966,0.3799999952316284,0.003913079388439655,0.06464634835720062,1.9966548681259155,5.8034749031066895,1.773813009262085,5.8034749031066895,3.4861044883728027,5.8034749031066895,0.0,0.0,1.9966548681259155,5.8034749031066895,0.0,0.7392244338989258,19,0.10833195596933365,0.09597498178482056,1.7395488023757935
18,0,0.21653154492378235,0.3999999761581421,0.004047789145261049,0.07529979199171066,1.9692933559417725,5.752830982208252,1.7447618246078491,5.752830982208252,3.416320323944092,5.752830982208252,0.0,0.0,1.9692933559417725,5.752830982208252,0.0,0.740578830242157,20,0.10557842254638672,0.09570826590061188,1.7095894813537598
19,0,0.21794892847537994,0.41999998688697815,0.004546689800918102,0.07975427806377411,1.941685438156128,5.698095321655273,1.715406060218811,5.698095321655273,3.350902557373047,5.698095321655273,0.0,0.0,1.941685438156128,5.698095321655273,0.0,0.7420046329498291,21,0.10335075110197067,0.0953732430934906,1.6773515939712524
20,0,0.22220396995544434,0.4399999976158142,0.004740994889289141,0.0680539682507515,1.926039457321167,5.651224613189697,1.6979939937591553,5.651224613189697,3.3310084342956543,5.651224613189697,0.0,0.0,1.926039457321167,5.651224613189697,0.0,0.743351936340332,22,0.101820208132267,0.0950259119272232,1.6471563577651978
21,0,0.22584478557109833,0.4599999785423279,0.005142848938703537,0.05349687114357948,1.9123122692108154,5.612191677093506,1.6771395206451416,5.612191677093506,3.2916717529296875,5.612191677093506,0.0,0.0,1.9123122692108154,5.612191677093506,0.0,0.7444344758987427,23,0.1010810062289238,0.09481586515903473,1.6226171255111694
