step,done,reward,motion_time,ref_dof_delta_l2,current_dof_delta_l2,trainable_policy_action_mean_abs,trainable_policy_action_max_abs,lower_body_action_mean_abs,lower_body_action_max_abs,ankle_action_mean_abs,ankle_action_max_abs,frozen_delta_action_mean_abs,frozen_delta_action_max_abs,final_action_mean_abs,final_action_max_abs,action_clip_frac,root_height,episode_length,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm
0,0,-0.008982851170003414,0.03999999910593033,0.005285243038088083,0.8913450241088867,1.0229836702346802,3.208893060684204,1.0687557458877563,3.0085294246673584,1.4686424732208252,2.6467831134796143,0.2778909206390381,1.0039527416229248,1.046534776687622,3.0085294246673584,0.0,0.8316027522087097,2,0.03797309473156929,0.021613311022520065,1.5378378629684448
1,0,0.10942736268043518,0.05999999865889549,0.0066221849992871284,0.6046653389930725,1.2751471996307373,4.197124481201172,1.2968248128890991,3.8181021213531494,2.2061729431152344,3.8181021213531494,0.3673982322216034,1.1170754432678223,1.2375710010528564,3.8181021213531494,0.0,0.822391927242279,3,0.056028008460998535,0.04347594082355499,1.708786129951477
2,0,0.12157777696847916,0.07999999821186066,0.006957742851227522,1.233238697052002,1.3536252975463867,4.806003093719482,1.3544894456863403,4.383908748626709,2.6845431327819824,4.383908748626709,0.4647214412689209,1.1433563232421875,1.3434984683990479,4.383908748626709,0.0,0.8122472763061523,4,0.0868421271443367,0.06693349033594131,1.957875370979309
3,0,0.025518864393234253,0.09999999403953552,0.007348726503551006,0.5396224856376648,1.7118390798568726,4.215133190155029,1.7120225429534912,4.157900333404541,3.112257480621338,4.157900333404541,0.35942184925079346,1.2507908344268799,1.6995093822479248,4.157900333404541,0.0,0.7951276898384094,5,0.11067700386047363,0.07882056385278702,2.0103182792663574
4,0,0.12516482174396515,0.11999999731779099,0.006391795817762613,0.7819948196411133,1.9328006505966187,4.400557518005371,1.989079236984253,4.486174583435059,3.241650104522705,4.486174583435059,0.3012431263923645,1.2400178909301758,2.0400197505950928,4.486174583435059,0.0,0.7896948456764221,6,0.12685933709144592,0.07962237298488617,1.7919361591339111
5,0,0.0268244631588459,0.14000000059604645,0.005994224455207586,0.6039415597915649,1.8135344982147217,5.206862449645996,1.817435383796692,5.175475597381592,3.2071566581726074,5.175475597381592,0.3327302038669586,0.8184470534324646,1.9470908641815186,5.175475597381592,0.0,0.7862101793289185,7,0.1423310786485672,0.08193135261535645,1.7775318622589111
6,0,0.11512840539216995,0.1599999964237213,0.005330769345164299,0.470169335603714,1.8657035827636719,5.927453994750977,1.8575366735458374,5.857090950012207,3.6280620098114014,5.857090950012207,0.23585736751556396,1.1664320230484009,1.9908591508865356,5.857090950012207,0.0,0.7818124890327454,8,0.1628478318452835,0.08847323805093765,1.877750039100647
7,0,0.06380569934844971,0.17999999225139618,0.004695969633758068,0.672690749168396,1.9678138494491577,6.444643497467041,2.0697340965270996,6.394809722900391,4.703041076660156,6.394809722900391,0.31013762950897217,0.7882784605026245,2.131105899810791,6.394809722900391,0.0,0.782019317150116,9,0.1869003027677536,0.09071788191795349,2.153484344482422
8,0,0.09427236020565033,0.19999998807907104,0.004412430338561535,0.40685826539993286,1.9850252866744995,6.359428882598877,1.9390614032745361,6.305273056030273,4.495283603668213,6.305273056030273,0.19655157625675201,0.46410703659057617,2.018822431564331,6.305273056030273,0.0,0.7856974601745605,10,0.2032836675643921,0.09215249121189117,2.232940673828125
9,0,0.08423974364995956,0.2199999988079071,0.0037674305494874716,0.38750508427619934,1.8412442207336426,6.649260997772217,1.629769206047058,6.654131889343262,3.9203193187713623,6.654131889343262,0.16992512345314026,0.8070398569107056,1.8562546968460083,6.654131889343262,0.0,0.7833629846572876,11,0.21061605215072632,0.09237851947546005,2.1343514919281006
10,0,0.08733648806810379,0.23999999463558197,0.0036326474510133266,0.3339965343475342,1.8165596723556519,7.2404375076293945,1.8141634464263916,7.2501726150512695,4.742177963256836,7.2501726150512695,0.27593177556991577,0.822514533996582,1.9647932052612305,7.2501726150512695,0.0,0.7845900654792786,12,0.21709001064300537,0.08960632979869843,2.0965685844421387
11,0,0.08250842988491058,0.25999999046325684,0.003423532238230109,0.3701634705066681,1.81742262840271,7.299081802368164,1.770599126815796,7.243711948394775,4.881639003753662,7.243711948394775,0.21726736426353455,0.6026124954223633,1.8766627311706543,7.243711948394775,0.0,0.7839277982711792,13,0.22370803356170654,0.08994186669588089,1.9599024057388306
12,0,0.08061821758747101,0.2800000011920929,0.003343722317367792,0.424846887588501,1.8490073680877686,7.736154079437256,1.880708932876587,7.710381031036377,5.262414455413818,7.710381031036377,0.19765126705169678,0.6353142261505127,1.8947546482086182,7.710381031036377,0.0,0.7820706367492676,14,0.2301650494337082,0.08863060921430588,1.8808588981628418
13,0,0.0990687757730484,0.29999998211860657,0.003323792479932308,0.3041691482067108,1.8809510469436646,7.706070899963379,1.97637939453125,7.652869701385498,5.415975093841553,7.652869701385498,0.18368884921073914,0.7220660448074341,1.881590485572815,7.652869701385498,0.0,0.7812085151672363,15,0.2342766523361206,0.08593364804983139,1.8101004362106323
14,0,0.10681015998125076,0.3199999928474426,0.0034143475349992514,0.44380295276641846,1.8386749029159546,8.086735725402832,2.040767192840576,7.933761119842529,5.06523323059082,7.933761119842529,0.21657638251781464,0.8129681348800659,1.8235135078430176,7.933761119842529,0.0,0.7796041369438171,16,0.23573054373264313,0.08642372488975525,1.7381619215011597
15,0,0.09663943946361542,0.3400000035762787,0.0034899346064776182,0.3569534122943878,1.695959210395813,9.121697425842285,2.015547275543213,9.076404571533203,5.0106520652771,9.076404571533203,0.22304686903953552,0.7776679396629333,1.6766763925552368,9.076404571533203,0.0,0.7791240811347961,17,0.23503421247005463,0.08992283046245575,1.747426152229309
16,0,0.09390157461166382,0.35999998450279236,0.0036611463874578476,0.4342847466468811,1.5439436435699463,8.737045288085938,1.891905665397644,8.631256103515625,4.721282482147217,8.631256103515625,0.22063249349594116,0.6217824816703796,1.5428375005722046,8.631256103515625,0.0,0.7797396779060364,18,0.2359456717967987,0.09378749132156372,1.868485689163208
17,0,0.09085167944431305,0.3799999952316284,0.003913079388439655,0.3397233486175537,1.5926759243011475,9.433538436889648,2.0033504962921143,9.129267692565918,5.082468032836914,9.129267692565918,0.22758924961090088,0.6281293630599976,1.5752344131469727,9.129267692565918,0.0,0.7767328023910522,19,0.23767325282096863,0.09873443841934204,1.991772174835205
18,0,0.06777073442935944,0.3999999761581421,0.004047789145261049,0.33064982295036316,1.7332476377487183,10.96239948272705,2.190997362136841,10.544431686401367,5.310021877288818,10.544431686401367,0.2606670558452606,0.6555814743041992,1.65926992893219,10.544431686401367,0.0,0.7755054831504822,20,0.23933658003807068,0.10395891219377518,2.1565749645233154
19,0,0.046464674174785614,0.41999998688697815,0.004546689800918102,0.2985363304615021,1.938022255897522,12.50841999053955,2.52871036529541,12.074651718139648,5.930157661437988,12.074651718139648,0.29832443594932556,0.8483281135559082,1.8257790803909302,12.074651718139648,0.0,0.7714572548866272,21,0.24094446003437042,0.10894816368818283,2.321556329727173
20,0,0.05153762921690941,0.4399999976158142,0.004740994889289141,0.5161030888557434,2.0405941009521484,11.79824161529541,2.6228532791137695,11.306232452392578,5.902868270874023,11.306232452392578,0.3137657940387726,0.8913624286651611,1.9280608892440796,11.306232452392578,0.0,0.763461172580719,22,0.2429172396659851,0.11568984389305115,2.383236885070801
21,0,-0.14626649022102356,0.4599999785423279,0.005142848938703537,0.5304694175720215,2.0214176177978516,6.044672966003418,2.315481424331665,5.910282135009766,3.659538507461548,5.910282135009766,0.35499459505081177,0.9542849063873291,1.8195840120315552,5.910282135009766,0.0,0.7457166910171509,23,0.24606388807296753,0.12251757830381393,2.5487937927246094
22,0,-0.3702686131000519,0.47999998927116394,0.005603611469268799,1.038405179977417,2.4192304611206055,8.52862548828125,2.908581256866455,8.123368263244629,3.2207682132720947,4.7522664070129395,0.34979531168937683,1.0871671438217163,2.2998604774475098,8.123368263244629,0.0,0.7301602363586426,24,0.2536599636077881,0.12229722738265991,2.7683017253875732
