step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,reset,timeout,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.7769953012466431,0.02869296260178089,0.1304347813129425,121.57206726074219,14.616076469421387,121.57206726074219,14.616076469421387,1,1,0.07859056442975998,2.7764527797698975,0.08060348778963089,-0.04563774913549423,-0.9957009553909302,0.01027757115662098,0.08124598860740662,0.26608991622924805,3.069141149520874,0.04580274224281311,0.08069102466106415,0.5782336592674255,0.7778859734535217,0.0060419961810112,-0.0003310251049697399,0.007330296095460653,0.07477294653654099,3.285478353500366,0.051738105714321136,0.053976356983184814,0.0008451789617538452,2.3941872119903564,2.249122142791748,-0.06070578098297119,0,0,-0.07438384741544724,-5.0965776443481445,0.05791565403342247,0.08512943983078003,10.929862976074219,0.12420298904180527,-0.05529502034187317,-20.839256286621094,0.23680973052978516,0.04851379990577698,-6.743786811828613,0.04851645231246948,0.1157367080450058,2.34904408454895,0.046980880200862885,-0.02275516837835312,-0.1899639219045639,0.00379927852191031
2,0.03999999910593033,0.5396571755409241,0.03972817212343216,0.0,575.989990234375,15.05115795135498,575.989990234375,15.05115795135498,1,1,0.062035299837589264,1.91403067111969,0.10381470620632172,-0.018039219081401825,-0.9944332838058472,0.012111667543649673,0.09318415820598602,0.23096057772636414,1.7251132726669312,0.018138213083148003,0.10400209575891495,0.5280255079269409,0.777325451374054,0.016832824796438217,-0.003831923007965088,0.017978385090827942,0.12591375410556793,2.5245139598846436,0.1004343181848526,0.07584385573863983,-0.003863867372274399,2.2203893661499023,1.1760908365249634,0.24464738368988037,0,0,-0.11996863782405853,6.059206962585449,0.06885462254285812,0.0743563324213028,5.329648971557617,0.06056419387459755,-0.037990763783454895,-22.998811721801758,0.2613501250743866,0.05517512559890747,-25.161712646484375,0.18101951479911804,0.09381654858589172,1.7422630786895752,0.0348452627658844,-0.03963765501976013,-0.36366647481918335,0.007273329421877861
3,0.05999999865889549,0.41116756200790405,0.05588538199663162,0.0,240.79226684570312,0.0,240.79226684570312,0.0,1,0,0.02955862134695053,2.697672128677368,0.17768928408622742,-0.021375849843025208,-0.9838542938232422,0.014668322168290615,0.1648460030555725,0.1784730851650238,2.136289596557617,0.021723221987485886,0.17863787710666656,0.5089204907417297,0.7786446809768677,0.025283152237534523,-0.004782592877745628,0.026774993166327477,0.19894064962863922,3.3883752822875977,0.16647377610206604,0.10800227522850037,-0.014119870960712433,3.003685235977173,1.5671648979187012,0.05436581373214722,0,0,-0.13906992971897125,14.954730033874512,0.16994011402130127,0.08925051987171173,6.734741687774658,0.07653115689754486,-0.02758064866065979,-28.793407440185547,0.3271978199481964,0.0690375566482544,-27.925613403320312,0.20090369880199432,0.037751734256744385,0.3963049650192261,0.007926099002361298,-0.0012017488479614258,0.33638420701026917,0.006727684289216995
4,0.07999999821186066,0.47533807158470154,0.07468075305223465,0.0,34.45235061645508,0.0,34.45235061645508,0.0,1,0,0.08948372304439545,3.261329174041748,0.26549291610717773,-0.0237027108669281,-0.9638214111328125,0.013325524516403675,0.269103467464447,0.10266491770744324,2.9734840393066406,0.024587472900748253,0.26871514320373535,0.46321940422058105,0.7787407636642456,0.031740203499794006,-0.00392894446849823,0.03379121422767639,0.2800082564353943,3.9510185718536377,0.24150709807872772,0.13856279850006104,-0.029652945697307587,3.675128936767578,1.4318797588348389,-0.23172175884246826,0,0,-0.16003412008285522,22.442785263061523,0.25503164529800415,0.10611751675605774,6.838667392730713,0.07771212607622147,-0.01848500967025757,-46.360321044921875,0.5268218517303467,0.08605033159255981,-44.44456481933594,0.3197450637817383,-0.07100559771060944,-0.444268137216568,0.00888536311686039,0.03431585058569908,-0.005629211664199829,0.00011258423182880506
5,0.09999999776482582,0.5289078950881958,0.0979313775897026,0.043478261679410934,24.51603126525879,0.0,24.51603126525879,0.0,1,0,0.4491252601146698,3.599705696105957,0.3512631952762604,-0.015404820442199707,-0.9361499547958374,0.011803138069808483,0.42540132999420166,0.18279235064983368,3.370250940322876,0.016454020515084267,0.3589199185371399,0.3417551517486572,0.7777472138404846,0.03618065267801285,-0.0018599480390548706,0.038752779364585876,0.37056300044059753,4.1658406257629395,0.3313720226287842,0.15874165296554565,-0.048068657517433167,4.090599060058594,0.7555704116821289,-0.22436833381652832,0,0,-0.18706169724464417,32.794612884521484,0.37266606092453003,0.14009211957454681,7.642853736877441,0.0868506133556366,-0.01223437488079071,-69.74468231201172,0.792553186416626,0.09934097528457642,-64.5656967163086,0.46450141072273254,-0.08321283012628555,0.875306248664856,0.017506124451756477,0.030758529901504517,-0.9204188585281372,0.01840837672352791
6,0.11999999731779099,0.5578546524047852,0.12670308351516724,0.043478261679410934,36.84935760498047,0.0,36.84935760498047,0.0,1,0,0.7506694793701172,4.736720085144043,0.44841524958610535,0.010445060208439827,-0.8937641978263855,0.013307561166584492,0.6690627932548523,0.17284627258777618,2.06650710105896,-0.011686062440276146,0.4649915397167206,0.11556031554937363,0.7755860686302185,0.036774374544620514,0.0007513761520385742,0.03967440500855446,0.4696444869041443,5.076377868652344,0.43794769048690796,0.1517442762851715,-0.07577231526374817,5.009480953216553,-0.6390031576156616,-0.5161268711090088,0,0,-0.1854916214942932,34.80760192871094,0.39554092288017273,0.17760923504829407,13.132814407348633,0.1492365300655365,-0.04572835564613342,-74.06875610351562,0.8416904211044312,0.12156885862350464,-60.50947952270508,0.4353199899196625,-0.019019275903701782,2.03406023979187,0.040681205689907074,0.03598616644740105,-0.7677972316741943,0.015355944633483887
7,0.13999999687075615,0.6308982372283936,0.1506514847278595,0.043478261679410934,41.634422302246094,0.0,41.634422302246094,0.0,1,0,0.13476935029029846,4.438902854919434,0.5095259547233582,0.03998570144176483,-0.8595253229141235,0.018797216936945915,0.9007234573364258,0.2665187418460846,2.0854690074920654,-0.04648715257644653,0.5346338152885437,-0.11412928253412247,0.7731109261512756,0.03528263047337532,0.0022607967257499695,0.03828039392828941,0.5409961938858032,4.459652900695801,0.5196679830551147,0.11566804349422455,-0.09614033997058868,3.8950560092926025,-2.1425249576568604,-0.3558497428894043,0,0,-0.186813086271286,26.138532638549805,0.2970287799835205,0.2217077910900116,22.159645080566406,0.2518141567707062,-0.0735139399766922,-57.75070571899414,0.6562580466270447,0.14099091291427612,-44.776947021484375,0.3221363127231598,0.012555353343486786,1.731466293334961,0.034629326313734055,0.026648957282304764,-0.6489940285682678,0.012979880906641483
8,0.1599999964237213,0.7218931317329407,0.16623495519161224,0.0,66.78893280029297,0.0,66.78893280029297,0.0,1,0,0.19340156018733978,3.7269186973571777,0.5479287505149841,0.0631149485707283,-0.8341408371925354,0.02254682220518589,1.0735301971435547,0.272236168384552,1.2425059080123901,-0.07552073150873184,0.5798861980438232,-0.2880288064479828,0.771624743938446,0.03158007562160492,0.0015491470694541931,0.03452775254845619,0.5836953520774841,3.5632877349853516,0.5684970617294312,0.07281617820262909,-0.11049501597881317,2.48087739944458,-2.540865421295166,-0.2937164306640625,0,0,-0.1908637285232544,17.346006393432617,0.19711370766162872,0.25355568528175354,23.468368530273438,0.26668599247932434,-0.09427587687969208,-44.963924407958984,0.5109536647796631,0.13787055015563965,-30.84186553955078,0.22188392281532288,-0.004932329058647156,0.5579807758331299,0.011159615591168404,0.02639620751142502,-0.3291822075843811,0.006583644077181816
9,0.17999999597668648,0.7898401021957397,0.1762496381998062,0.0,48.577354431152344,0.0,48.577354431152344,0.0,1,0,0.34562546014785767,3.4029598236083984,0.5837814211845398,0.08049815893173218,-0.8079103231430054,0.0261540524661541,1.2121437788009644,0.18738199770450592,1.8399553298950195,-0.09930971264839172,0.6233783960342407,-0.42313602566719055,0.7703016400337219,0.02728705294430256,-0.0012863203883171082,0.029822561889886856,0.611080527305603,3.1604831218719482,0.5981731414794922,0.023599017411470413,-0.12268416583538055,1.533392310142517,-2.7406656742095947,-0.35512399673461914,0,0,-0.1988455057144165,7.606443405151367,0.08643686026334763,0.2565258741378784,22.210174560546875,0.2523883581161499,-0.12133625149726868,-34.530033111572266,0.3923867344856262,0.12539982795715332,-20.46317481994629,0.14721707999706268,-0.020274609327316284,-0.13043944537639618,0.002608788898214698,0.02754119411110878,0.031741976737976074,0.0006348395254462957
10,0.19999999552965164,0.8050035238265991,0.18251395225524902,0.0,174.7236785888672,0.0,174.7236785888672,0.0,1,0,0.2736479341983795,3.0041823387145996,0.606787919998169,0.08958835899829865,-0.7897989749908447,0.028825897723436356,1.3105164766311646,0.14510421454906464,1.8938065767288208,-0.11294906586408615,0.6520133018493652,-0.5192849040031433,0.7689009308815002,0.024444565176963806,-0.0048768483102321625,0.025843627750873566,0.6192421317100525,2.6585731506347656,0.6065160036087036,-0.0208866149187088,-0.12313780188560486,0.4156283736228943,-2.6258702278137207,-0.008330881595611572,0,0,-0.21452462673187256,-0.4814434051513672,0.005470947828143835,0.23459407687187195,18.22816276550293,0.20713821053504944,-0.13932636380195618,-25.978748321533203,0.2952130436897278,0.10865390300750732,-14.989742279052734,0.10783987492322922,-0.02277463674545288,-0.29338502883911133,0.005867700558155775,0.0270696971565485,0.2775458097457886,0.0055509163066744804
