step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,reset,timeout,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.7279866933822632,0.018558597192168236,0.043478261679410934,16.56797218322754,19.2971248626709,16.56797218322754,19.2971248626709,1,1,0.4762563407421112,0.23796021938323975,0.013459439389407635,-0.023479612544178963,-0.9996333718299866,0.013955260626971722,0.05145856738090515,0.5655485391616821,2.9726412296295166,0.023483900353312492,0.013459845446050167,0.5702466368675232,0.7800466418266296,0.01151094026863575,-0.00435460451990366,0.011038793250918388,0.01866801269352436,0.27887970209121704,0.013197222724556923,0.011622488498687744,0.006264641880989075,0.20696009695529938,0.17984719574451447,-0.05095481872558594,0,0,-0.05283727869391441,0.04987645149230957,0.0005667778314091265,0.03862135112285614,4.878637313842773,0.0554390586912632,-0.06851355731487274,-9.239087104797363,0.10498962551355362,0.03254470229148865,-7.787193298339844,0.056022971868515015,0.09508399665355682,1.3342593908309937,0.026685187593102455,-0.004322327673435211,0.025362469255924225,0.0005072493804618716
2,0.03999999910593033,0.49714845418930054,0.021675121039152145,0.0,0.0,23.51698875427246,0.0,23.51698875427246,0,1,0.8160406351089478,0.3737732470035553,0.006914129015058279,-0.026606060564517975,-0.9996219873428345,0.01418989896774292,0.06850169599056244,0.5621330142021179,2.858691930770874,0.026609838008880615,0.006914183963090181,0.5801787376403809,0.7793465256690979,0.019240641966462135,-0.0072938608936965466,0.018671715632081032,0.031506553292274475,0.4021976590156555,0.02359093353152275,0.015896260738372803,0.013543989509344101,0.3416123390197754,0.12176886200904846,0.17388594150543213,0,0,-0.07973447442054749,6.153826713562012,0.06992984563112259,0.05755382776260376,6.911040306091309,0.0785345509648323,-0.04474097490310669,-12.666411399841309,0.14393649995326996,0.03660103678703308,-13.609519958496094,0.09791021794080734,0.13525593280792236,3.0912413597106934,0.06182482838630676,-0.016697436571121216,-0.20991790294647217,0.004198357928544283
3,0.05999999865889549,0.37661439180374146,0.028039129450917244,0.0,0.0,60.835426330566406,0.0,60.835426330566406,0,1,0.7320525646209717,0.3853561282157898,0.013918398879468441,-0.03725826367735863,-0.9992088079452515,0.014359289780259132,0.08529491722583771,0.5957357287406921,3.9219632148742676,0.037270497530698776,0.01391884870827198,0.5872399806976318,0.7803228497505188,0.026363229379057884,-0.010819904506206512,0.02489437907934189,0.05243093892931938,0.665290355682373,0.04033152759075165,0.02626030147075653,0.020803075283765793,0.5765733122825623,0.20781108736991882,0.25882241129875183,0,0,-0.09055446088314056,13.775812149047852,0.1565433144569397,0.08019249141216278,8.451498031616211,0.09603974968194962,-0.03545646369457245,-18.531709671020508,0.21058760583400726,0.04805409908294678,-16.52175521850586,0.11886154860258102,0.1669744849205017,3.163464307785034,0.06326928734779358,-0.03681347519159317,-0.3566274344921112,0.007132548838853836
4,0.07999999821186066,0.40296584367752075,0.03343523293733597,0.0,0.0,41.4769172668457,0.0,41.4769172668457,0,1,0.6101281046867371,0.5287676453590393,0.021938452497124672,-0.048125721514225006,-0.9986002445220947,0.014692223630845547,0.10306716710329056,0.6505429744720459,5.760631561279297,0.04815591871738434,0.021940212696790695,0.601142168045044,0.78214430809021,0.03333888575434685,-0.011595264077186584,0.03254538029432297,0.06906617432832718,0.7110166549682617,0.052131421864032745,0.033978208899497986,0.029965516179800034,0.5646393299102783,0.12527281045913696,0.4135623276233673,0,0,-0.11089514195919037,19.250221252441406,0.21875251829624176,0.10127449035644531,6.890175819396973,0.0782974511384964,-0.021907448768615723,-28.878849029541016,0.32816874980926514,0.07005006074905396,-25.16156768798828,0.18101847171783447,0.15801548957824707,3.3833227157592773,0.06766645610332489,-0.03086742013692856,-0.3713666796684265,0.007427333388477564
5,0.09999999776482582,0.39179298281669617,0.03929224610328674,0.0,0.0,0.0,0.0,0.0,0,0,0.6643674969673157,0.4581966996192932,0.031217344105243683,-0.05537344515323639,-0.9979774951934814,0.01449176948517561,0.11811259388923645,0.6801141500473022,8.189406394958496,0.05542882904410362,0.03122241608798504,0.6179946660995483,0.7831929922103882,0.04089047759771347,-0.01328052394092083,0.04013358801603317,0.09102682769298553,0.854500412940979,0.06840108335018158,0.043340347707271576,0.04157872498035431,0.6060261726379395,0.231939435005188,0.5559741854667664,0,0,-0.13620418310165405,25.90121841430664,0.29433202743530273,0.1233295351266861,4.133232116699219,0.04696854576468468,-0.006996259093284607,-39.556819915771484,0.44950932264328003,0.08195459842681885,-36.66097640991211,0.26374801993370056,0.0958872139453888,3.0845463275909424,0.06169092655181885,0.015132836997509003,-0.02829989790916443,0.0005659979651682079
6,0.11999999731779099,0.3522585928440094,0.04478314518928528,0.0,11.10037612915039,0.0,11.10037612915039,0.0,1,0,0.546765923500061,0.5556039810180664,0.04567002132534981,-0.06263270974159241,-0.9969911575317383,0.013124066404998302,0.1330164074897766,0.6449283361434937,9.446978569030762,0.0627392828464508,0.045685913413763046,0.6230131387710571,0.7829469442367554,0.04767119139432907,-0.014937378466129303,0.046819671988487244,0.1105847880244255,0.894231379032135,0.08325199037790298,0.05095437169075012,0.05197838693857193,0.6015865206718445,0.12224280834197998,0.6502308249473572,0,0,-0.14640498161315918,31.397356033325195,0.35678812861442566,0.13164767622947693,1.265751838684082,0.014383543282747269,-0.01999741792678833,-50.08853530883789,0.5691878795623779,0.09440171718597412,-42.953948974609375,0.3090212047100067,0.08115722239017487,2.7476816177368164,0.05495363101363182,0.03615080937743187,0.20139279961585999,0.004027856048196554
7,0.13999999687075615,0.33772972226142883,0.05051882565021515,0.0,0.0,0.0,0.0,0.0,0,0,0.4627266526222229,1.0332024097442627,0.06702801585197449,-0.07314414530992508,-0.9950662851333618,0.011216814629733562,0.15963196754455566,0.582304060459137,7.852891445159912,0.07337483763694763,0.06707830727100372,0.6058633327484131,0.7822245359420776,0.0510135218501091,-0.0173047948628664,0.04942522197961807,0.13210773468017578,1.1400290727615356,0.10214937478303909,0.05684995651245117,0.061530813574790955,0.9249329566955566,-0.28962427377700806,0.6002358198165894,0,0,-0.14623653888702393,29.99791717529297,0.3408854305744171,0.1355385184288025,0.9534196853637695,0.010834314860403538,-0.043354764580726624,-47.29566955566406,0.5374507904052734,0.11042916774749756,-36.766624450683594,0.26450809836387634,0.03888864815235138,1.1524124145507812,0.023048248142004013,0.023955244570970535,-0.400809645652771,0.00801619328558445
8,0.1599999964237213,0.35794001817703247,0.05511372536420822,0.0,27.4565486907959,0.0,27.4565486907959,0.0,1,0,0.5254521369934082,1.5138771533966064,0.09740081429481506,-0.07742123305797577,-0.9922294616699219,0.008952274918556213,0.19280770421028137,0.4920845925807953,5.1041579246521,0.07786978781223297,0.0975554808974266,0.5759344696998596,0.7807495594024658,0.05127246305346489,-0.018138162791728973,0.049321796745061874,0.15100422501564026,1.451838731765747,0.12232976406812668,0.05614002048969269,0.06845439225435257,1.2155853509902954,-0.7250443696975708,0.32326239347457886,0,0,-0.130766361951828,24.390241622924805,0.2771618366241455,0.12655436992645264,-0.7796449661254883,0.008859601803123951,-0.05290287733078003,-36.633296966552734,0.41628745198249817,0.10724091529846191,-29.156017303466797,0.2097555249929428,-0.025732234120368958,-0.5765770673751831,0.011531541123986244,0.030409377068281174,-0.12548016011714935,0.002509603276848793
9,0.17999999597668648,0.37325888872146606,0.06023465096950531,0.0,35.6549186706543,0.0,35.6549186706543,0.0,1,0,0.1917770951986313,1.705250859260559,0.1306680142879486,-0.0834634080529213,-0.9879065752029419,0.00817844457924366,0.24242158234119415,0.5134372115135193,1.898085355758667,0.08428496867418289,0.1310427486896515,0.5383246541023254,0.7798301577568054,0.0524967722594738,-0.019825059920549393,0.04985646530985832,0.16920867562294006,1.588910460472107,0.14636269211769104,0.043690819293260574,0.07280555367469788,1.2198058366775513,-1.0179784297943115,0.02073526382446289,0,0,-0.11894375085830688,15.084224700927734,0.1714116483926773,0.10742925107479095,1.876943588256836,0.02132890373468399,-0.05686356872320175,-18.506622314453125,0.21030253171920776,0.10224390029907227,-15.51760482788086,0.11163744330406189,-0.033008452504873276,-0.6611703634262085,0.013223406858742237,0.015643758699297905,-0.07386703789234161,0.0014773407019674778
10,0.19999999552965164,0.3805425763130188,0.066522516310215,0.0,42.66224670410156,0.0,42.66224670410156,0.0,1,0,0.19612546265125275,1.7840396165847778,0.1636221557855606,-0.08397570252418518,-0.9829425811767578,0.008135107345879078,0.2859344482421875,0.5394298434257507,1.3944718837738037,0.08522602915763855,0.16436119377613068,0.50944584608078,0.778927206993103,0.05349956825375557,-0.022232983261346817,0.04970823600888252,0.19215771555900574,1.7248859405517578,0.17390824854373932,0.02930391952395439,0.07630066573619843,1.2197654247283936,-1.189836025238037,-0.2677580714225769,0,0,-0.11861550807952881,8.38269329071045,0.09525787830352783,0.07875765860080719,1.1134634017944336,0.012652993202209473,-0.039314113557338715,-7.621291160583496,0.08660557866096497,0.09812581539154053,-9.50368881225586,0.06837186217308044,-0.007464975118637085,0.004082232713699341,8.164465543814003e-05,0.008228536695241928,0.024027645587921143,0.0004805529024451971
