step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,reset,timeout,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.7313357591629028,0.022084297612309456,0.043478261679410934,569.958251953125,5.337710857391357,569.958251953125,5.337710857391357,1,1,0.006149113643914461,0.6171941161155701,9.53449634835124e-05,0.0024758910294622183,-0.9999966621398926,0.0112020093947649,0.041753221303224564,0.5303197503089905,3.170567512512207,-0.002475893823429942,9.53449634835124e-05,0.5697231292724609,0.7780745029449463,0.009551475755870342,-0.0033999907318502665,0.009172576479613781,0.037201736122369766,0.9997029304504395,-0.004083652049303055,0.03683708608150482,0.003212805837392807,0.9550683498382568,0.24354588985443115,0.16714012622833252,0,0,-0.06866975873708725,-3.482459306716919,0.03957340121269226,0.055761128664016724,9.26556396484375,0.1052905023097992,-0.06527189910411835,-9.069666862487793,0.1030643954873085,0.0392758846282959,-8.581482887268066,0.061737287789583206,0.06442625820636749,1.2791537046432495,0.025583073496818542,0.001093439757823944,0.04432027041912079,0.0008864054107107222
2,0.03999999910593033,0.48919010162353516,0.031252212822437286,0.0,36.46430206298828,12.152989387512207,36.46430206298828,12.152989387512207,1,1,0.3651126027107239,0.5567477345466614,0.0387888140976429,0.028187457472085953,-0.9988498687744141,0.013961222022771835,0.006098640151321888,0.5029691457748413,2.7901995182037354,-0.028212428092956543,0.03879854828119278,0.5753723978996277,0.7776445150375366,0.02071673423051834,-0.008104597218334675,0.019906625151634216,0.07840342074632645,0.82550448179245,0.031185459345579147,0.07193215191364288,-0.0005730204284191132,0.7953423261642456,0.05806592106819153,0.21334612369537354,0,0,-0.10554385185241699,3.6810970306396484,0.041830647736787796,0.06789563596248627,5.739443778991699,0.06522095203399658,-0.0371449738740921,-16.729644775390625,0.19010959565639496,0.050798624753952026,-14.984834671020508,0.1078045666217804,0.05232363939285278,0.8032001852989197,0.016064003109931946,-0.010888829827308655,-0.054905980825424194,0.0010981196537613869
3,0.05999999865889549,0.3487738072872162,0.04008802771568298,0.0,11.10799503326416,17.34572410583496,11.10799503326416,17.34572410583496,1,1,0.5897320508956909,0.6493483185768127,0.056059859693050385,0.0369911752641201,-0.9977416396141052,0.01457998063415289,0.008052961900830269,0.546596884727478,6.144707202911377,-0.03705792874097824,0.05608926713466644,0.586148738861084,0.7786725163459778,0.028646834194660187,-0.012613676488399506,0.026430752128362656,0.1045953780412674,0.7672643661499023,0.05243292450904846,0.09047405421733856,0.002329714596271515,0.5836412906646729,-0.05910444259643555,0.49453428387641907,0,0,-0.12218362092971802,19.95314598083496,0.226740300655365,0.07767064869403839,4.001357078552246,0.045469965785741806,-0.01749095320701599,-29.89471435546875,0.33971264958381653,0.06644034385681152,-28.638687133789062,0.20603372156620026,0.054079994559288025,1.5227084159851074,0.03045416809618473,0.0003702715039253235,0.2453235536813736,0.004906470887362957
4,0.07999999821186066,0.3818286061286926,0.04529041051864624,0.0,0.0,0.0,0.0,0.0,0,0,0.6385735869407654,0.7234905362129211,0.060916390269994736,0.03615594655275345,-0.9974879622459412,0.014307665638625622,0.021650617942214012,0.6032729744911194,9.033561706542969,-0.0362311415374279,0.060954127460718155,0.6092275381088257,0.780521035194397,0.03484383597970009,-0.0137287937104702,0.033080291002988815,0.1161784678697586,0.9387949109077454,0.05807824432849884,0.10018974542617798,0.009293504059314728,0.5915512442588806,-0.06765735149383545,0.7258274555206299,0,0,-0.13988231122493744,27.9821834564209,0.3179793655872345,0.09517893195152283,2.135552406311035,0.024267641827464104,-0.0005246102809906006,-46.066959381103516,0.5234881639480591,0.07871001958847046,-45.52296447753906,0.32750335335731506,0.022278450429439545,1.7350062131881714,0.03470012545585632,-0.0009146854281425476,-0.7568269968032837,0.015136539936065674
5,0.09999999776482582,0.39763399958610535,0.048858530819416046,0.043478261679410934,0.0,0.0,0.0,0.0,0,0,0.7581461668014526,1.071129560470581,0.06131967902183533,0.04682149365544319,-0.9970194101333618,0.013926424086093903,0.016457509249448776,0.6268266439437866,12.503647804260254,-0.046926990151405334,0.061358172446489334,0.617952823638916,0.7814174294471741,0.04227432608604431,-0.01517170388251543,0.04075448215007782,0.12572339177131653,1.0589203834533691,0.057547427713871,0.10992834717035294,0.020258858799934387,0.28142088651657104,-0.37460559606552124,0.9496238231658936,0,0,-0.15336674451828003,40.89067077636719,0.4646667242050171,0.11221201717853546,-3.9398107528686523,0.04477057605981827,0.010042533278465271,-66.72482299804688,0.7582366466522217,0.0915575623512268,-58.813453674316406,0.42311838269233704,-0.05038495361804962,0.6094887852668762,0.012189775705337524,0.044537000358104706,-0.12162348628044128,0.002432469744235277
6,0.11999999731779099,0.36133691668510437,0.05164279043674469,0.043478261679410934,0.0,0.0,0.0,0.0,0,0,0.299023300409317,1.7125575542449951,0.061012957245111465,0.0528375506401062,-0.9967371821403503,0.012364906258881092,0.04018739238381386,0.5716140270233154,9.788793563842773,-0.05296093225479126,0.06105087697505951,0.5934880971908569,0.7812079191207886,0.04874866455793381,-0.016447389498353004,0.04732675105333328,0.12513156235218048,1.646841049194336,0.05598652735352516,0.10694055259227753,0.032971762120723724,0.6194952726364136,-1.04670250415802,1.1102814674377441,0,0,-0.13646405935287476,37.824825286865234,0.42982757091522217,0.10444724559783936,-4.88545036315918,0.05551648139953613,-0.015731319785118103,-58.06928634643555,0.6598782539367676,0.09819948673248291,-51.24336242675781,0.36865729093551636,-0.018581464886665344,1.0382394790649414,0.0207647904753685,0.03248884528875351,-0.47086384892463684,0.009417276829481125
7,0.13999999687075615,0.33178219199180603,0.05266856029629707,0.043478261679410934,233.74087524414062,0.0,233.74087524414062,0.0,1,0,0.5833806991577148,2.238516330718994,0.0590510293841362,0.07886064052581787,-0.9951348304748535,0.008636112324893475,0.042173780500888824,0.4359043836593628,8.38719654083252,-0.07908090204000473,0.05908540263772011,0.5996410250663757,0.7783911228179932,0.0521298311650753,-0.017548536881804466,0.05054068565368652,0.11668814718723297,2.1708147525787354,0.04834245890378952,0.09607554972171783,0.0452616810798645,1.1233744621276855,-1.5158894062042236,1.0735667943954468,0,0,-0.12628015875816345,35.546390533447266,0.4039362668991089,0.07347323000431061,-11.651214599609375,0.13240016996860504,-0.009531497955322266,-49.76627731323242,0.5655258893966675,0.1082034707069397,-46.84642028808594,0.33702459931373596,0.015420801937580109,1.2845616340637207,0.025691233575344086,0.023493528366088867,-0.6594990491867065,0.013189980760216713
8,0.1599999964237213,0.3645349144935608,0.0532112643122673,0.0,284.9716796875,0.0,284.9716796875,0.0,1,0,0.551144540309906,2.3946595191955566,0.057957496494054794,0.08067695051431656,-0.9950538277626038,0.005325799807906151,0.04448552802205086,0.32481709122657776,4.397304058074951,-0.08090101927518845,0.05798999220132828,0.6078879237174988,0.7756191492080688,0.05176669359207153,-0.017793653532862663,0.050029415637254715,0.10541976243257523,2.3356707096099854,0.05160924047231674,0.07139627635478973,0.057899780571460724,1.5662074089050293,-1.5436140298843384,0.7871516942977905,0,0,-0.11219912767410278,24.937700271606445,0.28338295221328735,0.03982500731945038,-11.702164649963379,0.1329791396856308,0.002244710922241211,-27.946063995361328,0.31756889820098877,0.10038614273071289,-30.602924346923828,0.2201649248600006,-0.007048070430755615,0.02830958366394043,0.0005661916802637279,0.01082712784409523,-0.5927915573120117,0.011855831369757652
9,0.17999999597668648,0.40422117710113525,0.05566138029098511,0.0,161.11795043945312,0.0,161.11795043945312,0.0,1,0,0.37268126010894775,2.260047674179077,0.04792196303606033,0.09315675497055054,-0.9944977164268494,0.005010004620999098,0.04496545344591141,0.38306552171707153,3.03556489944458,-0.09339963644742966,0.04794032499194145,0.6101307272911072,0.7726539373397827,0.05316883698105812,-0.019837569445371628,0.05060255527496338,0.09608282148838043,2.2024004459381104,0.05593324080109596,0.04310018941760063,0.06515945494174957,1.604278802871704,-1.4316799640655518,0.4766024351119995,0,0,-0.11073440313339233,15.609145164489746,0.1773766428232193,-0.006148979067802429,-10.374956130981445,0.11789722740650177,0.017388224601745605,-6.886706829071045,0.07825803011655807,0.09406924247741699,-17.979389190673828,0.12934812903404236,-0.024263691157102585,-0.4772736430168152,0.009545472450554371,0.0030579902231693268,-0.26061469316482544,0.005212293937802315
10,0.19999999552965164,0.4348660409450531,0.06031090021133423,0.0,107.3963623046875,0.0,107.3963623046875,0.0,1,0,0.249700665473938,2.0016751289367676,0.036685191094875336,0.10683667659759521,-0.9935992956161499,0.006632286123931408,0.04937698692083359,0.46289145946502686,3.510746479034424,-0.10711336135864258,0.036693423986434937,0.605995774269104,0.7700733542442322,0.05473154038190842,-0.023195961490273476,0.05057902634143829,0.0992385596036911,1.9814317226409912,0.06711288541555405,0.02046138420701027,0.07018178701400757,1.4903185367584229,-1.2797490358352661,0.259354829788208,0,0,-0.11680150032043457,9.757454872131348,0.11088016629219055,-0.05720295011997223,-11.124824523925781,0.12641845643520355,0.03740695118904114,3.7686004638671875,0.04282500594854355,0.08740532398223877,-12.705940246582031,0.09140963852405548,-0.023614361882209778,-0.3994395434856415,0.007988790981471539,0.0024087224155664444,0.03560663014650345,0.0007121326052583754
