step,motion_time_s,joint_err_norm,lower_body_err,torque_clip_ratio,left_foot_contact_z,right_foot_contact_z,left_foot_contact_norm,right_foot_contact_norm,left_foot_contact_flag,right_foot_contact_flag,left_foot_slip_xy,right_foot_slip_xy,projected_gravity_x,projected_gravity_y,projected_gravity_z,root_pos_err,root_rot_err_rad,root_lin_vel_err,root_ang_vel_err,root_roll,root_pitch,root_yaw,root_height,root_xy_drift,root_x,root_y,right_foot_pos_err,right_foot_vel_err,right_foot_pos_err_x,right_foot_pos_err_y,right_foot_pos_err_z,right_foot_vel_err_x,right_foot_vel_err_y,right_foot_vel_err_z,reset,timeout,right_hip_pitch_joint_err,right_hip_pitch_joint_torque,right_hip_pitch_joint_torque_ratio,right_hip_roll_joint_err,right_hip_roll_joint_torque,right_hip_roll_joint_torque_ratio,right_hip_yaw_joint_err,right_hip_yaw_joint_torque,right_hip_yaw_joint_torque_ratio,right_knee_joint_err,right_knee_joint_torque,right_knee_joint_torque_ratio,right_ankle_pitch_joint_err,right_ankle_pitch_joint_torque,right_ankle_pitch_joint_torque_ratio,right_ankle_roll_joint_err,right_ankle_roll_joint_torque,right_ankle_roll_joint_torque_ratio
1,0.019999999552965164,0.7123985290527344,0.02803574502468109,0.0,0.0,0.0,0.0,0.0,0,0,0.6995525360107422,0.8053781986236572,0.0035801567137241364,0.014947889372706413,-0.9998817443847656,0.01761380210518837,0.03434837982058525,0.36398518085479736,2.6930789947509766,-0.014948542229831219,0.003580164397135377,0.5731313228607178,0.784709632396698,0.0061130644753575325,0.002216860419139266,0.008907807059586048,0.03777892515063286,1.1641368865966797,-0.006056580692529678,0.0369669646024704,-0.004899851977825165,1.1351155042648315,0.18623384833335876,0.1790095865726471,0,0,-0.07173607498407364,-4.086787223815918,0.046440765261650085,0.040296271443367004,4.295319557189941,0.0488104484975338,-0.05359366536140442,-10.10855770111084,0.11486997455358505,0.039136141538619995,-7.295779228210449,0.05248761922121048,0.06813247501850128,1.2971065044403076,0.025942130014300346,0.007915794849395752,0.25001227855682373,0.0050002457574009895
2,0.03999999910593033,0.4353858232498169,0.03577207028865814,0.0,109.91991424560547,0.0,109.91991424560547,0.0,1,0,0.15770207345485687,0.6635689735412598,0.04155722260475159,0.06128662824630737,-0.9972548484802246,0.02098574861884117,0.03225753828883171,0.13024377822875977,4.53096342086792,-0.06137814372777939,0.041569195687770844,0.5854239463806152,0.7872959971427917,0.01653597131371498,-0.0018757145153358579,0.018523812294006348,0.07625597715377808,1.1839077472686768,0.036473654210567474,0.06544031202793121,-0.014220122247934341,1.0443174839019775,0.21808701753616333,0.5132996439933777,0,0,-0.11084765940904617,6.809791564941406,0.07738399505615234,0.013722583651542664,-4.95759391784668,0.05633629485964775,-0.011631220579147339,-21.290884017944336,0.24194186925888062,0.03947806358337402,-28.955793380737305,0.20831505954265594,-0.031080052256584167,-0.5948633551597595,0.01189726684242487,0.0020978376269340515,-0.04866649955511093,0.0009733299957588315
3,0.05999999865889549,0.2857866883277893,0.0381397008895874,0.0,65.03301239013672,0.0,65.03301239013672,0.0,1,0,0.047697726637125015,0.46532148122787476,0.05180269479751587,0.04336228221654892,-0.9977155923843384,0.02024565450847149,0.004475175403058529,0.1194366067647934,7.74571418762207,-0.04343423247337341,0.05182589218020439,0.58534836769104,0.7869476079940796,0.02461160533130169,-0.0060807280242443085,0.025524921715259552,0.09916769713163376,1.220436453819275,0.0754314512014389,0.06411705911159515,-0.0057733505964279175,0.46705254912376404,0.1190275251865387,1.121231198310852,0,0,-0.13528957962989807,25.051424026489258,0.284675270318985,0.01194027066230774,-4.328756332397461,0.04919041320681572,0.0006190240383148193,-42.09198760986328,0.4783180356025696,0.044905245304107666,-52.0302734375,0.37431851029396057,0.01209692656993866,2.275193214416504,0.04550386592745781,-0.03994499891996384,-1.9096460342407227,0.03819292038679123
4,0.07999999821186066,0.32125431299209595,0.04307267814874649,0.0,89.30571746826172,114.05096435546875,89.30571746826172,114.05096435546875,1,1,0.0624813511967659,0.8738012313842773,0.06164766475558281,0.036877281963825226,-0.9974162578582764,0.016980748623609543,0.022714752703905106,0.06806471198797226,8.678901672363281,-0.03695597127079964,0.06168678030371666,0.5787176489830017,0.785825788974762,0.031165659427642822,-0.0107145756483078,0.030552726238965988,0.11676900088787079,1.3983054161071777,0.09008954465389252,0.07407519221305847,0.005633890628814697,0.9314576983451843,-0.1136288046836853,1.0366933345794678,0,0,-0.1440717726945877,33.37711715698242,0.37928542494773865,0.02797810733318329,-4.740867614746094,0.053873494267463684,0.003929466009140015,-51.90214538574219,0.5897970795631409,0.06018012762069702,-55.472660064697266,0.3990838825702667,0.007788382470607758,1.3668746948242188,0.027337493374943733,0.0001831352710723877,0.23937225341796875,0.004787445068359375
5,0.09999999776482582,0.3373645544052124,0.048747096210718155,0.0,90.81549072265625,0.0,90.81549072265625,0.0,1,0,0.07678082585334778,0.7679470181465149,0.068954698741436,0.04835941642522812,-0.9964468479156494,0.01614522375166416,0.025801192969083786,0.1268044412136078,8.731206893920898,-0.04849380627274513,0.0690094605088234,0.5974647402763367,0.7856636643409729,0.03820103406906128,-0.015465269796550274,0.03595379739999771,0.13084764778614044,1.5567156076431274,0.09135136008262634,0.0920506939291954,0.01739843189716339,0.7258553504943848,-0.05573910474777222,1.3760052919387817,0,0,-0.15940724313259125,31.567028045654297,0.35871621966362,0.051983535289764404,-6.102409362792969,0.06934556365013123,0.022090673446655273,-51.12691879272461,0.5809876918792725,0.0768614411354065,-50.81224822998047,0.3655557334423065,-0.022957339882850647,1.103628396987915,0.02207256853580475,0.017015360295772552,-0.574671745300293,0.011493435129523277
6,0.11999999731779099,0.3198283612728119,0.05188208073377609,0.0,227.77896118164062,0.0,227.77896118164062,0.0,1,0,0.6409279108047485,1.2699477672576904,0.07455673813819885,0.06595930457115173,-0.9950329661369324,0.015279562212526798,0.045002564787864685,0.2050143927335739,7.0782790184021,-0.06619171798229218,0.07462598383426666,0.5892528891563416,0.7842175364494324,0.04646952450275421,-0.020041553303599358,0.04285210371017456,0.13648353517055511,1.7866196632385254,0.09000453352928162,0.0984172374010086,0.028999745845794678,1.0789880752563477,-0.4475504159927368,1.3518481254577637,0,0,-0.15288817882537842,29.253162384033203,0.33242228627204895,0.04624129831790924,-7.493346214294434,0.08515166491270065,0.007972300052642822,-44.22012710571289,0.5025014281272888,0.09180551767349243,-43.74785614013672,0.31473278999328613,-0.006360955536365509,1.0226936340332031,0.02045387215912342,0.03058621659874916,-0.1438998281955719,0.0028779965359717607
7,0.13999999687075615,0.35658034682273865,0.052810534834861755,0.0,357.90313720703125,0.0,357.90313720703125,0.0,1,0,0.47511541843414307,1.5658518075942993,0.0700555294752121,0.07642494887113571,-0.9946110248565674,0.013242167420685291,0.046744272112846375,0.23458677530288696,4.5805182456970215,-0.07668833434581757,0.07011295855045319,0.6001932621002197,0.780897319316864,0.05446038022637367,-0.02387700229883194,0.04986902326345444,0.1313256174325943,1.902288556098938,0.08595270663499832,0.08998440206050873,0.04196853190660477,1.4295321702957153,-0.5821085572242737,1.11188542842865,0,0,-0.15134936571121216,22.026851654052734,0.2503051459789276,0.035309791564941406,-6.456086158752441,0.07336461544036865,0.0013262927532196045,-28.86184310913086,0.32797548174858093,0.10203158855438232,-33.110225677490234,0.23820306360721588,0.003926768898963928,0.6295230388641357,0.012590460479259491,0.010417651385068893,-0.5063393712043762,0.01012678723782301
8,0.1599999964237213,0.41436493396759033,0.05494286119937897,0.0,446.2096862792969,0.0,446.2096862792969,0.0,1,0,0.027386941015720367,1.5718095302581787,0.06384746730327606,0.07304029911756516,-0.9952831864356995,0.014202273450791836,0.05012964457273483,0.3143838942050934,2.495133399963379,-0.07325513660907745,0.06389092653989792,0.606778085231781,0.7769725918769836,0.061242517083883286,-0.026477690786123276,0.05620279908180237,0.12347925454378128,1.8014564514160156,0.08222931623458862,0.0743013471364975,0.05444975197315216,1.4732611179351807,-0.5895448923110962,0.8527506589889526,0,0,-0.14346817135810852,13.062238693237305,0.14843453466892242,0.03457139432430267,0.06651139259338379,0.0007558112847618759,-0.005007162690162659,-11.810154914855957,0.13420630991458893,0.09773170948028564,-20.43478012084961,0.14701279997825623,-0.02066740393638611,-0.3169294595718384,0.006338589359074831,0.009636107832193375,-0.06982075423002243,0.0013964150566607714
9,0.17999999597668648,0.4669817388057709,0.06205480173230171,0.0,234.0924072265625,0.0,234.0924072265625,0.0,1,0,0.21019980311393738,1.5678693056106567,0.05692129582166672,0.09386648237705231,-0.9939561486244202,0.02017810009419918,0.04770888015627861,0.46881091594696045,2.6211400032043457,-0.09415800124406815,0.05695207789540291,0.6117162704467773,0.7721222639083862,0.06990286707878113,-0.028642762452363968,0.06489206850528717,0.11301658302545547,1.7089169025421143,0.07363837957382202,0.05890481546521187,0.06229253113269806,1.4542094469070435,-0.6663700938224792,0.6013506650924683,0,0,-0.144475519657135,8.613697052001953,0.09788291901350021,0.021660178899765015,-1.2494206428527832,0.014197961427271366,-0.0046230703592300415,-5.39572286605835,0.061315033584833145,0.09791791439056396,-13.17047119140625,0.09475158900022507,-0.023917578160762787,-0.37787044048309326,0.007557408884167671,0.006280994042754173,-0.0020058583468198776,4.011716737295501e-05
10,0.19999999552965164,0.49946391582489014,0.07109513133764267,0.0,631.723388671875,0.0,631.723388671875,0.0,1,0,0.08233485370874405,1.543311595916748,0.04391312971711159,0.1008341982960701,-0.993933379650116,0.030083108693361282,0.050894610583782196,0.5263975858688354,3.247441053390503,-0.10110373795032501,0.043927256017923355,0.6071116924285889,0.7662466168403625,0.07896609604358673,-0.030302053317427635,0.0742020532488823,0.10902171581983566,1.6677073240280151,0.07242389768362045,0.03826623037457466,0.07194587588310242,1.4291102886199951,-0.7430593967437744,0.4321507215499878,0,0,-0.14795714616775513,4.997328758239746,0.056787826120853424,0.006618604063987732,0.023491740226745605,0.0002669515961315483,-0.006539478898048401,-0.23532617092132568,0.0026741609908640385,0.08861422538757324,-11.631011962890625,0.08367634564638138,-0.013844285160303116,-0.1376495510339737,0.0027529909275472164,0.009742862544953823,0.29739895462989807,0.005947979167103767
